Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt2488496/?ref_=sr_t_1,245000000.0,2071310218,936662225,247966675.0,['J.J. Abrams'],"['Lawrence Kasdan', 'J.J. Abrams', 'Michael Arndt']","['Daisy Ridley', 'John Boyega', 'Oscar Isaac']","['Action Epic', 'Adventure Epic', 'Globetrotting Adventure', 'Quest', 'Sci-Fi Epic', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'United Kingdom']","['Skellig Michael, County Kerry, Ireland']","['Lucasfilm', 'Bad Robot']",['English'],0,140,5,2015
https://www.imdb.com/title/tt0369610/?ref_=sr_t_2,150000000.0,1671537444,653406625,208806270.0,['Colin Trevorrow'],"['Rick Jaffa', 'Amanda Silver', 'Colin Trevorrow']","['Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins']","['Dinosaur Adventure', 'Jungle Adventure', 'Action', 'Adventure', 'Sci-Fi']","['United States', 'Canada']","[""Kualoa Ranch - 49560 Kamehameha Highway, Ka'a'awa, O'ahu, Hawaii, USA""]","['Universal Pictures', 'Amblin Entertainment', 'Legendary Entertainment']",['English'],0,58,0,2015
https://www.imdb.com/title/tt2395427/?ref_=sr_t_3,250000000.0,1405018048,459005868,191271109.0,['Joss Whedon'],"['Joss Whedon', 'Stan Lee', 'Jack Kirby']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']","['Artificial Intelligence', 'Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']",['United States'],"['Chittagong, Bangladesh']",['Marvel Studios'],"['English', 'Korean']",0,52,0,2015
https://www.imdb.com/title/tt2096673/?ref_=sr_t_4,175000000.0,859076254,356461711,90440272.0,"['Pete Docter', 'Ronnie Del Carmen']","['Pete Docter', 'Ronnie Del Carmen', 'Meg LeFauve']","['Amy Poehler', 'Bill Hader', 'Lewis Black']","['Coming-of-Age', 'Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",['United States'],"['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Pixar Animation Studios', 'Walt Disney Pictures']","['English', 'Portuguese', 'Latvian']",0,118,0,2015
https://www.imdb.com/title/tt2820852/?ref_=sr_t_5,190000000.0,1515342457,353007020,147187040.0,['James Wan'],"['Chris Morgan', 'Gary Scott Thompson']","['Vin Diesel', 'Paul Walker', 'Dwayne Johnson']","['Car Action', 'Action', 'Thriller']","['United States', 'China', 'Japan', 'Canada', 'United Arab Emirates']","['Abu Dhabi, United Arab Emirates']","['Universal Pictures', 'Media Rights Capital (MRC)', 'China Film Co., Ltd.']","['English', 'Thai', 'Arabic', 'Spanish']",0,36,0,2015
https://www.imdb.com/title/tt2293640/?ref_=sr_t_6,74000000.0,1159457503,336045770,115718405.0,"['Kyle Balda', 'Pierre Coffin']",['Brian Lynch'],"['Sandra Bullock', 'Jon Hamm', 'Michael Keaton']","['Computer Animation', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",['United States'],"['New York City, New York, USA']","['Illumination Entertainment', 'Universal Pictures']","['English', 'Spanish', 'Italian']",0,29,1,2015
https://www.imdb.com/title/tt1951266/?ref_=sr_t_7,160000000.0,661456867,281723902,102665981.0,['Francis Lawrence'],"['Peter Craig', 'Danny Strong', 'Suzanne Collins']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']","['Dystopian Sci-Fi', 'Teen Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['United States', 'Germany', 'Canada', 'France']","['Tempelhof Airport, Tempelhof, Berlin, Germany']","['Lionsgate', 'Color Force', 'Studio Babelsberg']",['English'],0,34,0,2015
https://www.imdb.com/title/tt3659388/?ref_=sr_t_8,108000000.0,630621406,228433663,54308575.0,['Ridley Scott'],"['Drew Goddard', 'Andy Weir']","['Matt Damon', 'Jessica Chastain', 'Kristen Wiig']","['Space Sci-Fi', 'Survival', 'Adventure', 'Drama', 'Sci-Fi']","['United States', 'United Kingdom', 'Hungary', 'Jordan']","['Wadi Rum, Jordan']","['Twentieth Century Fox', 'TSG Entertainment', 'Scott Free Productions']","['English', 'Mandarin']",0,199,7,2015
https://www.imdb.com/title/tt1661199/?ref_=sr_t_9,95000000.0,542358331,201151353,67877361.0,['Kenneth Branagh'],"['Chris Weitz', 'Charles Perrault']","['Lily James', 'Cate Blanchett', 'Richard Madden']","['Fairy Tale', 'Feel-Good Romance', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Romance']","['United Kingdom', 'United States', 'Denmark', 'Canada', 'Italy']","['Old Royal Naval College, Greenwich, London, England, UK']","['Walt Disney Pictures', 'Allison Shearmur Productions', 'Beagle Pug Films']",['English'],0,38,1,2015
https://www.imdb.com/title/tt2379713/?ref_=sr_t_10,245000000.0,880707597,200074609,70403148.0,['Sam Mendes'],"['John Logan', 'Neal Purvis', 'Robert Wade']","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']","['Globetrotting Adventure', 'One-Person Army Action', 'Spy', 'Action', 'Adventure', 'Thriller']","['United Kingdom', 'United States', 'Morocco', 'Italy', 'Austria', 'Canada', 'Mexico']","['Erfoud, Morocco']","['B24', 'Columbia Pictures', 'Danjaq']","['English', 'German', 'Italian', 'Spanish', 'French', 'Ukrainian']",0,37,0,2015
https://www.imdb.com/title/tt2381249/?ref_=sr_t_11,150000000.0,682716636,195042377,55520089.0,['Christopher McQuarrie'],"['Bruce Geller', 'Christopher McQuarrie', 'Drew Pearce']","['Tom Cruise', 'Rebecca Ferguson', 'Jeremy Renner']","['Action', 'Adventure', 'Thriller']","['United States', 'China', 'United Kingdom', 'Austria', 'Morocco', 'Hong Kong']","['Marrakech, Morocco']","['Paramount Pictures', 'Skydance Media', 'Bad Robot']","['English', 'Swedish', 'German', 'Russian']",0,26,0,2015
