Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Titanic,https://www.imdb.com/title/tt0120338/?ref_=sr_t_1,1997,3h 14m,PG-13,7.9,1.3M
2. Men in Black,https://www.imdb.com/title/tt0119654/?ref_=sr_t_2,1997,1h 38m,PG-13,7.3,630K
3. The Lost World: Jurassic Park,https://www.imdb.com/title/tt0119567/?ref_=sr_t_3,1997,2h 9m,PG-13,6.6,453K
4. Liar Liar,https://www.imdb.com/title/tt0119528/?ref_=sr_t_4,1997,1h 26m,PG-13,6.9,343K
5. Air Force One,https://www.imdb.com/title/tt0118571/?ref_=sr_t_5,1997,2h 4m,R,6.5,215K
6. As Good as It Gets,https://www.imdb.com/title/tt0119822/?ref_=sr_t_6,1997,2h 19m,PG-13,7.7,325K
7. Good Will Hunting,https://www.imdb.com/title/tt0119217/?ref_=sr_t_7,1997,2h 6m,R,8.3,1.1M
8. My Best Friend's Wedding,https://www.imdb.com/title/tt0119738/?ref_=sr_t_8,1997,1h 45m,PG-13,6.4,159K
9. Tomorrow Never Dies,https://www.imdb.com/title/tt0120347/?ref_=sr_t_9,1997,1h 59m,PG-13,6.5,208K
10. Face/Off,https://www.imdb.com/title/tt0119094/?ref_=sr_t_10,1997,2h 18m,R,7.3,410K
11. Batman & Robin,https://www.imdb.com/title/tt0118688/?ref_=sr_t_11,1997,2h 5m,PG-13,3.8,273K
12. George of the Jungle,https://www.imdb.com/title/tt0119190/?ref_=sr_t_12,1997,1h 32m,PG,5.5,86K
13. Scream 2,https://www.imdb.com/title/tt0120082/?ref_=sr_t_13,1997,2h,R,6.3,219K
14. Con Air,https://www.imdb.com/title/tt0118880/?ref_=sr_t_14,1997,1h 55m,R,6.9,327K
15. Contact,https://www.imdb.com/title/tt0118884/?ref_=sr_t_15,1997,2h 30m,PG,7.5,300K
16. Hercules,https://www.imdb.com/title/tt0119282/?ref_=sr_t_16,1997,1h 33m,G,7.3,263K
17. Flubber,https://www.imdb.com/title/tt0119137/?ref_=sr_t_17,1997,1h 33m,PG,5.3,96K
18. Conspiracy Theory,https://www.imdb.com/title/tt0118883/?ref_=sr_t_18,1997,2h 15m,R,6.7,109K
19. I Know What You Did Last Summer,https://www.imdb.com/title/tt0119345/?ref_=sr_t_19,1997,1h 41m,R,5.8,163K
20. Dante's Peak,https://www.imdb.com/title/tt0118928/?ref_=sr_t_20,1997,1h 48m,PG-13,6.0,102K
21. Anaconda,https://www.imdb.com/title/tt0118615/?ref_=sr_t_21,1997,1h 29m,PG-13,4.9,115K
22. L.A. Confidential,https://www.imdb.com/title/tt0119488/?ref_=sr_t_22,1997,2h 18m,R,8.2,634K
23. In & Out,https://www.imdb.com/title/tt0119360/?ref_=sr_t_23,1997,1h 30m,PG-13,6.4,45K
24. The Fifth Element,https://www.imdb.com/title/tt0119116/?ref_=sr_t_24,1997,2h 6m,PG-13,7.6,520K
25. Mousehunt,https://www.imdb.com/title/tt0119715/?ref_=sr_t_25,1997,1h 38m,PG,6.5,62K
26. The Saint,https://www.imdb.com/title/tt0120053/?ref_=sr_t_26,1997,1h 56m,PG-13,6.2,73K
