Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. The Exorcist,https://www.imdb.com/title/tt0070047/?ref_=sr_t_1,1973,2h 2m,R,8.1,470K,11000000.0,430872776.0,233005644.0,8175666.0,['William Friedkin'],['William Peter Blatty'],"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair']","['Body Horror', 'Supernatural Horror', 'Horror']",['United States'],"['Mosul, Iraq']","['Warner Bros.', 'Hoya Productions']","['English', 'Latin', 'Greek', 'French', 'German', 'Arabic', 'Kurdish']",0,21,0,1973
2. The Sting,https://www.imdb.com/title/tt0070735/?ref_=sr_t_2,1973,2h 9m,PG,8.3,286K,5500000.0,156000000.0,156000000.0,,['George Roy Hill'],['David S. Ward'],"['Paul Newman', 'Robert Redford', 'Robert Shaw']","['Caper', 'Comedy', 'Crime', 'Drama']",['United States'],"['Union Station - Canal St. & Jackson Blvd., Near West Side, Chicago, Illinois, USA']","['Zanuck/Brown Productions', 'Universal Pictures']",['English'],0,6,0,1973
3. American Graffiti,https://www.imdb.com/title/tt0069704/?ref_=sr_t_3,1973,1h 50m,PG,7.4,101K,750000.0,115006578.0,115000000.0,,['George Lucas'],"['George Lucas', 'Gloria Katz', 'Willard Huyck']","['Richard Dreyfuss', 'Ron Howard', 'Paul Le Mat']","['Coming-of-Age', 'Teen Comedy', 'Teen Drama', 'Comedy', 'Drama']",['United States'],"[""Mel's Drive-in - 140 South Van Ness Ave., San Francisco, California, USA""]","['Universal Pictures', 'Lucasfilm', 'The Coppola Company']",['English'],0,13,5,1973
4. Papillon,https://www.imdb.com/title/tt0070511/?ref_=sr_t_4,1973,2h 31m,R,8.0,141K,12000000.0,53267000.0,53267000.0,,['Franklin J. Schaffner'],"['Dalton Trumbo', 'Lorenzo Semple Jr.', 'Henri Charrière']","['Steve McQueen', 'Dustin Hoffman', 'Victor Jory']","['Prison Drama', 'Biography', 'Crime', 'Drama']","['France', 'United States']","[""St Laurent du Maroni, Guyane, Départements d'Outre-Mer, France""]","['Les Films Corona', 'General Production Company', 'Solar Productions']","['English', 'Spanish']",0,2,1,1973
5. The Way We Were,https://www.imdb.com/title/tt0070903/?ref_=sr_t_5,1973,1h 58m,PG,7.0,28K,5000000.0,45000493.0,45000000.0,,['Sydney Pollack'],"['Arthur Laurents', 'Francis Ford Coppola', 'Paddy Chayefsky']","['Barbra Streisand', 'Robert Redford', 'Bradford Dillman']","['Drama', 'Romance']",['United States'],"['Union College, Schenectady, New York, USA']","['Columbia Pictures', 'Rastar Productions', 'Tom Ward Enterprises']","['English', 'French']",0,8,0,1973
6. Magnum Force,https://www.imdb.com/title/tt0070355/?ref_=sr_t_6,1973,2h 4m,R,7.2,69K,,39768000.0,39768000.0,,['Ted Post'],"['Harry Julian Fink', 'Rita M. Fink', 'John Milius']","['Clint Eastwood', 'Hal Holbrook', 'Mitchell Ryan']","['Action', 'Crime', 'Mystery', 'Thriller']",['United States'],"['800 block, Vermont Street, San Francisco, California, USA']","['The Malpaso Company', 'Warner Bros.']",['English'],0,0,0,1973
7. Live and Let Die,https://www.imdb.com/title/tt0070328/?ref_=sr_t_7,1973,2h 1m,PG,6.7,118K,7000000.0,35384098.0,35377836.0,,['Guy Hamilton'],"['Tom Mankiewicz', 'Ian Fleming']","['Roger Moore', 'Yaphet Kotto', 'Jane Seymour']","['Spy', 'Action', 'Adventure', 'Thriller']",['United Kingdom'],"['826 Chartres Street, French Quarter, New Orleans, Louisiana, USA']",['Eon Productions'],"['English', 'Hungarian', 'Italian']",0,3,1,1973
8. Serpico,https://www.imdb.com/title/tt0070666/?ref_=sr_t_8,1973,2h 10m,R,7.7,139K,3000000.0,29857918.0,29800000.0,,['Sidney Lumet'],"['Peter Maas', 'Waldo Salt', 'Norman Wexler']","['Al Pacino', 'John Randolph', 'Jack Kehoe']","['Cop Drama', 'Docudrama', 'Police Procedural', 'True Crime', 'Biography', 'Crime', 'Drama', 'Thriller']","['United States', 'Italy']","['Lewisohn Stadium, Amsterdam Avenue, Manhattan, New York City, New York, USA']","['Artists Entertainment Complex', 'Produzioni De Laurentiis International Manufacturing Company']","['English', 'Italian', 'Spanish']",0,13,2,1973
9. Sleeper,https://www.imdb.com/title/tt0070707/?ref_=sr_t_9,1973,1h 29m,PG,7.1,45K,2000000.0,18344868.0,18344729.0,,['Woody Allen'],"['Woody Allen', 'Marshall Brickman']","['Woody Allen', 'Diane Keaton', 'John Beck']","['Dystopian Sci-Fi', 'Satire', 'Screwball Comedy', 'Slapstick', 'Time Travel', 'Comedy', 'Sci-Fi']",['United States'],"['Sculptured House - 24501 Ski Hill Drive, Golden, Colorado, USA']","['Jack Rollins & Charles H. Joffe Productions', 'Rollins-Joffe Productions']","['English', 'Yiddish']",0,2,0,1973
10. High Plains Drifter,https://www.imdb.com/title/tt0068699/?ref_=sr_t_10,1973,1h 45m,R,7.4,66K,5500000.0,15706540.0,15700000.0,,['Clint Eastwood'],['Ernest Tidyman'],"['Clint Eastwood', 'Verna Bloom', 'Marianna Hill']","['Dark Comedy', 'Period Drama', 'Psychological Drama', 'Drama', 'Mystery', 'Western']",['United States'],"['Mono Lake, California, USA']",['The Malpaso Company'],['English'],0,0,0,1973
11. Battle for the Planet of the Apes,https://www.imdb.com/title/tt0069768/?ref_=sr_t_11,1973,1h 33m,G,5.4,36K,1800000.0,8844595.0,8844595.0,,['J. Lee Thompson'],"['Pierre Boulle', 'Paul Dehn', 'John William Corrington']","['Roddy McDowall', 'Claude Akins', 'Natalie Trundy']","['Dystopian Sci-Fi', 'Action', 'Sci-Fi']",['United States'],"['Hyperion Water Reclamation Plant - 12000 Vista del Mar, Playa del Rey, Los Angeles, California, USA']","['Apjac International', 'Twentieth Century Fox']",['English'],0,0,0,1973
12. The Day of the Dolphin,https://www.imdb.com/title/tt0069946/?ref_=sr_t_12,1973,1h 44m,PG,6.0,3.6K,8500000.0,2300000.0,2300000.0,,['Mike Nichols'],"['Buck Henry', 'Robert Merle']","['George C. Scott', 'Trish Van Devere', 'Paul Sorvino']","['Drama', 'Sci-Fi', 'Thriller']",['United States'],"['Abaco Islands, Bahamas']",['AVCO Embassy Pictures'],['English'],0,4,2,1973
13. The Wicker Man,https://www.imdb.com/title/tt0070917/?ref_=sr_t_13,1973,1h 28m,R,7.5,98K,810000.0,528514.0,148882.0,5493.0,['Robin Hardy'],"['Anthony Shaffer', 'David Pinner']","['Edward Woodward', 'Christopher Lee', 'Diane Cilento']","['Folk Horror', 'Supernatural Horror', 'Horror', 'Mystery', 'Thriller']",['United Kingdom'],"['Culzean Castle, Maybole, South Ayrshire, Scotland, UK']",['British Lion Film Corporation'],['English'],0,6,0,1973
14. Amarcord,https://www.imdb.com/title/tt0071129/?ref_=sr_t_14,1973,2h 3m,R,7.8,48K,,197754.0,125493.0,432.0,['Federico Fellini'],"['Federico Fellini', 'Tonino Guerra']","['Magali Noël', 'Bruno Zanin', 'Pupella Maggio']","['Satire', 'Comedy', 'Drama']","['Italy', 'France']","['Rimini, Emilia-Romagna, Italy']","['F.C. Produzioni', 'PECF']","['Italian', 'Greek, Ancient (to 1453)']",0,9,0,1973
15. A Bigger Splash,https://www.imdb.com/title/tt0071219/?ref_=sr_t_15,1973,1h 46m,Not Rated,5.8,661,20000.0,130327.0,95826.0,18000.0,['Jack Hazan'],"['Jack Hazan', 'David Mingay']","['David Hockney', 'Peter Schlesinger', 'Celia Birtwell']","['Biography', 'Documentary', 'Drama']",['United Kingdom'],"['Notting Hill, London, England, UK']","['Buzzy Enterprises', 'Circle Associates Ltd.']",['English'],0,0,0,1973
16. The Holy Mountain,https://www.imdb.com/title/tt0071615/?ref_=sr_t_16,1973,1h 54m,R,7.7,50K,750000.0,112094.0,61001.0,4143.0,['Alejandro Jodorowsky'],['Alejandro Jodorowsky'],"['Alejandro Jodorowsky', 'Horacio Salinas', 'Zamira Saunders']","['Adventure', 'Drama', 'Fantasy']",['Mexico'],"['Chichén Itzá, Yucatán, Mexico']","['ABKCO Films', 'Producciones Zohar']",['Spanish'],0,0,0,1973
17. The Mother and the Whore,https://www.imdb.com/title/tt0070359/?ref_=sr_t_17,1973,3h 30m,Not Rated,7.7,7K,,47344.0,40555.0,5135.0,['Jean Eustache'],['Jean Eustache'],"['Bernadette Lafont', 'Jean-Pierre Léaud', 'Françoise Lebrun']","['Drama', 'Romance']",['France'],"['Café Les Deux Magots - 6 place Saint-Germain-des-Prés, Paris 6, Paris, France']","['Elite Films', 'Ciné Qua Non', 'Les Films du Losange']",['French'],0,0,0,1973
18. Mean Streets,https://www.imdb.com/title/tt0070379/?ref_=sr_t_18,1973,1h 52m,R,7.2,123K,500000.0,61676.0,32645.0,32645.0,['Martin Scorsese'],"['Martin Scorsese', 'Mardik Martin']","['Robert De Niro', 'Harvey Keitel', 'David Proval']","['Gangster', 'Crime', 'Drama', 'Thriller']",['United States'],"[""Old St Patrick's Cathedral - 263 Mulberry Street, Little Italy, Manhattan, New York City, New York, USA""]","['Warner Bros.', 'Taplin - Perry - Scorsese Productions']","['English', 'Italian', 'German', 'Yiddish']",0,5,0,1973
19. Enter the Dragon,https://www.imdb.com/title/tt0070034/?ref_=sr_t_19,1973,1h 42m,R,7.6,115K,850000.0,115762.0,25259.0,,['Robert Clouse'],"['Michael Allin', 'Bruce Lee']","['Bruce Lee', 'John Saxon', 'Jim Kelly']","['Kung Fu', 'Martial Arts', 'One-Person Army Action', 'Action', 'Crime', 'Thriller']","['Hong Kong', 'United States']","['Aberdeen Harbour, Aberdeen, Hong Kong, China']","['Warner Bros.', 'Concord Productions', 'Sequoia Pictures']","['English', 'Cantonese']",0,0,0,1973
20. Ganja & Hess,https://www.imdb.com/title/tt0068619/?ref_=sr_t_20,1973,1h 52m,R,6.2,2.8K,,21197.0,21197.0,3406.0,['Bill Gunn'],['Bill Gunn'],"['Duane Jones', 'Marlene Clark', 'Bill Gunn']","['Dark Fantasy', 'Dark Romance', 'Drama', 'Fantasy', 'Horror', 'Romance', 'Thriller']",['United States'],"['Croton-on-Hudson, New York, USA']",['Kelly/Jordan Enterprises'],"['English', 'French']",0,0,0,1973
21. Wattstax,https://www.imdb.com/title/tt0070902/?ref_=sr_t_21,1973,1h 43m,R,7.7,1.1K,,16155.0,16000.0,16000.0,['Mel Stuart'],[],"['The Dramatics', 'The Staple Singers', 'Kim Weston']","['Concert', 'Comedy', 'Documentary', 'Music']",['United States'],"['Los Angeles Memorial Coliseum - 3911 S. Figueroa Street, Exposition Park, Los Angeles, California, USA']","['Stax Records', 'Wolper Productions']",['English'],0,0,0,1973
22. The Fate of Lee Khan,https://www.imdb.com/title/tt0070942/?ref_=sr_t_22,1973,1h 45m,,7.2,919,,4295.0,4295.0,1648.0,['King Hu'],"['King Hu', 'Chung Wang']","['Li Hua Li', 'Roy Chiao', 'Feng Hsu']","['Action', 'Drama']","['Hong Kong', 'Taiwan']",[],"['King Hu Productions', 'Golden Harvest Company']",['Mandarin'],0,0,0,1973
23. Detroit 9000,https://www.imdb.com/title/tt0069966/?ref_=sr_t_23,1973,1h 46m,R,6.3,1.2K,,3179.0,3179.0,2054.0,['Arthur Marks'],['Orville H. Hampton'],"['Alex Rocco', 'Hari Rhodes', 'Vonetta McGee']","['Action', 'Crime', 'Drama']",['United States'],"['Detroit, Michigan, USA']",['Holly Hill Productions'],['English'],0,0,0,1973
24. Day for Night,https://www.imdb.com/title/tt0070460/?ref_=sr_t_24,1973,1h 56m,PG,8.0,25K,,509.0,509.0,11206.0,['François Truffaut'],"['François Truffaut', 'Jean-Louis Richard', 'Suzanne Schiffman']","['Jacqueline Bisset', 'Jean-Pierre Léaud', 'François Truffaut']","['Showbiz Drama', 'Comedy', 'Drama', 'Romance']","['France', 'Italy']","[""Aéroport Nice-Côte d'Azur - Nice, Alpes-Maritimes, France""]","['Les Films du Carrosse', 'PECF', 'Produzione Intercontinentale Cinematografica (PIC)']","['French', 'English', 'Italian']",0,7,0,1973
25. The Day of the Jackal,https://www.imdb.com/title/tt0069947/?ref_=sr_t_25,1973,2h 23m,PG,7.8,48K,,,16056255.0,,['Fred Zinnemann'],"['Frederick Forsyth', 'Kenneth Ross']","['Edward Fox', 'Terence Alexander', 'Michel Auclair']","['Political Thriller', 'Spy', 'Crime', 'Drama', 'Thriller']","['United Kingdom', 'France']","['La Bastide de Tourtour, Tourtour, Var, France']","['John Woolf Productions', 'Warwick Film Productions', 'Universal Productions France']","['English', 'Italian', 'French']",0,11,1,1973
26. Three Wishes for Cinderella,https://www.imdb.com/title/tt0070832/?ref_=sr_t_26,1973,1h 28m,,7.6,12K,,,,,['Václav Vorlícek'],"['Bozena Nemcová', 'Frantisek Pavlícek', 'Václav Vorlícek']","['Libuse Safránková', 'Pavel Trávnícek', 'Carola Braunbock']","['Coming-of-Age', 'Fairy Tale', 'Feel-Good Romance', 'Romantic Comedy', 'Teen Romance', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Romance']","['Czechoslovakia', 'East Germany']","['Moritzburg Castle, Saxony, Germany']","['Filmové studio Barrandov', 'DEFA-Studio für Spielfilme', ""Künstlerische Arbeitsgruppe ''Berlin''""]","['German', 'Czech']",0,0,0,1973
27. Paper Moon,https://www.imdb.com/title/tt0070510/?ref_=sr_t_27,1973,1h 42m,PG,8.1,54K,2500000.0,591.0,,,['Peter Bogdanovich'],"['Joe David Brown', 'Alvin Sargent']","[""Ryan O'Neal"", ""Tatum O'Neal"", 'Madeline Kahn']","['Caper', 'Road Trip', 'Comedy', 'Crime', 'Drama']",['United States'],"['Wilson, Kansas, USA']","['The Directors Company', 'Saticoy Productions', 'Paramount Pictures']",['English'],0,10,0,1973
28. Female Vampire,https://www.imdb.com/title/tt0069745/?ref_=sr_t_28,1973,1h 12m,Not Rated,4.7,2.1K,,,,,['Jesús Franco'],"['Gérard Brisseau', 'Jesús Franco', 'Josyane Gibert']","['Lina Romay', 'Jack Taylor', 'Alice Arno']","['Vampire Horror', 'Horror']","['France', 'Belgium']","['Madeira, Portugal']","['Eurociné', 'Général Films']",['French'],0,0,0,1973
29. Robin Hood,https://www.imdb.com/title/tt0070608/?ref_=sr_t_29,1973,1h 23m,G,7.5,143K,5000000.0,,,,"['Wolfgang Reitherman', 'David Hand']","['Larry Clemmons', 'Ken Anderson', 'Vance Gerry']","['Brian Bedford', 'Phil Harris', 'Roger Miller']","['Hand-Drawn Animation', 'Swashbuckler', 'Adventure', 'Animation', 'Comedy', 'Family', 'Musical', 'Romance']",['United States'],"['Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA']","['Walt Disney Animation Studios', 'Walt Disney Productions']","['English', 'Portuguese']",0,2,1,1973
30. Soylent Green,https://www.imdb.com/title/tt0070723/?ref_=sr_t_30,1973,1h 37m,PG,7.0,72K,4000000.0,210.0,,,['Richard Fleischer'],"['Stanley R. Greenberg', 'Harry Harrison']","['Charlton Heston', 'Edward G. Robinson', 'Leigh Taylor-Young']","['Dystopian Sci-Fi', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']",['United States'],"['Chevron Refinery Power Generating Station, 300 Vista del Mar, El Segundo, California, USA']",['Metro-Goldwyn-Mayer (MGM)'],"['English', 'Spanish', 'Hebrew']",0,0,0,1973
31. Westworld,https://www.imdb.com/title/tt0070909/?ref_=sr_t_31,1973,1h 28m,PG,6.9,64K,1250000.0,,,,['Michael Crichton'],['Michael Crichton'],"['Yul Brynner', 'Richard Benjamin', 'James Brolin']","['Artificial Intelligence', 'Dystopian Sci-Fi', 'Action', 'Drama', 'Sci-Fi', 'Thriller', 'Western']",['United States'],"['Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA']",['Metro-Goldwyn-Mayer (MGM)'],['English'],0,0,0,1973
32. The Last Detail,https://www.imdb.com/title/tt0070290/?ref_=sr_t_32,1973,1h 44m,R,7.5,29K,2300000.0,,,,['Hal Ashby'],"['Robert Towne', 'Darryl Ponicsan']","['Jack Nicholson', 'Randy Quaid', 'Otis Young']","['Buddy Comedy', 'Road Trip', 'Comedy', 'Drama']",['United States'],"['Portsmouth, New Hampshire, USA']","['Columbia Pictures', 'Bright-Persky Associates', 'Acrobat Productions']",['English'],0,9,3,1973
33. Badlands,https://www.imdb.com/title/tt0069762/?ref_=sr_t_33,1973,1h 34m,PG,7.7,80K,450000.0,54396.0,,,['Terrence Malick'],['Terrence Malick'],"['Martin Sheen', 'Sissy Spacek', 'Warren Oates']","['True Crime', 'Action', 'Crime', 'Drama']",['United States'],"['Rocky Ford, Colorado, USA']","['Warner Bros.', 'Pressman-Williams', 'Jill Jakes Production']","['English', 'Spanish']",0,0,1,1973
34. Walking Tall,https://www.imdb.com/title/tt0070895/?ref_=sr_t_34,1973,2h 5m,R,6.9,7K,500000.0,,,,['Phil Karlson'],"['Mort Briskin', 'Stephen Downing', 'John Michael Hayes']","['Joe Don Baker', 'Elizabeth Hartman', 'Leif Garrett']","['True Crime', 'Action', 'Biography', 'Crime', 'Drama', 'Thriller']",['United States'],"['Jackson, Tennessee, USA']",['Bing Crosby Productions'],['English'],0,0,0,1973
35. The Three Musketeers,https://www.imdb.com/title/tt0072281/?ref_=sr_t_35,1973,1h 46m,PG,7.1,21K,4500000.0,,,,['Richard Lester'],"['George MacDonald Fraser', 'Alexandre Dumas']","['Oliver Reed', 'Raquel Welch', 'Richard Chamberlain']","['Swashbuckler', 'Action', 'Adventure', 'Romance']","['United States', 'United Kingdom', 'Spain']","['Summer Palace, Aranjuez, Madrid, Spain']","['Alexander, Michael and Ilya Salkind Productions', 'Film Trust S.A.', 'Este Films']",['English'],0,7,5,1973
36. Don't Look Now,https://www.imdb.com/title/tt0069995/?ref_=sr_t_36,1973,1h 50m,R,7.1,65K,1500000.0,116008.0,,,['Nicolas Roeg'],"['Daphne Du Maurier', 'Allan Scott', 'Chris Bryant']","['Julie Christie', 'Donald Sutherland', 'Hilary Mason']","['Giallo', 'Psychological Horror', 'Drama', 'Horror', 'Mystery', 'Thriller']","['United Kingdom', 'Italy']","['Chiesa di San Nicolo dei Mendicoli, Campo San Nicolo, Dorsoduro, Venice, Veneto, Italy']","['Casey Productions', 'Eldorado Films', 'D.L.N. Ventures Partnership']","['English', 'Italian']",0,9,0,1973
37. My Name Is Nobody,https://www.imdb.com/title/tt0070215/?ref_=sr_t_37,1973,1h 56m,PG,7.3,30K,8000000.0,,,,['Tonino Valerii'],"['Sergio Leone', 'Fulvio Morsella', 'Ernesto Gastaldi']","['Terence Hill', 'Henry Fonda', 'Jean Martin']","['Buddy Comedy', 'Spaghetti Western', 'Comedy', 'Drama', 'Western']","['Italy', 'France', 'West Germany']","['White Sands National Monument, New Mexico, USA']","['Rafran Cinematografica', 'Les Films Jacques Leitienne', 'Imp.Ex.Ci.']",['Italian'],0,0,0,1973
38. White Lightning,https://www.imdb.com/title/tt0070915/?ref_=sr_t_38,1973,1h 41m,PG,6.4,6.1K,,,,,['Joseph Sargent'],['William W. Norton'],"['Burt Reynolds', 'Jennifer Billingsley', 'Ned Beatty']","['Dark Comedy', 'Action', 'Crime', 'Drama']",['United States'],"['Hope of the Hubcap Hamburger, Keo, Arkansas, USA']",['Levy-Gardner-Laven'],['English'],0,0,0,1973
39. Holiday on the Buses,https://www.imdb.com/title/tt0071613/?ref_=sr_t_39,1973,1h 27m,Approved,5.8,2.1K,,,,,['Bryan Izzard'],"['Ronald Wolfe', 'Ronald Chesney']","['Reg Varney', 'Stephen Lewis', 'Doris Hare']",['Comedy'],['United Kingdom'],"['Pontins Holiday Camp, Prestatyn, Denbighshire, Wales, UK']","['Anglo-EMI', 'Hammer Films']",['English'],0,0,0,1973
40. Pat Garrett & Billy the Kid,https://www.imdb.com/title/tt0070518/?ref_=sr_t_40,1973,2h 2m,R,7.2,22K,4638783.0,8455.0,,,['Sam Peckinpah'],['Rudy Wurlitzer'],"['James Coburn', 'Kris Kristofferson', 'Richard Jaeckel']","['Biography', 'Drama', 'Western']","['United States', 'Mexico']","['Durango, Mexico']","['Metro-Goldwyn-Mayer (MGM)', 'Estudios Churubusco Azteca S.A.']",['English'],0,0,2,1973
41. The Long Goodbye,https://www.imdb.com/title/tt0070334/?ref_=sr_t_41,1973,1h 52m,R,7.5,40K,1700000.0,23191.0,,,['Robert Altman'],"['Leigh Brackett', 'Raymond Chandler']","['Elliott Gould', 'Nina van Pallandt', 'Sterling Hayden']","['Hard-boiled Detective', 'Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",['United States'],"['High Tower Drive, Hollywood, Los Angeles, California, USA']","[""Lion's Gate Films"", 'E-K', 'United Artists']","['English', 'Spanish']",0,0,0,1973
42. Jesus Christ Superstar,https://www.imdb.com/title/tt0070239/?ref_=sr_t_42,1973,1h 46m,G,7.4,31K,,115531.0,,,['Norman Jewison'],"['Melvyn Bragg', 'Norman Jewison', 'Tim Rice']","['Ted Neeley', 'Carl Anderson', 'Yvonne Elliman']","['Rock Musical', 'Drama', 'History', 'Musical']",['United States'],"['Dead Sea, Israel']",['Universal Pictures'],['English'],0,13,1,1973
43. Invasion of the Bee Girls,https://www.imdb.com/title/tt0070222/?ref_=sr_t_43,1973,1h 26m,R,4.9,3.3K,,,,,['Denis Sanders'],['Nicholas Meyer'],"['William Smith', 'Anitra Ford', 'Victoria Vetri']","['Horror', 'Sci-Fi']",['United States'],"['California Institute of the Arts, 24700 McBean Pkwy, Valencia, California, USA']",['Sequoia Pictures'],['English'],0,0,0,1973
44. 14 and Under,https://www.imdb.com/title/tt0150661/?ref_=sr_t_44,1973,1h 27m,X,4.9,527,,,,,['Ernst Hofbauer'],['Günther Heller'],"['Lis Kertelge', 'Melitta Tegeler', 'Harald Baerow']",['Comedy'],['West Germany'],[],['Rapid Film'],['German'],0,0,0,1973
45. Malicious,https://www.imdb.com/title/tt0070358/?ref_=sr_t_45,1973,1h 38m,R,6.3,3.7K,,,109133.0,,['Salvatore Samperi'],"['Salvatore Samperi', 'Ottavio Jemma', 'Alessandro Parenzo']","['Laura Antonelli', 'Turi Ferro', 'Alessandro Momo']","['Comedy', 'Drama', 'Romance']",['Italy'],"['Acireale, Catania, Sicily, Italy']","['Clesi Cinematografica', 'Dino de Laurentiis Cinematografica']",['Italian'],0,3,0,1973
46. Torso,https://www.imdb.com/title/tt0069920/?ref_=sr_t_46,1973,1h 32m,R,6.5,8.3K,,,735550.0,,['Sergio Martino'],"['Sergio Martino', 'Ernesto Gastaldi']","['Suzy Kendall', 'Tina Aumont', 'Luc Merenda']","['Giallo', 'Psychological Horror', 'Psychological Thriller', 'Serial Killer', 'Slasher Horror', 'Crime', 'Horror', 'Mystery', 'Thriller']",['Italy'],"['Perugia, Umbria, Italy']",['Compagnia Cinematografica Champion'],['Italian'],0,0,0,1973
47. The Last of Sheila,https://www.imdb.com/title/tt0070291/?ref_=sr_t_47,1973,2h,PG,7.2,9.2K,2000000.0,535.0,,,['Herbert Ross'],"['Stephen Sondheim', 'Anthony Perkins']","['Richard Benjamin', 'James Coburn', 'James Mason']","['Dark Comedy', 'Whodunnit', 'Crime', 'Drama', 'Mystery', 'Thriller']",['United States'],"['Antibes, Alpes-Maritimes, France']",['Warner Bros.'],"['English', 'French']",0,0,0,1973
48. The Golden Voyage of Sinbad,https://www.imdb.com/title/tt0071569/?ref_=sr_t_48,1973,1h 45m,G,6.8,11K,982351.0,,,,['Gordon Hessler'],"['Brian Clemens', 'Ray Harryhausen']","['John Phillip Law', 'Caroline Munro', 'Tom Baker']","['Swashbuckler', 'Sword & Sorcery', 'Action', 'Adventure', 'Fantasy']","['United Kingdom', 'United States']","['Torrent de Pareis, Mallorca, Balearic Islands, Spain']",['Ameran Films'],"['English', 'Arabic']",0,0,0,1973
