Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Independence Day,https://www.imdb.com/title/tt0116629/?ref_=sr_t_1,1996,2h 25m,PG-13,7.0,620K
2. Twister,https://www.imdb.com/title/tt0117998/?ref_=sr_t_2,1996,1h 53m,PG-13,6.5,241K
3. Mission: Impossible,https://www.imdb.com/title/tt0117060/?ref_=sr_t_3,1996,1h 50m,PG-13,7.2,482K
4. Jerry Maguire,https://www.imdb.com/title/tt0116695/?ref_=sr_t_4,1996,2h 19m,R,7.3,294K
5. Ransom,https://www.imdb.com/title/tt0117438/?ref_=sr_t_5,1996,2h 1m,R,6.7,138K
6. 101 Dalmatians,https://www.imdb.com/title/tt0115433/?ref_=sr_t_6,1996,1h 43m,G,5.8,120K
7. The Rock,https://www.imdb.com/title/tt0117500/?ref_=sr_t_7,1996,2h 16m,R,7.4,366K
8. The Nutty Professor,https://www.imdb.com/title/tt0117218/?ref_=sr_t_8,1996,1h 35m,PG-13,5.7,126K
9. The Birdcage,https://www.imdb.com/title/tt0115685/?ref_=sr_t_9,1996,1h 57m,R,7.2,105K
10. A Time to Kill,https://www.imdb.com/title/tt0117913/?ref_=sr_t_10,1996,2h 29m,R,7.5,187K
11. The First Wives Club,https://www.imdb.com/title/tt0116313/?ref_=sr_t_11,1996,1h 43m,PG,6.4,56K
12. Phenomenon,https://www.imdb.com/title/tt0117333/?ref_=sr_t_12,1996,2h 3m,PG,6.4,86K
13. Scream,https://www.imdb.com/title/tt0117571/?ref_=sr_t_13,1996,1h 51m,R,7.4,409K
14. Eraser,https://www.imdb.com/title/tt0116213/?ref_=sr_t_14,1996,1h 55m,R,6.2,120K
15. The Hunchback of Notre Dame,https://www.imdb.com/title/tt0116583/?ref_=sr_t_15,1996,1h 31m,G,7.0,176K
16. Michael,https://www.imdb.com/title/tt0117038/?ref_=sr_t_16,1996,1h 45m,PG,5.7,46K
17. Star Trek: First Contact,https://www.imdb.com/title/tt0117731/?ref_=sr_t_17,1996,1h 51m,PG-13,7.6,134K
18. Space Jam,https://www.imdb.com/title/tt0117705/?ref_=sr_t_18,1996,1h 28m,PG,6.5,219K
19. The English Patient,https://www.imdb.com/title/tt0116209/?ref_=sr_t_19,1996,2h 42m,R,7.4,207K
20. Broken Arrow,https://www.imdb.com/title/tt0115759/?ref_=sr_t_20,1996,1h 48m,R,6.1,107K
21. Beavis and Butt-Head Do America,https://www.imdb.com/title/tt0115641/?ref_=sr_t_21,1996,1h 21m,PG-13,6.8,61K
22. Jingle All the Way,https://www.imdb.com/title/tt0116705/?ref_=sr_t_22,1996,1h 29m,PG,5.8,122K
23. The Cable Guy,https://www.imdb.com/title/tt0115798/?ref_=sr_t_23,1996,1h 36m,PG-13,6.1,182K
24. Courage Under Fire,https://www.imdb.com/title/tt0115956/?ref_=sr_t_24,1996,1h 56m,R,6.6,61K
25. Jack,https://www.imdb.com/title/tt0116669/?ref_=sr_t_25,1996,1h 53m,PG-13,5.8,65K
26. Executive Decision,https://www.imdb.com/title/tt0116253/?ref_=sr_t_26,1996,2h 13m,R,6.5,63K
27. Primal Fear,https://www.imdb.com/title/tt0117381/?ref_=sr_t_27,1996,2h 9m,R,7.7,255K
28. Tin Cup,https://www.imdb.com/title/tt0117918/?ref_=sr_t_28,1996,2h 15m,R,6.4,54K
29. Sleepers,https://www.imdb.com/title/tt0117665/?ref_=sr_t_29,1996,2h 27m,R,7.5,243K
30. DragonHeart,https://www.imdb.com/title/tt0116136/?ref_=sr_t_30,1996,1h 43m,PG-13,6.4,103K
31. Up Close & Personal,https://www.imdb.com/title/tt0118055/?ref_=sr_t_31,1996,2h 4m,PG-13,6.1,16K
32. Evita,https://www.imdb.com/title/tt0116250/?ref_=sr_t_32,1996,2h 15m,PG,6.3,38K
33. The Preacher's Wife,https://www.imdb.com/title/tt0117372/?ref_=sr_t_33,1996,2h 3m,PG,5.7,14K
34. Romeo + Juliet,https://www.imdb.com/title/tt0117509/?ref_=sr_t_34,1996,2h,PG-13,6.7,249K
35. One Fine Day,https://www.imdb.com/title/tt0117247/?ref_=sr_t_35,1996,1h 48m,PG,6.5,49K
36. The Mirror Has Two Faces,https://www.imdb.com/title/tt0117057/?ref_=sr_t_36,1996,2h 6m,PG-13,6.6,24K
