Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Spider-Man 3,https://www.imdb.com/title/tt0413300/?ref_=sr_t_1,2007,2h 19m,PG-13,6.3,657K
2. Shrek the Third,https://www.imdb.com/title/tt0413267/?ref_=sr_t_2,2007,1h 33m,PG,6.1,341K
3. Transformers,https://www.imdb.com/title/tt0418279/?ref_=sr_t_3,2007,2h 24m,PG-13,7.1,690K
4. Pirates of the Caribbean: At World's End,https://www.imdb.com/title/tt0449088/?ref_=sr_t_4,2007,2h 49m,PG-13,7.1,710K
5. Harry Potter and the Order of the Phoenix,https://www.imdb.com/title/tt0373889/?ref_=sr_t_5,2007,2h 18m,PG-13,7.5,655K
6. I Am Legend,https://www.imdb.com/title/tt0480249/?ref_=sr_t_6,2007,1h 41m,PG-13,7.2,838K
7. The Bourne Ultimatum,https://www.imdb.com/title/tt0440963/?ref_=sr_t_7,2007,1h 55m,PG-13,8.0,667K
8. National Treasure: Book of Secrets,https://www.imdb.com/title/tt0465234/?ref_=sr_t_8,2007,2h 4m,PG,6.5,259K
9. Alvin and the Chipmunks,https://www.imdb.com/title/tt0952640/?ref_=sr_t_9,2007,1h 32m,PG,5.3,98K
10. Ratatouille,https://www.imdb.com/title/tt0382932/?ref_=sr_t_10,2007,1h 51m,G,8.1,864K
11. The Simpsons Movie,https://www.imdb.com/title/tt0462538/?ref_=sr_t_11,2007,1h 27m,PG-13,7.3,355K
12. Wild Hogs,https://www.imdb.com/title/tt0486946/?ref_=sr_t_12,2007,1h 40m,PG-13,5.8,125K
13. Knocked Up,https://www.imdb.com/title/tt0478311/?ref_=sr_t_13,2007,2h 9m,R,6.9,390K
14. Juno,https://www.imdb.com/title/tt0467406/?ref_=sr_t_14,2007,1h 36m,PG-13,7.4,558K
15. Rush Hour 3,https://www.imdb.com/title/tt0293564/?ref_=sr_t_15,2007,1h 31m,PG-13,6.2,188K
16. Live Free or Die Hard,https://www.imdb.com/title/tt0337978/?ref_=sr_t_16,2007,2h 8m,PG-13,7.1,426K
17. Fantastic Four: Rise of the Silver Surfer,https://www.imdb.com/title/tt0486576/?ref_=sr_t_17,2007,1h 32m,PG,5.6,283K
18. American Gangster,https://www.imdb.com/title/tt0765429/?ref_=sr_t_18,2007,2h 37m,R,7.8,466K
19. Enchanted,https://www.imdb.com/title/tt0461770/?ref_=sr_t_19,2007,1h 47m,PG,7.1,221K
20. Bee Movie,https://www.imdb.com/title/tt0389790/?ref_=sr_t_20,2007,1h 31m,PG,6.1,185K
21. Superbad,https://www.imdb.com/title/tt0829482/?ref_=sr_t_21,2007,1h 53m,R,7.6,653K
22. I Now Pronounce You Chuck & Larry,https://www.imdb.com/title/tt0762107/?ref_=sr_t_22,2007,1h 55m,PG-13,5.9,156K
23. Hairspray,https://www.imdb.com/title/tt0427327/?ref_=sr_t_23,2007,1h 57m,PG,6.7,141K
24. Blades of Glory,https://www.imdb.com/title/tt0445934/?ref_=sr_t_24,2007,1h 33m,PG-13,6.3,180K
25. Ocean's Thirteen,https://www.imdb.com/title/tt0496806/?ref_=sr_t_25,2007,2h 2m,PG-13,6.9,374K
26. Ghost Rider,https://www.imdb.com/title/tt0259324/?ref_=sr_t_26,2007,1h 50m,PG-13,5.3,258K
27. Paranormal Activity,https://www.imdb.com/title/tt1179904/?ref_=sr_t_27,2007,1h 26m,R,6.3,263K
28. Evan Almighty,https://www.imdb.com/title/tt0413099/?ref_=sr_t_28,2007,1h 36m,PG,5.4,158K
29. Meet the Robinsons,https://www.imdb.com/title/tt0396555/?ref_=sr_t_29,2007,1h 35m,G,6.8,115K
30. Norbit,https://www.imdb.com/title/tt0477051/?ref_=sr_t_30,2007,1h 42m,PG-13,4.2,82K
31. The Bucket List,https://www.imdb.com/title/tt0825232/?ref_=sr_t_31,2007,1h 37m,PG-13,7.4,264K
32. The Game Plan,https://www.imdb.com/title/tt0492956/?ref_=sr_t_32,2007,1h 50m,PG,6.4,102K
33. Beowulf,https://www.imdb.com/title/tt0442933/?ref_=sr_t_33,2007,1h 55m,PG-13,6.3,176K
34. Bridge to Terabithia,https://www.imdb.com/title/tt0398808/?ref_=sr_t_34,2007,1h 36m,PG,7.2,179K
35. Disturbia,https://www.imdb.com/title/tt0486822/?ref_=sr_t_35,2007,1h 45m,PG-13,6.8,263K
36. No Country for Old Men,https://www.imdb.com/title/tt0477348/?ref_=sr_t_36,2007,2h 2m,R,8.2,1.1M
37. Fred Claus,https://www.imdb.com/title/tt0486583/?ref_=sr_t_37,2007,1h 56m,PG,5.7,49K
38. 1408,https://www.imdb.com/title/tt0450385/?ref_=sr_t_38,2007,1h 44m,PG-13,6.8,301K
39. The Golden Compass,https://www.imdb.com/title/tt0385752/?ref_=sr_t_39,2007,1h 53m,PG-13,6.1,199K
