Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Rain Man,https://www.imdb.com/title/tt0095953/?ref_=sr_t_1,1988,2h 13m,R,8.0,557K
2. Who Framed Roger Rabbit,https://www.imdb.com/title/tt0096438/?ref_=sr_t_2,1988,1h 44m,PG,7.7,223K
3. Coming to America,https://www.imdb.com/title/tt0094898/?ref_=sr_t_3,1988,1h 57m,R,7.1,230K
4. Big,https://www.imdb.com/title/tt0094737/?ref_=sr_t_4,1988,1h 44m,PG,7.3,247K
5. Twins,https://www.imdb.com/title/tt0096320/?ref_=sr_t_5,1988,1h 47m,PG,6.2,141K
6. Crocodile Dundee II,https://www.imdb.com/title/tt0092493/?ref_=sr_t_6,1988,1h 51m,PG,5.7,62K
7. Die Hard,https://www.imdb.com/title/tt0095016/?ref_=sr_t_7,1988,2h 12m,R,8.2,977K
8. The Naked Gun: From the Files of Police Squad!,https://www.imdb.com/title/tt0095705/?ref_=sr_t_8,1988,1h 25m,PG-13,7.6,191K
9. Cocktail,https://www.imdb.com/title/tt0094889/?ref_=sr_t_9,1988,1h 44m,R,5.9,94K
10. Beetlejuice,https://www.imdb.com/title/tt0094721/?ref_=sr_t_10,1988,1h 32m,PG,7.5,396K
11. Oliver & Company,https://www.imdb.com/title/tt0095776/?ref_=sr_t_11,1988,1h 14m,G,6.6,54K
12. Working Girl,https://www.imdb.com/title/tt0096463/?ref_=sr_t_12,1988,1h 53m,R,6.8,64K
13. A Fish Called Wanda,https://www.imdb.com/title/tt0095159/?ref_=sr_t_13,1988,1h 48m,R,7.5,157K
14. Scrooged,https://www.imdb.com/title/tt0096061/?ref_=sr_t_14,1988,1h 41m,PG-13,6.9,122K
15. Willow,https://www.imdb.com/title/tt0096446/?ref_=sr_t_15,1988,2h 6m,PG,7.2,132K
16. Beaches,https://www.imdb.com/title/tt0094715/?ref_=sr_t_16,1988,2h 3m,PG-13,7.0,30K
17. Rambo III,https://www.imdb.com/title/tt0095956/?ref_=sr_t_17,1988,1h 42m,R,5.8,143K
18. Bull Durham,https://www.imdb.com/title/tt0094812/?ref_=sr_t_18,1988,1h 48m,R,7.0,61K
19. A Nightmare on Elm Street 4: The Dream Master,https://www.imdb.com/title/tt0095742/?ref_=sr_t_19,1988,1h 33m,R,5.6,64K
20. The Land Before Time,https://www.imdb.com/title/tt0095489/?ref_=sr_t_20,1988,1h 9m,G,7.4,102K
21. Colors,https://www.imdb.com/title/tt0094894/?ref_=sr_t_21,1988,2h,R,6.7,31K
22. Young Guns,https://www.imdb.com/title/tt0096487/?ref_=sr_t_22,1988,1h 47m,R,6.8,70K
23. Biloxi Blues,https://www.imdb.com/title/tt0094746/?ref_=sr_t_23,1988,1h 46m,PG-13,6.7,17K
24. Dirty Rotten Scoundrels,https://www.imdb.com/title/tt0095031/?ref_=sr_t_24,1988,1h 50m,PG,7.4,81K
25. The Great Outdoors,https://www.imdb.com/title/tt0095253/?ref_=sr_t_25,1988,1h 31m,PG,6.6,53K
