Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Bad Boys for Life,https://www.imdb.com/title/tt1502397/?ref_=sr_t_1,2020,2h 4m,R,6.5,187K
2. A Quiet Place Part II,https://www.imdb.com/title/tt8332922/?ref_=sr_t_2,2020,1h 37m,PG-13,7.2,296K
3. Sonic the Hedgehog,https://www.imdb.com/title/tt3794354/?ref_=sr_t_3,2020,1h 39m,PG,6.5,171K
4. Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,https://www.imdb.com/title/tt7713068/?ref_=sr_t_4,2020,1h 49m,R,6.1,271K
5. Dolittle,https://www.imdb.com/title/tt6673612/?ref_=sr_t_5,2020,1h 41m,PG,5.6,73K
6. The Invisible Man,https://www.imdb.com/title/tt1051906/?ref_=sr_t_6,2020,2h 4m,R,7.1,266K
7. The Call of the Wild,https://www.imdb.com/title/tt7504726/?ref_=sr_t_7,2020,1h 40m,PG,6.7,60K
8. Onward,https://www.imdb.com/title/tt7146812/?ref_=sr_t_8,2020,1h 42m,PG,7.4,176K
9. The Croods: A New Age,https://www.imdb.com/title/tt2850386/?ref_=sr_t_9,2020,1h 35m,PG,6.9,56K
10. Tenet,https://www.imdb.com/title/tt6723592/?ref_=sr_t_10,2020,2h 30m,PG-13,7.3,617K
11. Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,https://www.imdb.com/title/tt11032374/?ref_=sr_t_11,2020,1h 57m,TV-MA,8.2,80K
12. Wonder Woman 1984,https://www.imdb.com/title/tt7126948/?ref_=sr_t_12,2020,2h 31m,PG-13,5.4,298K
13. Fantasy Island,https://www.imdb.com/title/tt0983946/?ref_=sr_t_13,2020,1h 49m,PG-13,4.9,61K
14. The New Mutants,https://www.imdb.com/title/tt4682266/?ref_=sr_t_14,2020,1h 34m,PG-13,5.3,94K
15. Like a Boss,https://www.imdb.com/title/tt7545266/?ref_=sr_t_15,2020,1h 23m,R,4.7,16K
16. The War with Grandpa,https://www.imdb.com/title/tt4532038/?ref_=sr_t_16,2020,1h 34m,PG,5.7,26K
17. Unhinged,https://www.imdb.com/title/tt10059518/?ref_=sr_t_17,2020,1h 30m,R,6.0,81K
18. The Photograph,https://www.imdb.com/title/tt7798646/?ref_=sr_t_18,2020,1h 46m,PG-13,6.1,6.3K
19. Underwater,https://www.imdb.com/title/tt5774060/?ref_=sr_t_19,2020,1h 35m,PG-13,5.9,101K
20. The Turning,https://www.imdb.com/title/tt7510346/?ref_=sr_t_20,2020,1h 34m,PG-13,3.9,17K
21. Gretel & Hansel,https://www.imdb.com/title/tt9086228/?ref_=sr_t_21,2020,1h 27m,PG-13,5.5,36K
22. Monster Hunter,https://www.imdb.com/title/tt6475714/?ref_=sr_t_22,2020,1h 43m,PG-13,5.2,70K
23. Honest Thief,https://www.imdb.com/title/tt1838556/?ref_=sr_t_23,2020,1h 39m,PG-13,6.0,60K
24. The Way Back,https://www.imdb.com/title/tt8544498/?ref_=sr_t_24,2020,1h 48m,R,6.7,54K
25. News of the World,https://www.imdb.com/title/tt6878306/?ref_=sr_t_25,2020,1h 58m,PG-13,6.8,97K
26. Brahms: The Boy II,https://www.imdb.com/title/tt9173418/?ref_=sr_t_26,2020,1h 26m,PG-13,4.7,21K
27. Bloodshot,https://www.imdb.com/title/tt1634106/?ref_=sr_t_27,2020,1h 49m,PG-13,5.7,87K
