Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Avatar,https://www.imdb.com/title/tt0499549/?ref_=sr_t_1,2009,2h 42m,PG-13,7.9,1.4M
2. Transformers: Revenge of the Fallen,https://www.imdb.com/title/tt1055369/?ref_=sr_t_2,2009,2h 29m,PG-13,6.0,437K
3. Harry Potter and the Half-Blood Prince,https://www.imdb.com/title/tt0417741/?ref_=sr_t_3,2009,2h 33m,PG,7.6,616K
4. The Twilight Saga: New Moon,https://www.imdb.com/title/tt1259571/?ref_=sr_t_4,2009,2h 10m,PG-13,4.8,307K
5. Up,https://www.imdb.com/title/tt1049413/?ref_=sr_t_5,2009,1h 36m,PG,8.3,1.2M
6. The Hangover,https://www.imdb.com/title/tt1119646/?ref_=sr_t_6,2009,1h 40m,R,7.7,872K
7. Star Trek,https://www.imdb.com/title/tt0796366/?ref_=sr_t_7,2009,2h 7m,PG-13,7.9,626K
8. The Blind Side,https://www.imdb.com/title/tt0878804/?ref_=sr_t_8,2009,2h 9m,PG-13,7.6,369K
9. Alvin and the Chipmunks: The Squeakquel,https://www.imdb.com/title/tt1231580/?ref_=sr_t_9,2009,1h 28m,PG,4.6,56K
10. Sherlock Holmes,https://www.imdb.com/title/tt0988045/?ref_=sr_t_10,2009,2h 8m,PG-13,7.6,684K
11. Monsters vs. Aliens,https://www.imdb.com/title/tt0892782/?ref_=sr_t_11,2009,1h 34m,PG,6.4,180K
12. Ice Age: Dawn of the Dinosaurs,https://www.imdb.com/title/tt1080016/?ref_=sr_t_12,2009,1h 34m,PG,6.9,272K
13. X-Men Origins: Wolverine,https://www.imdb.com/title/tt0458525/?ref_=sr_t_13,2009,1h 47m,PG-13,6.5,549K
14. Night at the Museum: Battle of the Smithsonian,https://www.imdb.com/title/tt1078912/?ref_=sr_t_14,2009,1h 45m,PG,6.0,218K
15. 2012,https://www.imdb.com/title/tt1190080/?ref_=sr_t_15,2009,2h 38m,PG-13,5.8,406K
16. The Proposal,https://www.imdb.com/title/tt1041829/?ref_=sr_t_16,2009,1h 48m,PG-13,6.8,374K
17. Fast & Furious,https://www.imdb.com/title/tt1013752/?ref_=sr_t_17,2009,1h 47m,PG-13,6.5,319K
18. G.I. Joe: The Rise of Cobra,https://www.imdb.com/title/tt1046173/?ref_=sr_t_18,2009,1h 58m,PG-13,5.7,217K
19. Paul Blart: Mall Cop,https://www.imdb.com/title/tt1114740/?ref_=sr_t_19,2009,1h 31m,PG,5.3,120K
20. A Christmas Carol,https://www.imdb.com/title/tt1067106/?ref_=sr_t_20,2009,1h 36m,PG,6.8,134K
21. Angels & Demons,https://www.imdb.com/title/tt0808151/?ref_=sr_t_21,2009,2h 18m,PG-13,6.7,315K
22. Terminator Salvation,https://www.imdb.com/title/tt0438488/?ref_=sr_t_22,2009,1h 55m,PG-13,6.5,383K
23. Cloudy with a Chance of Meatballs,https://www.imdb.com/title/tt0844471/?ref_=sr_t_23,2009,1h 30m,PG,6.9,267K
24. Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=sr_t_24,2009,2h 33m,R,8.4,1.6M
25. G-Force,https://www.imdb.com/title/tt0436339/?ref_=sr_t_25,2009,1h 28m,PG,5.1,51K
26. Coraline,https://www.imdb.com/title/tt0327597/?ref_=sr_t_26,2009,1h 40m,PG,7.8,279K
27. District 9,https://www.imdb.com/title/tt1136608/?ref_=sr_t_27,2009,1h 52m,R,7.9,729K
28. It's Complicated,https://www.imdb.com/title/tt1230414/?ref_=sr_t_28,2009,2h,R,6.5,100K
29. Couples Retreat,https://www.imdb.com/title/tt1078940/?ref_=sr_t_29,2009,1h 53m,R,5.5,117K
30. Watchmen,https://www.imdb.com/title/tt0409459/?ref_=sr_t_30,2009,2h 42m,R,7.6,593K
31. The Princess and the Frog,https://www.imdb.com/title/tt0780521/?ref_=sr_t_31,2009,1h 37m,G,7.2,174K
32. Public Enemies,https://www.imdb.com/title/tt1152836/?ref_=sr_t_32,2009,2h 20m,R,6.9,325K
33. Julie & Julia,https://www.imdb.com/title/tt1135503/?ref_=sr_t_33,2009,2h 3m,PG-13,7.0,131K
34. He's Just Not That Into You,https://www.imdb.com/title/tt1001508/?ref_=sr_t_34,2009,2h 9m,PG-13,6.4,186K
35. Madea Goes to Jail,https://www.imdb.com/title/tt1142800/?ref_=sr_t_35,2009,1h 43m,PG-13,4.6,13K
36. The Ugly Truth,https://www.imdb.com/title/tt1142988/?ref_=sr_t_36,2009,1h 36m,R,6.4,234K
37. Up in the Air,https://www.imdb.com/title/tt1193138/?ref_=sr_t_37,2009,1h 49m,R,7.4,353K
38. Knowing,https://www.imdb.com/title/tt0448011/?ref_=sr_t_38,2009,2h 1m,PG-13,6.2,253K
39. Hannah Montana: The Movie,https://www.imdb.com/title/tt1114677/?ref_=sr_t_39,2009,1h 42m,G,4.7,47K
40. Where the Wild Things Are,https://www.imdb.com/title/tt0386117/?ref_=sr_t_40,2009,1h 41m,PG,6.7,110K
41. Zombieland,https://www.imdb.com/title/tt1156398/?ref_=sr_t_41,2009,1h 28m,R,7.5,638K
42. Law Abiding Citizen,https://www.imdb.com/title/tt1197624/?ref_=sr_t_42,2009,1h 49m,R,7.4,329K
43. Hotel for Dogs,https://www.imdb.com/title/tt0785006/?ref_=sr_t_43,2009,1h 40m,PG,5.5,26K
44. This Is It,https://www.imdb.com/title/tt1477715/?ref_=sr_t_44,2009,1h 51m,PG,7.2,42K
