Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Three Men and a Baby,https://www.imdb.com/title/tt0094137/?ref_=sr_t_1,1987,1h 42m,PG,6.1,59K
2. Fatal Attraction,https://www.imdb.com/title/tt0093010/?ref_=sr_t_2,1987,1h 59m,R,6.9,103K
3. Beverly Hills Cop II,https://www.imdb.com/title/tt0092644/?ref_=sr_t_3,1987,1h 43m,R,6.6,142K
"4. Good Morning, Vietnam",https://www.imdb.com/title/tt0093105/?ref_=sr_t_4,1987,2h 1m,R,7.3,158K
5. Moonstruck,https://www.imdb.com/title/tt0093565/?ref_=sr_t_5,1987,1h 42m,PG,7.2,72K
6. The Untouchables,https://www.imdb.com/title/tt0094226/?ref_=sr_t_6,1987,1h 59m,R,7.8,339K
7. The Secret of My Success,https://www.imdb.com/title/tt0093936/?ref_=sr_t_7,1987,1h 51m,PG-13,6.5,38K
8. Stakeout,https://www.imdb.com/title/tt0094025/?ref_=sr_t_8,1987,1h 57m,R,6.7,29K
9. Lethal Weapon,https://www.imdb.com/title/tt0093409/?ref_=sr_t_9,1987,1h 49m,R,7.6,283K
10. Dirty Dancing,https://www.imdb.com/title/tt0092890/?ref_=sr_t_10,1987,1h 40m,PG-13,7.1,265K
11. The Witches of Eastwick,https://www.imdb.com/title/tt0094332/?ref_=sr_t_11,1987,1h 58m,R,6.5,80K
12. Predator,https://www.imdb.com/title/tt0093773/?ref_=sr_t_12,1987,1h 47m,R,7.8,470K
13. Throw Momma from the Train,https://www.imdb.com/title/tt0094142/?ref_=sr_t_13,1987,1h 28m,PG-13,6.3,42K
14. Dragnet,https://www.imdb.com/title/tt0092925/?ref_=sr_t_14,1987,1h 46m,PG-13,6.0,38K
15. La Bamba,https://www.imdb.com/title/tt0093378/?ref_=sr_t_15,1987,1h 48m,PG-13,6.9,37K
16. RoboCop,https://www.imdb.com/title/tt0093870/?ref_=sr_t_16,1987,1h 42m,R,7.6,292K
17. Outrageous Fortune,https://www.imdb.com/title/tt0093690/?ref_=sr_t_17,1987,1h 39m,R,6.2,8.9K
18. Broadcast News,https://www.imdb.com/title/tt0092699/?ref_=sr_t_18,1987,2h 13m,R,7.3,35K
19. The Living Daylights,https://www.imdb.com/title/tt0093428/?ref_=sr_t_19,1987,2h 10m,PG,6.7,108K
20. Eddie Murphy: Raw,https://www.imdb.com/title/tt0092948/?ref_=sr_t_20,1987,1h 33m,R,7.6,21K
"21. Planes, Trains & Automobiles",https://www.imdb.com/title/tt0093748/?ref_=sr_t_21,1987,1h 33m,R,7.6,168K
22. Full Metal Jacket,https://www.imdb.com/title/tt0093058/?ref_=sr_t_22,1987,1h 56m,R,8.2,811K
23. A Nightmare on Elm Street 3: Dream Warriors,https://www.imdb.com/title/tt0093629/?ref_=sr_t_23,1987,1h 36m,R,6.7,94K
24. The Last Emperor,https://www.imdb.com/title/tt0093389/?ref_=sr_t_24,1987,2h 43m,PG-13,7.7,114K
25. Wall Street,https://www.imdb.com/title/tt0094291/?ref_=sr_t_25,1987,2h 6m,R,7.3,168K
26. Mannequin,https://www.imdb.com/title/tt0093493/?ref_=sr_t_26,1987,1h 30m,PG,6.0,37K
27. Roxanne,https://www.imdb.com/title/tt0093886/?ref_=sr_t_27,1987,1h 47m,PG,6.6,49K
28. Blind Date,https://www.imdb.com/title/tt0092666/?ref_=sr_t_28,1987,1h 35m,PG-13,5.9,25K
29. The Running Man,https://www.imdb.com/title/tt0093894/?ref_=sr_t_29,1987,1h 41m,R,6.6,172K
30. Spaceballs,https://www.imdb.com/title/tt0094012/?ref_=sr_t_30,1987,1h 36m,PG,7.1,213K
31. Summer School,https://www.imdb.com/title/tt0094072/?ref_=sr_t_31,1987,1h 37m,PG-13,6.6,23K
32. No Way Out,https://www.imdb.com/title/tt0093640/?ref_=sr_t_32,1987,1h 54m,R,7.1,49K
33. Like Father Like Son,https://www.imdb.com/title/tt0093418/?ref_=sr_t_33,1987,1h 40m,PG-13,5.2,6.6K
34. Adventures in Babysitting,https://www.imdb.com/title/tt0092513/?ref_=sr_t_34,1987,1h 42m,PG-13,6.9,51K
35. *batteries not included,https://www.imdb.com/title/tt0092494/?ref_=sr_t_35,1987,1h 47m,PG,6.6,39K
36. The Lost Boys,https://www.imdb.com/title/tt0093437/?ref_=sr_t_36,1987,1h 37m,R,7.2,167K
37. Can't Buy Me Love,https://www.imdb.com/title/tt0092718/?ref_=sr_t_37,1987,1h 34m,PG-13,6.8,43K
38. Nuts,https://www.imdb.com/title/tt0093660/?ref_=sr_t_38,1987,1h 56m,R,6.6,7.8K
39. The Princess Bride,https://www.imdb.com/title/tt0093779/?ref_=sr_t_39,1987,1h 38m,PG,8.0,461K
40. Revenge of the Nerds II: Nerds in Paradise,https://www.imdb.com/title/tt0093857/?ref_=sr_t_40,1987,1h 28m,PG-13,5.1,16K
41. Harry and the Hendersons,https://www.imdb.com/title/tt0093148/?ref_=sr_t_41,1987,1h 50m,PG,6.1,39K
42. Police Academy 4: Citizens on Patrol,https://www.imdb.com/title/tt0093756/?ref_=sr_t_42,1987,1h 28m,PG,5.0,47K
43. Overboard,https://www.imdb.com/title/tt0093693/?ref_=sr_t_43,1987,1h 52m,PG,6.9,71K
44. Baby Boom,https://www.imdb.com/title/tt0092605/?ref_=sr_t_44,1987,1h 50m,PG,6.3,20K
45. Innerspace,https://www.imdb.com/title/tt0093260/?ref_=sr_t_45,1987,2h,PG,6.8,67K
46. Tin Men,https://www.imdb.com/title/tt0094155/?ref_=sr_t_46,1987,1h 52m,R,6.6,10K
47. Black Widow,https://www.imdb.com/title/tt0090738/?ref_=sr_t_47,1987,1h 42m,R,6.4,11K
48. Ernest Goes to Camp,https://www.imdb.com/title/tt0092974/?ref_=sr_t_48,1987,1h 32m,PG,5.5,13K
49. Raising Arizona,https://www.imdb.com/title/tt0093822/?ref_=sr_t_49,1987,1h 34m,PG-13,7.3,154K
50. Benji the Hunted,https://www.imdb.com/title/tt0092638/?ref_=sr_t_50,1987,1h 28m,G,6.2,3.5K
51. Empire of the Sun,https://www.imdb.com/title/tt0092965/?ref_=sr_t_51,1987,2h 33m,PG,7.7,137K
52. Jaws: The Revenge,https://www.imdb.com/title/tt0093300/?ref_=sr_t_52,1987,1h 29m,PG-13,3.0,51K
53. Hello Again,https://www.imdb.com/title/tt0093175/?ref_=sr_t_53,1987,1h 36m,PG,5.3,3.9K
54. Critical Condition,https://www.imdb.com/title/tt0092798/?ref_=sr_t_54,1987,1h 37m,R,5.3,4K
55. The Principal,https://www.imdb.com/title/tt0093780/?ref_=sr_t_55,1987,1h 49m,R,6.3,12K
56. Suspect,https://www.imdb.com/title/tt0094082/?ref_=sr_t_56,1987,2h 1m,R,6.6,12K
57. The Believers,https://www.imdb.com/title/tt0092632/?ref_=sr_t_57,1987,1h 54m,R,6.1,8.4K
58. Some Kind of Wonderful,https://www.imdb.com/title/tt0094006/?ref_=sr_t_58,1987,1h 35m,PG-13,7.0,36K
59. Project X,https://www.imdb.com/title/tt0093793/?ref_=sr_t_59,1987,1h 48m,PG,6.2,13K
60. Born in East L.A.,https://www.imdb.com/title/tt0092690/?ref_=sr_t_60,1987,1h 25m,R,6.0,6.8K
61. Masters of the Universe,https://www.imdb.com/title/tt0093507/?ref_=sr_t_61,1987,1h 46m,PG,5.4,46K
62. Angel Heart,https://www.imdb.com/title/tt0092563/?ref_=sr_t_62,1987,1h 53m,R,7.2,98K
63. Burglar,https://www.imdb.com/title/tt0092710/?ref_=sr_t_63,1987,1h 43m,R,5.1,4.9K
64. Over the Top,https://www.imdb.com/title/tt0093692/?ref_=sr_t_64,1987,1h 33m,PG,5.8,61K
65. Superman IV: The Quest for Peace,https://www.imdb.com/title/tt0094074/?ref_=sr_t_65,1987,1h 30m,PG,3.7,54K
66. Flowers in the Attic,https://www.imdb.com/title/tt0093036/?ref_=sr_t_66,1987,1h 33m,PG-13,5.7,12K
67. Radio Days,https://www.imdb.com/title/tt0093818/?ref_=sr_t_67,1987,1h 28m,PG,7.4,37K
68. Hellraiser,https://www.imdb.com/title/tt0093177/?ref_=sr_t_68,1987,1h 34m,R,6.9,146K
69. Ishtar,https://www.imdb.com/title/tt0093278/?ref_=sr_t_69,1987,1h 47m,PG-13,4.7,12K
70. Prince of Darkness,https://www.imdb.com/title/tt0093777/?ref_=sr_t_70,1987,1h 42m,R,6.7,52K
71. Creepshow 2,https://www.imdb.com/title/tt0092796/?ref_=sr_t_71,1987,1h 32m,R,6.0,29K
72. Hamburger Hill,https://www.imdb.com/title/tt0093137/?ref_=sr_t_72,1987,1h 50m,R,6.7,29K
73. The Gate,https://www.imdb.com/title/tt0093075/?ref_=sr_t_73,1987,1h 25m,PG-13,6.0,21K
74. The Pick-up Artist,https://www.imdb.com/title/tt0093737/?ref_=sr_t_74,1987,1h 21m,PG-13,5.4,8K
75. Back to the Beach,https://www.imdb.com/title/tt0092608/?ref_=sr_t_75,1987,1h 32m,PG,5.9,3.5K
76. The Bedroom Window,https://www.imdb.com/title/tt0092627/?ref_=sr_t_76,1987,1h 52m,R,6.4,7.2K
77. The Fourth Protocol,https://www.imdb.com/title/tt0093044/?ref_=sr_t_77,1987,1h 59m,R,6.5,11K
78. Less Than Zero,https://www.imdb.com/title/tt0093407/?ref_=sr_t_78,1987,1h 38m,R,6.4,23K
79. Fatal Beauty,https://www.imdb.com/title/tt0093011/?ref_=sr_t_79,1987,1h 44m,R,5.4,4.2K
80. Extreme Prejudice,https://www.imdb.com/title/tt0092997/?ref_=sr_t_80,1987,1h 45m,R,6.6,9.2K
81. Light of Day,https://www.imdb.com/title/tt0093415/?ref_=sr_t_81,1987,1h 47m,PG-13,5.6,3.4K
82. Disorderlies,https://www.imdb.com/title/tt0092897/?ref_=sr_t_82,1987,1h 26m,PG,5.0,2.6K
83. Someone to Watch Over Me,https://www.imdb.com/title/tt0094008/?ref_=sr_t_83,1987,1h 46m,R,6.1,12K
84. Hope and Glory,https://www.imdb.com/title/tt0093209/?ref_=sr_t_84,1987,1h 53m,PG-13,7.3,15K
85. Maid to Order,https://www.imdb.com/title/tt0093476/?ref_=sr_t_85,1987,1h 33m,PG,5.6,3.7K
