Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. The Hunger Games: Catching Fire,https://www.imdb.com/title/tt1951264/?ref_=sr_t_1,2013,2h 26m,PG-13,7.5,738K
2. Iron Man 3,https://www.imdb.com/title/tt1300854/?ref_=sr_t_2,2013,2h 10m,PG-13,7.1,920K
3. Frozen,https://www.imdb.com/title/tt2294629/?ref_=sr_t_3,2013,1h 42m,PG,7.4,680K
4. Despicable Me 2,https://www.imdb.com/title/tt1690953/?ref_=sr_t_4,2013,1h 38m,PG,7.3,438K
5. Man of Steel,https://www.imdb.com/title/tt0770828/?ref_=sr_t_5,2013,2h 23m,PG-13,7.1,826K
6. Gravity,https://www.imdb.com/title/tt1454468/?ref_=sr_t_6,2013,1h 31m,PG-13,7.7,876K
7. Monsters University,https://www.imdb.com/title/tt1453405/?ref_=sr_t_7,2013,1h 44m,G,7.2,403K
8. The Hobbit: The Desolation of Smaug,https://www.imdb.com/title/tt1170358/?ref_=sr_t_8,2013,2h 41m,PG-13,7.8,724K
9. Fast & Furious 6,https://www.imdb.com/title/tt1905041/?ref_=sr_t_9,2013,2h 10m,PG-13,7.0,424K
10. Oz the Great and Powerful,https://www.imdb.com/title/tt1623205/?ref_=sr_t_10,2013,2h 10m,PG,6.3,217K
11. Star Trek Into Darkness,https://www.imdb.com/title/tt1408101/?ref_=sr_t_11,2013,2h 12m,PG-13,7.7,502K
12. Thor: The Dark World,https://www.imdb.com/title/tt1981115/?ref_=sr_t_12,2013,1h 52m,PG-13,6.7,742K
13. World War Z,https://www.imdb.com/title/tt0816711/?ref_=sr_t_13,2013,1h 56m,PG-13,7.0,743K
14. The Croods,https://www.imdb.com/title/tt0481499/?ref_=sr_t_14,2013,1h 38m,PG,7.1,239K
15. The Heat,https://www.imdb.com/title/tt2404463/?ref_=sr_t_15,2013,1h 57m,R,6.6,184K
16. We're the Millers,https://www.imdb.com/title/tt1723121/?ref_=sr_t_16,2013,1h 50m,R,7.0,500K
17. American Hustle,https://www.imdb.com/title/tt1800241/?ref_=sr_t_17,2013,2h 18m,R,7.2,507K
18. The Great Gatsby,https://www.imdb.com/title/tt1343092/?ref_=sr_t_18,2013,2h 23m,PG-13,7.2,613K
19. The Conjuring,https://www.imdb.com/title/tt1457767/?ref_=sr_t_19,2013,1h 52m,R,7.5,575K
20. Identity Thief,https://www.imdb.com/title/tt2024432/?ref_=sr_t_20,2013,1h 51m,R,5.7,143K
21. Grown Ups 2,https://www.imdb.com/title/tt2191701/?ref_=sr_t_21,2013,1h 41m,PG-13,5.4,176K
22. The Wolverine,https://www.imdb.com/title/tt1430132/?ref_=sr_t_22,2013,2h 6m,PG-13,6.7,507K
23. Anchorman 2: The Legend Continues,https://www.imdb.com/title/tt1229340/?ref_=sr_t_23,2013,1h 59m,PG-13,6.3,196K
24. Lone Survivor,https://www.imdb.com/title/tt1091191/?ref_=sr_t_24,2013,2h 1m,R,7.5,313K
25. G.I. Joe: Retaliation,https://www.imdb.com/title/tt1583421/?ref_=sr_t_25,2013,1h 50m,PG-13,5.7,189K
26. Cloudy with a Chance of Meatballs 2,https://www.imdb.com/title/tt1985966/?ref_=sr_t_26,2013,1h 35m,PG,6.3,118K
27. Now You See Me,https://www.imdb.com/title/tt1670345/?ref_=sr_t_27,2013,1h 55m,PG-13,7.2,727K
28. The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/?ref_=sr_t_28,2013,3h,R,8.2,1.6M
29. The Butler,https://www.imdb.com/title/tt1327773/?ref_=sr_t_29,2013,2h 12m,PG-13,7.2,121K
30. The Hangover Part III,https://www.imdb.com/title/tt1951261/?ref_=sr_t_30,2013,1h 40m,R,5.8,344K
31. Epic,https://www.imdb.com/title/tt0848537/?ref_=sr_t_31,2013,1h 42m,PG,6.6,111K
32. Captain Phillips,https://www.imdb.com/title/tt1535109/?ref_=sr_t_32,2013,2h 14m,PG-13,7.8,503K
33. Jackass Presents: Bad Grandpa,https://www.imdb.com/title/tt3063516/?ref_=sr_t_33,2013,1h 32m,R,6.5,99K
34. Pacific Rim,https://www.imdb.com/title/tt1663662/?ref_=sr_t_34,2013,2h 11m,PG-13,6.9,541K
35. This Is the End,https://www.imdb.com/title/tt1245492/?ref_=sr_t_35,2013,1h 47m,R,6.6,441K
36. Olympus Has Fallen,https://www.imdb.com/title/tt2302755/?ref_=sr_t_36,2013,1h 59m,R,6.5,298K
37. 42,https://www.imdb.com/title/tt0453562/?ref_=sr_t_37,2013,2h 8m,PG-13,7.5,105K
38. Elysium,https://www.imdb.com/title/tt1535108/?ref_=sr_t_38,2013,1h 49m,R,6.6,479K
39. Planes,https://www.imdb.com/title/tt1691917/?ref_=sr_t_39,2013,1h 31m,PG,5.7,50K
40. The Lone Ranger,https://www.imdb.com/title/tt1210819/?ref_=sr_t_40,2013,2h 30m,PG-13,6.4,247K
41. Oblivion,https://www.imdb.com/title/tt1483013/?ref_=sr_t_41,2013,2h 4m,PG-13,7.0,564K
42. Insidious: Chapter 2,https://www.imdb.com/title/tt2226417/?ref_=sr_t_42,2013,1h 46m,PG-13,6.6,194K
43. Saving Mr. Banks,https://www.imdb.com/title/tt2140373/?ref_=sr_t_43,2013,2h 5m,PG-13,7.5,172K
