Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Who's Afraid of Virginia Woolf?,https://www.imdb.com/title/tt0061184/?ref_=sr_t_1,1966,2h 11m,Approved,8.0,82K,7500000.0,28006929.0,28000000.0,,['Mike Nichols'],"['Ernest Lehman', 'Edward Albee']","['Elizabeth Taylor', 'Richard Burton', 'George Segal']","['Psychological Drama', 'Drama']",['United States'],"['Cambridge, Massachusetts, USA']","['Warner Bros.', 'Chenault Productions']","['English', 'Latin', 'Spanish']",0,26,0,1966
"2. The Good, the Bad and the Ugly",https://www.imdb.com/title/tt0060196/?ref_=sr_t_2,1966,2h 58m,R,8.8,837K,1200000.0,25264999.0,25100000.0,,['Sergio Leone'],"['Luciano Vincenzoni', 'Sergio Leone', 'Agenore Incrocci']","['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']","['Adventure Epic', 'Dark Comedy', 'Desert Adventure', 'Epic', 'Period Drama', 'Quest', 'Spaghetti Western', 'Western Epic', 'Adventure', 'Drama']","['Italy', 'Spain', 'West Germany', 'United States']","['Carazo, Burgos, Castilla y León, Spain']","['Produzioni Europee Associate (PEA)', 'Arturo González Producciones Cinematográficas', 'Constantin Film']","['Italian', 'English']",0,5,0,1966
3. The Battle of Algiers,https://www.imdb.com/title/tt0058946/?ref_=sr_t_3,1966,2h 1m,Not Rated,8.1,69K,800000.0,962002.0,879794.0,64870.0,['Gillo Pontecorvo'],"['Franco Solinas', 'Gillo Pontecorvo']","['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi']","['Docudrama', 'Political Drama', 'Drama', 'War']","['Italy', 'Algeria']","['Casbah, Algiers, Algeria']","['Igor Film', 'Casbah Film']","['Arabic', 'French', 'English', 'Spanish']",0,8,3,1966
4. Masculine Feminine,https://www.imdb.com/title/tt0060675/?ref_=sr_t_4,1966,1h 43m,Not Rated,7.4,18K,,205543.0,200380.0,26855.0,['Jean-Luc Godard'],"['Jean-Luc Godard', 'Guy de Maupassant']","['Jean-Pierre Léaud', 'Chantal Goya', 'Marlène Jobert']","['Teen Drama', 'Drama', 'Romance']","['France', 'Sweden']","['Scandic Hotel Continental, Norrmalm, Stockholm, Stockholms län, Sweden']","['Anouchka Films', 'Argos Films', 'Sandrews']","['French', 'Swedish', 'English']",0,3,0,1966
5. Andrei Rublev,https://www.imdb.com/title/tt0060107/?ref_=sr_t_5,1966,3h 9m,R,8.0,58K,1000000.0,176472.0,124189.0,11537.0,['Andrei Tarkovsky'],"['Andrei Konchalovsky', 'Andrei Tarkovsky']","['Anatoliy Solonitsyn', 'Ivan Lapikov', 'Nikolay Grinko']","['Docudrama', 'Period Drama', 'Biography', 'Drama', 'History']",['Soviet Union'],"['Assumption Cathedral of the Dormition, Vladimir, Russia']","['Mosfilm', 'Tvorcheskoe Obedinienie Pisateley i Kinorabotnikov']","['Russian', 'Italian', 'Tatar']",0,0,0,1966
6. Made in U.S.A,https://www.imdb.com/title/tt0060647/?ref_=sr_t_6,1966,1h 30m,Not Rated,6.2,4.7K,50000.0,95304.0,95209.0,11147.0,['Jean-Luc Godard'],"['Jean-Luc Godard', 'Donald E. Westlake']","['Anna Karina', 'László Szabó', 'Jean-Pierre Léaud']","['Comedy', 'Crime', 'Mystery']",['France'],"['Paris, France']","['Anouchka Films', 'Rome Paris Films', 'S.E.P.I.C.']","['French', 'English']",0,0,0,1966
7. Au hasard Balthazar,https://www.imdb.com/title/tt0060138/?ref_=sr_t_7,1966,1h 35m,Not Rated,7.7,24K,,45406.0,45406.0,8436.0,['Robert Bresson'],['Robert Bresson'],"['Anne Wiazemsky', 'Walter Green', 'François Lafarge']","['Epic', 'Psychological Drama', 'Tragedy', 'Drama']","['France', 'Sweden']","['Guyancourt, Yvelines, France']","['Argos Films', 'Athos Films', 'Parc Film']","['French', 'Latin']",0,2,0,1966
8. The Nun,https://www.imdb.com/title/tt0060891/?ref_=sr_t_8,1966,2h 20m,GP,7.5,3.3K,,32659.0,30245.0,6273.0,['Jacques Rivette'],"['Denis Diderot', 'Jean Gruault', 'Jacques Rivette']","['Anna Karina', 'Liselotte Pulver', 'Micheline Presle']",['Drama'],['France'],"['Chartreuse, 58 rue de la République, Villeneuve-les-Avignon, Gard, France']","['Rome Paris Films', 'Société Nouvelle de Cinématographie (SNC)']","['French', 'Latin']",0,0,0,1966
9. Django,https://www.imdb.com/title/tt0060315/?ref_=sr_t_9,1966,1h 31m,R,7.2,32K,,30323.0,25916.0,6150.0,['Sergio Corbucci'],"['Sergio Corbucci', 'Bruno Corbucci', 'Franco Rossetti']","['Franco Nero', 'José Canalejas', 'José Bódalo']","['Spaghetti Western', 'Action', 'Drama', 'Western']","['Italy', 'Spain']","['Torremocha de Jarama, Madrid, Spain']","['B.R.C. Produzione S.r.l.', 'Tecisa']",['Italian'],0,0,0,1966
10. King of Hearts,https://www.imdb.com/title/tt0060908/?ref_=sr_t_10,1966,1h 42m,Not Rated,7.3,4.5K,,18130.0,17646.0,3443.0,['Philippe de Broca'],"['Daniel Boulanger', 'Maurice Bessy']","['Alan Bates', 'Geneviève Bujold', 'Pierre Brasseur']","['Period Drama', 'Political Drama', 'Satire', 'Comedy', 'Drama', 'War']","['France', 'Italy']","['Senlis, Oise, France']","['Fildebroc', 'Les Productions Artistes Associés', 'Compagnia Cinematografica Montoro']","['French', 'English', 'German', 'Latin']",0,0,0,1966
11. Time to Die,https://www.imdb.com/title/tt0059803/?ref_=sr_t_11,1966,1h 30m,,7.4,575,,13707.0,13707.0,3411.0,['Arturo Ripstein'],"['Gabriel García Márquez', 'Carlos Fuentes']","['Marga López', 'Jorge Martínez de Hoyos', 'Enrique Rocha']","['Drama', 'Western']",['Mexico'],"['Pátzcuaro, Michoacán, Mexico']",['Alameda Films'],['Spanish'],0,0,0,1966
12. Daisies,https://www.imdb.com/title/tt0060959/?ref_=sr_t_12,1966,1h 15m,Not Rated,7.2,16K,,14191.0,13692.0,6576.0,['Vera Chytilová'],"['Vera Chytilová', 'Pavel Jurácek', 'Ester Krumbachová']","['Ivana Karbanová', 'Jitka Cerhová', 'Marie Cesková']","['Coming-of-Age', 'Dark Comedy', 'Satire', 'Screwball Comedy', 'Slapstick', 'Teen Comedy', 'Comedy']",['Czechoslovakia'],"['Barrandov Studios, Prague, Czech Republic']",['Filmové studio Barrandov'],['Czech'],0,0,0,1966
13. The Endless Summer,https://www.imdb.com/title/tt0060371/?ref_=sr_t_13,1966,1h 35m,Not Rated,7.6,6.5K,50000.0,11274.0,10233.0,,['Bruce Brown'],['Bruce Brown'],"['Robert August', 'Michael Hynson', 'Lord James Blears']","['Extreme Sport', 'Sports Documentary', 'Travel Documentary', 'Water Sport', 'Documentary', 'Sport']",['United States'],"['Tahiti, French Polynesia']",['Bruce Brown Films'],['English'],0,0,0,1966
14. Fahrenheit 451,https://www.imdb.com/title/tt0060390/?ref_=sr_t_14,1966,1h 52m,Not Rated,7.2,46K,1500000.0,581.0,509.0,11206.0,['François Truffaut'],"['François Truffaut', 'Jean-Louis Richard', 'Ray Bradbury']","['Oskar Werner', 'Julie Christie', 'Cyril Cusack']","['Drama', 'Sci-Fi']",['United Kingdom'],"['Châteauneuf-sur-Loire, Loiret, France']","['Anglo Enterprises', 'Vineyard Film Ltd.']","['English', 'Russian', 'Japanese', 'French']",0,0,1,1966
15. El Dorado,https://www.imdb.com/title/tt0061619/?ref_=sr_t_15,1966,2h 6m,Approved,7.5,32K,4653000.0,,,,['Howard Hawks'],"['Leigh Brackett', 'Harry Brown']","['John Wayne', 'Robert Mitchum', 'James Caan']","['Drama', 'Romance', 'Western']",['United States'],"['Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA']","['Paramount Pictures', 'Laurel Productions']","['English', 'Spanish']",0,0,0,1966
16. Blow-Up,https://www.imdb.com/title/tt0060176/?ref_=sr_t_16,1966,1h 51m,Not Rated,7.4,70K,1800000.0,38575.0,,,['Michelangelo Antonioni'],"['Michelangelo Antonioni', 'Julio Cortázar', 'Tonino Guerra']","['David Hemmings', 'Vanessa Redgrave', 'Sarah Miles']","['Giallo', 'Drama', 'Mystery', 'Thriller']","['United Kingdom', 'Italy']","['Maryon Park, Woolwich Road, Charlton, London, England, UK']","['Carlo Ponti Production', 'Bridge Films']",['English'],0,9,2,1966
17. Persona,https://www.imdb.com/title/tt0060827/?ref_=sr_t_17,1966,1h 23m,Not Rated,8.0,134K,,90813.0,,,['Ingmar Bergman'],['Ingmar Bergman'],"['Bibi Andersson', 'Liv Ullmann', 'Margaretha Krook']","['Drama', 'Thriller']",['Sweden'],"['Fårö, Gotlands län, Sweden']",['AB Svensk Filmindustri'],"['Swedish', 'English']",0,4,1,1966
