Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Lawrence of Arabia,https://www.imdb.com/title/tt0056172/?ref_=sr_t_1,1962,3h 47m,PG,8.3,324K,15000000.0,45763719.0,45306425.0,20846.0,['David Lean'],"['Robert Bolt', 'Michael Wilson']","[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn']","['Adventure Epic', 'Desert Adventure', 'War Epic', 'Adventure', 'Biography', 'Drama', 'War']","['United Kingdom', 'United States']","['Wadi Rum, Jordan']",['Horizon Pictures (II)'],"['English', 'Arabic', 'Turkish']",0,14,0,1962
2. Dr. No,https://www.imdb.com/title/tt0055928/?ref_=sr_t_2,1962,1h 50m,PG,7.2,184K,392022.0,16120643.0,16067035.0,,['Terence Young'],"['Richard Maibaum', 'Johanna Harwood', 'Berkely Mather']","['Sean Connery', 'Ursula Andress', 'Bernard Lee']","['Spy', 'Action', 'Adventure', 'Thriller']","['United Kingdom', 'United States']","[""Dunn's River Falls, Ocho Rios, St. Ann, Jamaica""]",['Eon Productions'],"['English', 'French', 'Italian']",0,4,0,1962
3. The Manchurian Candidate,https://www.imdb.com/title/tt0056218/?ref_=sr_t_3,1962,2h 6m,PG-13,7.9,81K,2200000.0,2757256.0,2757256.0,87850.0,['John Frankenheimer'],"['Richard Condon', 'George Axelrod', 'John Frankenheimer']","['Frank Sinatra', 'Laurence Harvey', 'Janet Leigh']","['Conspiracy Thriller', 'Political Thriller', 'Psychological Thriller', 'Spy', 'Tragedy', 'Drama', 'Thriller']",['United States'],"[""Jilly's, 52nd Street at 8th Avenue, Manhattan, New York City, New York, USA""]",['M.C. Productions'],"['English', 'Spanish']",0,9,2,1962
4. To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/?ref_=sr_t_4,1962,2h 9m,Approved,8.3,340K,2000000.0,599934.0,592237.0,357549.0,['Robert Mulligan'],"['Harper Lee', 'Horton Foote']","['Gregory Peck', 'John Megna', 'Frank Overton']","['Legal Drama', 'Period Drama', 'Crime', 'Drama']",['United States'],"['Monroeville, Alabama, USA']","['Pakula-Mulligan', 'Brentwood Productions']",['English'],0,16,0,1962
5. Mafioso,https://www.imdb.com/title/tt0056210/?ref_=sr_t_5,1962,1h 45m,Not Rated,7.6,3.1K,,400019.0,400019.0,29965.0,['Alberto Lattuada'],"['Rafael Azcona', 'Bruno Caruso', 'Marco Ferreri']","['Alberto Sordi', 'Norma Bengell', 'Gabriella Conti']","['Comedy', 'Crime', 'Drama']",['Italy'],"['Belmonte Mezzagno, Sicily, Italy']","['Compagnia Cinematografica Antonio Cervi', 'Dino de Laurentiis Cinematografica']","['Italian', 'English', 'French', 'German']",0,2,0,1962
6. The Trial,https://www.imdb.com/title/tt0057427/?ref_=sr_t_6,1962,1h 59m,Not Rated,7.6,25K,1300000.0,93688.0,93533.0,7280.0,['Orson Welles'],"['Pierre Cholot', 'Franz Kafka', 'Orson Welles']","['Anthony Perkins', 'Arnoldo Foà', 'Jess Hahn']","['Legal Drama', 'Legal Thriller', 'Drama', 'Mystery', 'Thriller']","['France', 'Italy', 'West Germany']","['240 Grada Vukovara Street, Zagreb, Croatia']","['Paris-Europa Productions', 'Hisa-Film', 'Finanziaria Cinematografica Italiana (FICIT)']",['English'],0,2,0,1962
7. Le Doulos,https://www.imdb.com/title/tt0054821/?ref_=sr_t_7,1962,1h 48m,Not Rated,7.7,12K,,91410.0,82772.0,9362.0,['Jean-Pierre Melville'],"['Pierre Lesou', 'Jean-Pierre Melville']","['Jean-Paul Belmondo', 'Serge Reggiani', 'Jean Desailly']","['Crime', 'Thriller']","['France', 'Italy']","['Rue Watt, Paris 13, Paris, France']","['Compagnia Cinematografica Champion', 'Rome Paris Films']",['French'],0,0,0,1962
8. How the West Was Won,https://www.imdb.com/title/tt0056085/?ref_=sr_t_8,1962,2h 44m,G,7.1,24K,15000000.0,76729.0,76729.0,28568.0,"['John Ford', 'Henry Hathaway', 'George Marshall']","['James R. Webb', 'Gerald Devriès', 'Christian Dura']","['James Stewart', 'John Wayne', 'Gregory Peck']","['Classical Western', 'Western Epic', 'Adventure', 'War', 'Western']",['United States'],"['Cave-In-Rock State Park - 1 New State Park Road, Cave-In-Rock, Illinois, USA']","['Metro-Goldwyn-Mayer (MGM)', 'Cinerama Productions Corp.']","['English', 'Arapaho']",0,5,0,1962
9. Le combat dans l'île,https://www.imdb.com/title/tt0054758/?ref_=sr_t_9,1962,1h 44m,PG-13,6.5,948,,50039.0,50039.0,10217.0,['Alain Cavalier'],"['Alain Cavalier', 'Jean-Paul Rappeneau']","['Romy Schneider', 'Jean-Louis Trintignant', 'Henri Serre']","['Drama', 'Romance', 'Thriller']",['France'],"[""Le Moulin d'Andé, 65 rue du Moulin, Andé, Eure, France""]","['Union Générale Cinématographique (UGC)', 'La Société des Films Sirius', 'Nouvelles Éditions de Films (NEF)']","['French', 'English']",0,0,0,1962
10. Sanjuro,https://www.imdb.com/title/tt0056443/?ref_=sr_t_10,1962,1h 36m,Not Rated,8.0,42K,,64161.0,46808.0,15942.0,['Akira Kurosawa'],"['Ryûzô Kikushima', 'Hideo Oguni', 'Akira Kurosawa']","['Toshirô Mifune', 'Tatsuya Nakadai', 'Keiju Kobayashi']","['Samurai', 'Action', 'Drama', 'Thriller']",['Japan'],"['Toho Studios, Tokyo, Japan']","['Toho', 'Kurosawa Production Co.']",['Japanese'],0,0,0,1962
11. Vivre sa vie,https://www.imdb.com/title/tt0056663/?ref_=sr_t_11,1962,1h 25m,Not Rated,7.8,36K,64000.0,65588.0,24517.0,8336.0,['Jean-Luc Godard'],"['Marcel Sacotte', 'Jean-Luc Godard']","['Anna Karina', 'Sady Rebbot', 'André S. Labarthe']","['Psychological Drama', 'Tragedy', 'Drama']",['France'],"['Paris, France']","['Les Films de la Pléiade', 'Pathé Consortium Cinéma']",['French'],0,0,0,1962
12. Ivan's Childhood,https://www.imdb.com/title/tt0056111/?ref_=sr_t_12,1962,1h 35m,Not Rated,8.0,41K,,87638.0,22168.0,11537.0,"['Andrei Tarkovsky', 'Eduard Abalov']","['Vladimir Bogomolov', 'Mikhail Papava', 'Andrei Tarkovsky']","['Nikolay Burlyaev', 'Valentin Zubkov', 'Evgeniy Zharikov']","['Coming-of-Age', 'Drama', 'War']",['Soviet Union'],"['Dnieper River, Kanev, Ukraine']","['Mosfilm', 'Trete Tvorcheskoe Obedinenie']","['Russian', 'German']",0,0,0,1962
13. A Kind of Loving,https://www.imdb.com/title/tt0056141/?ref_=sr_t_13,1962,1h 52m,Not Rated,7.3,2.8K,165000.0,6912.0,6912.0,3278.0,['John Schlesinger'],"['Willis Hall', 'Keith Waterhouse', 'Stan Barstow']","['Alan Bates', 'June Ritchie', 'Thora Hird']","['Drama', 'Romance']",['United Kingdom'],"[""The Promenade, St Anne's on Sea, Fylde, Lancashire, England, UK""]","['Joseph Janni Production', 'Vic Films Productions', 'Waterhall Productions']","['English', 'German']",0,4,4,1962
14. Jules and Jim,https://www.imdb.com/title/tt0055032/?ref_=sr_t_14,1962,1h 45m,Not Rated,7.7,45K,,487117.0,509.0,11206.0,['François Truffaut'],"['Henri-Pierre Roché', 'François Truffaut', 'Jean Gruault']","['Jeanne Moreau', 'Oskar Werner', 'Henri Serre']","['Period Drama', 'Psychological Drama', 'Tragic Romance', 'Drama', 'Romance']",['France'],"['Cimetière du Père-Lachaise, 16 rue du Repos, Paris 20, Paris, France']","['Les Films du Carrosse', 'Sédif Productions']","['French', 'German', 'English']",0,4,2,1962
15. Harakiri,https://www.imdb.com/title/tt0056058/?ref_=sr_t_15,1962,2h 13m,Not Rated,8.6,76K,,15222.0,,,['Masaki Kobayashi'],"['Yasuhiko Takiguchi', 'Shinobu Hashimoto']","['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita']","['Period Drama', 'Drama', 'Mystery']",['Japan'],"['Kyoto, Kyoto, Japan']",['Shochiku'],['Japanese'],0,3,0,1962
