Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Lawrence of Arabia,https://www.imdb.com/title/tt0056172/?ref_=sr_t_1,1962,3h 47m,PG,8.3,324K
2. Dr. No,https://www.imdb.com/title/tt0055928/?ref_=sr_t_2,1962,1h 50m,PG,7.2,184K
3. The Manchurian Candidate,https://www.imdb.com/title/tt0056218/?ref_=sr_t_3,1962,2h 6m,PG-13,7.9,81K
4. To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/?ref_=sr_t_4,1962,2h 9m,Approved,8.3,340K
5. Mafioso,https://www.imdb.com/title/tt0056210/?ref_=sr_t_5,1962,1h 45m,Not Rated,7.6,3.1K
6. The Trial,https://www.imdb.com/title/tt0057427/?ref_=sr_t_6,1962,1h 59m,Not Rated,7.6,25K
7. Le Doulos,https://www.imdb.com/title/tt0054821/?ref_=sr_t_7,1962,1h 48m,Not Rated,7.7,12K
8. How the West Was Won,https://www.imdb.com/title/tt0056085/?ref_=sr_t_8,1962,2h 44m,G,7.1,24K
9. Le combat dans l'île,https://www.imdb.com/title/tt0054758/?ref_=sr_t_9,1962,1h 44m,PG-13,6.5,948
10. Sanjuro,https://www.imdb.com/title/tt0056443/?ref_=sr_t_10,1962,1h 36m,Not Rated,8.0,42K
11. Vivre sa vie,https://www.imdb.com/title/tt0056663/?ref_=sr_t_11,1962,1h 25m,Not Rated,7.8,36K
12. Ivan's Childhood,https://www.imdb.com/title/tt0056111/?ref_=sr_t_12,1962,1h 35m,Not Rated,8.0,41K
13. A Kind of Loving,https://www.imdb.com/title/tt0056141/?ref_=sr_t_13,1962,1h 52m,Not Rated,7.3,2.8K
14. Jules and Jim,https://www.imdb.com/title/tt0055032/?ref_=sr_t_14,1962,1h 45m,Not Rated,7.7,45K
15. Harakiri,https://www.imdb.com/title/tt0056058/?ref_=sr_t_15,1962,2h 13m,Not Rated,8.6,76K
16. Lolita,https://www.imdb.com/title/tt0056193/?ref_=sr_t_16,1962,2h 33m,Approved,7.5,111K
17. The Music Man,https://www.imdb.com/title/tt0056262/?ref_=sr_t_17,1962,2h 31m,G,7.7,20K
18. Period of Adjustment,https://www.imdb.com/title/tt0056341/?ref_=sr_t_18,1962,1h 52m,Approved,6.2,1.7K
