Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. 2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/?ref_=sr_t_1,1968,2h 29m,G,8.3,742K
2. Funny Girl,https://www.imdb.com/title/tt0062994/?ref_=sr_t_2,1968,2h 31m,G,7.4,26K
3. The Odd Couple,https://www.imdb.com/title/tt0063374/?ref_=sr_t_3,1968,1h 45m,G,7.6,38K
4. Planet of the Apes,https://www.imdb.com/title/tt0063442/?ref_=sr_t_4,1968,1h 52m,G,8.0,203K
5. Hang 'Em High,https://www.imdb.com/title/tt0061747/?ref_=sr_t_5,1968,1h 54m,Approved,7.0,45K
6. Chitty Chitty Bang Bang,https://www.imdb.com/title/tt0062803/?ref_=sr_t_6,1968,2h 24m,G,6.9,52K
7. Where Eagles Dare,https://www.imdb.com/title/tt0065207/?ref_=sr_t_7,1968,2h 38m,M,7.6,65K
8. Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/?ref_=sr_t_8,1968,2h 46m,PG-13,8.5,361K
9. Coogan's Bluff,https://www.imdb.com/title/tt0062824/?ref_=sr_t_9,1968,1h 34m,Approved,6.4,20K
10. Yellow Submarine,https://www.imdb.com/title/tt0063823/?ref_=sr_t_10,1968,1h 25m,G,7.4,29K
11. Bullitt,https://www.imdb.com/title/tt0062765/?ref_=sr_t_11,1968,1h 54m,M/PG,7.4,78K
12. Journey to Shiloh,https://www.imdb.com/title/tt0063161/?ref_=sr_t_12,1968,1h 41m,Approved,5.6,1.1K
13. Night of the Living Dead,https://www.imdb.com/title/tt0063350/?ref_=sr_t_13,1968,1h 36m,R,7.8,144K
"14. I Love You, I Love You",https://www.imdb.com/title/tt0063152/?ref_=sr_t_14,1968,1h 31m,,7.1,3.4K
15. The Great Silence,https://www.imdb.com/title/tt0063032/?ref_=sr_t_15,1968,1h 45m,Not Rated,7.7,19K
16. The Queen,https://www.imdb.com/title/tt0063477/?ref_=sr_t_16,1968,1h 8m,Not Rated,7.2,1.4K
17. The Bride Wore Black,https://www.imdb.com/title/tt0061955/?ref_=sr_t_17,1968,1h 47m,Unrated,7.2,11K
18. Memories of Underdevelopment,https://www.imdb.com/title/tt0063291/?ref_=sr_t_18,1968,1h 37m,Not Rated,7.6,4.9K
19. The Lion in Winter,https://www.imdb.com/title/tt0063227/?ref_=sr_t_19,1968,2h 14m,PG,7.9,35K
20. The Chronicle of Anna Magdalena Bach,https://www.imdb.com/title/tt0062804/?ref_=sr_t_20,1968,1h 34m,,6.8,1.6K
21. Stolen Kisses,https://www.imdb.com/title/tt0062695/?ref_=sr_t_21,1968,1h 31m,R,7.5,16K
22. Oliver!,https://www.imdb.com/title/tt0063385/?ref_=sr_t_22,1968,2h 33m,G,7.4,42K
23. Romeo and Juliet,https://www.imdb.com/title/tt0063518/?ref_=sr_t_23,1968,2h 18m,PG,7.6,36K
24. Rosemary's Baby,https://www.imdb.com/title/tt0063522/?ref_=sr_t_24,1968,2h 17m,R,8.0,245K
25. Barbarella,https://www.imdb.com/title/tt0062711/?ref_=sr_t_25,1968,1h 38m,PG,5.9,39K
26. The Thomas Crown Affair,https://www.imdb.com/title/tt0063688/?ref_=sr_t_26,1968,1h 42m,R,6.9,29K
27. The Party,https://www.imdb.com/title/tt0063415/?ref_=sr_t_27,1968,1h 39m,Approved,7.4,45K
"28. Yours, Mine and Ours",https://www.imdb.com/title/tt0063829/?ref_=sr_t_28,1968,1h 51m,Unrated,7.1,10K
29. Candy,https://www.imdb.com/title/tt0062776/?ref_=sr_t_29,1968,1h 55m,R,5.1,3.8K
30. Vixen!,https://www.imdb.com/title/tt0063787/?ref_=sr_t_30,1968,1h 10m,X,5.6,3.2K
31. Bandolero!,https://www.imdb.com/title/tt0062708/?ref_=sr_t_31,1968,1h 46m,PG-13,6.5,5.9K
32. Carne,https://www.imdb.com/title/tt0064130/?ref_=sr_t_32,1968,1h 30m,X,5.4,343
33. The Wrecking Crew,https://www.imdb.com/title/tt0065225/?ref_=sr_t_33,1968,1h 45m,PG,5.5,3.9K
34. The Devil Rides Out,https://www.imdb.com/title/tt0062885/?ref_=sr_t_34,1968,1h 35m,G,6.9,11K
35. Shalako,https://www.imdb.com/title/tt0063592/?ref_=sr_t_35,1968,1h 53m,M/PG,5.6,3.6K
36. Danger: Diabolik,https://www.imdb.com/title/tt0062861/?ref_=sr_t_36,1968,1h 45m,PG-13,6.5,7.5K
37. The Detective,https://www.imdb.com/title/tt0062883/?ref_=sr_t_37,1968,1h 54m,Approved,6.5,4.3K
38. Vibrations,https://www.imdb.com/title/tt0062440/?ref_=sr_t_38,1968,1h 15m,X,5.5,187
39. If....,https://www.imdb.com/title/tt0063850/?ref_=sr_t_39,1968,1h 51m,R,7.4,26K
40. With Six You Get Eggroll,https://www.imdb.com/title/tt0063821/?ref_=sr_t_40,1968,1h 35m,G,6.4,3.1K
41. Hellfighters,https://www.imdb.com/title/tt0063060/?ref_=sr_t_41,1968,2h 1m,G,6.5,6.8K
42. Teorema,https://www.imdb.com/title/tt0063678/?ref_=sr_t_42,1968,1h 38m,Not Rated,7.0,16K
