Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. The Jungle Book,https://www.imdb.com/title/tt0061852/?ref_=sr_t_1,1967,1h 18m,Approved,7.6,204K,4000000.0,205843612.0,141843612.0,5291670.0,['Wolfgang Reitherman'],"['Larry Clemmons', 'Ralph Wright', 'Ken Anderson']","['Phil Harris', 'Sebastian Cabot', 'Louis Prima']","['Animal Adventure', 'Hand-Drawn Animation', 'Jungle Adventure', 'Quest', 'Adventure', 'Animation', 'Comedy', 'Family', 'Musical']",['United States'],"['Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA']","['Walt Disney Animation Studios', 'Walt Disney Productions']",['English'],0,4,1,1967
2. The Graduate,https://www.imdb.com/title/tt0061722/?ref_=sr_t_2,1967,1h 46m,PG,8.0,294K,3000000.0,105017024.0,104945305.0,37948.0,['Mike Nichols'],"['Calder Willingham', 'Buck Henry', 'Charles Webb']","['Dustin Hoffman', 'Anne Bancroft', 'Katharine Ross']","['Coming-of-Age', 'Romantic Comedy', 'Satire', 'Comedy', 'Drama', 'Romance']",['United States'],"['607 North Palm Drive, Beverly Hills, California, USA']",['Lawrence Truman Productions'],['English'],0,17,0,1967
3. Guess Who's Coming to Dinner,https://www.imdb.com/title/tt0061735/?ref_=sr_t_3,1967,1h 48m,Approved,7.8,50K,4000000.0,56666797.0,56666667.0,,['Stanley Kramer'],"['William Rose', 'Max Morise']","['Spencer Tracy', 'Sidney Poitier', 'Katharine Hepburn']","['Comedy', 'Drama']",['United States'],"[""Mel's Drive-in - 5199 Mission Street, at Rolph Street, San Francisco, California, USA""]","['Columbia Pictures', 'Stanley Kramer Productions']","['English', 'Latin']",0,25,0,1967
4. You Only Live Twice,https://www.imdb.com/title/tt0062512/?ref_=sr_t_4,1967,1h 57m,PG,6.8,121K,9500000.0,43115913.0,43084787.0,,['Lewis Gilbert'],"['Harold Jack Bloom', 'Roald Dahl', 'Ian Fleming']","['Sean Connery', 'Akiko Wakabayashi', 'Mie Hama']","['Spy', 'Action', 'Adventure', 'Thriller']","['United Kingdom', 'Japan']","['Mount Shinmu-dake, Kirishima-Yaku National Park, Kagoshima, Japan']",['Eon Productions'],"['English', 'Japanese', 'Russian']",0,3,1,1967
5. Belle de Jour,https://www.imdb.com/title/tt0061395/?ref_=sr_t_5,1967,1h 40m,Approved,7.6,51K,,4162334.0,4063348.0,6462.0,['Luis Buñuel'],"['Joseph Kessel', 'Luis Buñuel', 'Jean-Claude Carrière']","['Catherine Deneuve', 'Jean Sorel', 'Michel Piccoli']","['Steamy Romance', 'Drama', 'Romance']","['France', 'Italy']","['Chalet de la Grande Cascade, Allée de Longchamp, Bois de Boulogne, Paris 16, Paris, France']","['Robert et Raymond Hakim', 'Paris Film Productions', 'Five Film']","['French', 'Kalmyk-Oirat', 'Spanish', 'Latin', 'English']",0,5,1,1967
6. The Producers,https://www.imdb.com/title/tt0063462/?ref_=sr_t_6,1967,1h 28m,PG,7.5,62K,941000.0,375524.0,328673.0,6091.0,['Mel Brooks'],['Mel Brooks'],"['Zero Mostel', 'Gene Wilder', 'Dick Shawn']","['Farce', 'Comedy', 'Music']",['United States'],"['Broadway Theatre - 1681 Broadway, Manhattan, New York City, New York, USA']","['Crossbow Productions', 'Springtime Productions', 'U-M Productions']","['English', 'German']",0,5,0,1967
7. Le Samouraï,https://www.imdb.com/title/tt0062229/?ref_=sr_t_7,1967,1h 41m,GP,8.0,61K,,326794.0,216696.0,14899.0,['Jean-Pierre Melville'],"['Jean-Pierre Melville', 'Joan McLeod', 'Georges Pellegrin']","['Alain Delon', 'François Périer', 'Nathalie Delon']","['Crime', 'Drama', 'Thriller']","['France', 'Italy']","[""11 Boulevard de l'Amiral Bruix, Paris 16, Paris, France""]","['Compagnie Industrielle et Commerciale Cinématographique (CICC)', 'Fida Cinematografica', 'Filmel']",['French'],0,0,0,1967
8. 2 or 3 Things I Know About Her,https://www.imdb.com/title/tt0060304/?ref_=sr_t_8,1967,1h 27m,Not Rated,6.5,8.8K,,104038.0,104038.0,11214.0,['Jean-Luc Godard'],"['Catherine Vimenet', 'Jean-Luc Godard']","['Jean-Luc Godard', 'Yves Beneyton', 'Juliet Berto']","['Dark Comedy', 'Comedy', 'Drama']",['France'],"['Paris, France']","['Argos Films', 'Anouchka Films', 'Les Films du Carrosse']","['French', 'Italian', 'English']",0,0,0,1967
9. The Young Girls of Rochefort,https://www.imdb.com/title/tt0062873/?ref_=sr_t_9,1967,2h 5m,G,7.7,13K,,98221.0,91837.0,,['Jacques Demy'],['Jacques Demy'],"['Catherine Deneuve', 'George Chakiris', 'Françoise Dorléac']","['Classic Musical', 'Comedy', 'Drama', 'Musical', 'Romance']",['France'],"['Rochefort, Charente-Maritime, France']","['Parc Film', 'Madeleine Films']","['French', 'English']",0,0,1,1967
10. The Two of Us,https://www.imdb.com/title/tt0063771/?ref_=sr_t_10,1967,1h 26m,Not Rated,7.6,2.6K,,56558.0,56558.0,5255.0,['Claude Berri'],"['Claude Berri', 'Gérard Brach', 'Michel Rivelin']","['Michel Simon', 'Roger Carel', 'Paul Préboist']","['Comedy', 'Drama']",['France'],"['Studios Éclair, Épinay-sur-Seine, Seine-Saint-Denis, France']","['Production Artistique et Cinématographique (PAC)', 'Renn Productions', 'Valoria Films']",['French'],0,2,0,1967
11. The Chinese,https://www.imdb.com/title/tt0061473/?ref_=sr_t_11,1967,1h 35m,Not Rated,6.9,8.6K,,36488.0,36488.0,9355.0,['Jean-Luc Godard'],['Jean-Luc Godard'],"['Anne Wiazemsky', 'Jean-Pierre Léaud', 'Juliet Berto']","['Comedy', 'Drama']",['France'],"['15 Rue de Miromesnil, Paris, France']","['Anouchka Films', 'Les Productions de la Guéville', 'Athos Films']",['French'],0,2,0,1967
12. Accident,https://www.imdb.com/title/tt0061328/?ref_=sr_t_12,1967,1h 45m,Not Rated,6.8,5.1K,272811.0,65615.0,17161.0,5798.0,['Joseph Losey'],"['Nicholas Mosley', 'Harold Pinter']","['Dirk Bogarde', 'Stanley Baker', 'Jacqueline Sassard']",['Drama'],['United Kingdom'],"['Syon House, Syon Park, Brentford, Middlesex, England, UK']",['Royal Avenue Chelsea'],['English'],0,9,4,1967
13. Far from Vietnam,https://www.imdb.com/title/tt0061913/?ref_=sr_t_13,1967,2h,Not Rated,7.3,912,,8132.0,8132.0,1125.0,"['Jean-Luc Godard', 'Joris Ivens', 'William Klein']","['Jean-Luc Godard', 'Jean Lacouture', 'Chris Marker']","['Anne Bellec', 'Karen Blanguernon', 'Fidel Castro']","['Documentary', 'Drama', 'War']",['France'],"['Paris, France']",['Société pour le Lancement des Oeuvres Nouvelles (SLON)'],"['French', 'English', 'Vietnamese', 'Spanish']",0,0,0,1967
14. A Man Vanishes,https://www.imdb.com/title/tt0062043/?ref_=sr_t_14,1967,2h 10m,,7.1,856,,15457.0,6201.0,1576.0,['Shôhei Imamura'],[],"['Shigeru Tsuyuguchi', 'Yoshie Hayakawa', 'Shôhei Imamura']","['Docudrama', 'Documentary', 'Drama']",['Japan'],"['Niigata, Japan']","['Imamura Productions', 'Art Theatre Guild (ATG)', 'Nihon Eiga Shinsha']",['Japanese'],0,0,0,1967
15. Fitzwilly,https://www.imdb.com/title/tt0061669/?ref_=sr_t_15,1967,1h 42m,Approved,6.6,2.2K,,,,,['Delbert Mann'],"['Isobel Lennart', 'Poyntz Tyler']","['Dick Van Dyke', 'Barbara Feldon', 'John McGiver']","['Satire', 'Comedy', 'Romance']",['United States'],"['Steinway Hall, 109-113 West 57th Street, Manhattan, New York City, New York, USA']",['The Mirisch Corporation'],"['English', 'French']",0,0,0,1967
16. Cool Hand Luke,https://www.imdb.com/title/tt0061512/?ref_=sr_t_16,1967,2h 7m,Approved,8.0,193K,3200000.0,1767.0,,,['Stuart Rosenberg'],"['Donn Pearce', 'Frank Pierson', 'Hal Dresner']","['Paul Newman', 'George Kennedy', 'Strother Martin']","['Prison Drama', 'Tragedy', 'Crime', 'Drama']",['United States'],"['Jacksonville, Florida, USA']",['Jalem Productions'],['English'],0,11,0,1967
17. The Dirty Dozen,https://www.imdb.com/title/tt0061578/?ref_=sr_t_17,1967,2h 30m,Approved,7.7,81K,5400000.0,,,,['Robert Aldrich'],"['Nunnally Johnson', 'Lukas Heller', 'E.M. Nathanson']","['Lee Marvin', 'Ernest Borgnine', 'Charles Bronson']","['Action', 'Adventure', 'War']","['United Kingdom', 'United States']","['Ashridge Management College, Little Gaddesden, Hertfordshire, England, UK']","['Metro-Goldwyn-Mayer (MGM)', 'MKH', 'Seven Arts Productions']","['English', 'German', 'French', 'Spanish', 'Latin']",0,9,0,1967
18. Casino Royale,https://www.imdb.com/title/tt0061452/?ref_=sr_t_18,1967,2h 11m,Approved,5.0,33K,12000000.0,2783.0,,,"['Val Guest', 'Ken Hughes', 'John Huston']","['Wolf Mankowitz', 'John Law', 'Michael Sayers']","['David Niven', 'Peter Sellers', 'Ursula Andress']","['Parody', 'Slapstick', 'Comedy']","['United Kingdom', 'United States']","['Killeen Castle, Dunsany, County Meath, Ireland']",['Famous Artists Productions'],"['English', 'French', 'Gaelic', 'German', 'Japanese', 'Spanish', 'Italian']",0,0,1,1967
19. Bonnie and Clyde,https://www.imdb.com/title/tt0061418/?ref_=sr_t_19,1967,1h 51m,R,7.7,123K,2500000.0,1475.0,,,['Arthur Penn'],"['David Newman', 'Robert Benton', 'Robert Towne']","['Warren Beatty', 'Faye Dunaway', 'Michael J. Pollard']","['Caper', 'Tragedy', 'True Crime', 'Action', 'Biography', 'Crime', 'Drama']",['United States'],"['Red Oak, Texas, USA']","['Warner Bros./Seven Arts', 'Tatira-Hiller Productions']",['English'],0,29,0,1967
20. Playtime,https://www.imdb.com/title/tt0062136/?ref_=sr_t_20,1967,2h 35m,Not Rated,7.8,27K,15000000.0,66492.0,,,['Jacques Tati'],"['Jacques Tati', 'Jacques Lagrange', 'Art Buchwald']","['Jacques Tati', 'Barbara Dennek', 'Rita Maiden']","['Slapstick', 'Comedy']","['France', 'Italy']","['Joinville-le-Pont, Val-de-Marne, France']","['Specta Films', 'Jolly Film']","['French', 'English', 'German']",0,0,0,1967
21. Bob Dylan: Dont Look Back,https://www.imdb.com/title/tt0061589/?ref_=sr_t_21,1967,1h 36m,Not Rated,7.9,10K,,,27158.0,,['D.A. Pennebaker'],['D.A. Pennebaker'],"['Bob Dylan', 'Albert Grossman', 'Bob Neuwirth']","['Concert', 'Documentary', 'Music']",['United States'],"['London, Greater London, England, UK']",['Leacock-Pennebaker'],['English'],0,0,0,1967
22. In the Heat of the Night,https://www.imdb.com/title/tt0061811/?ref_=sr_t_22,1967,1h 50m,Approved,7.9,86K,2000000.0,27669.0,,,['Norman Jewison'],"['Stirling Silliphant', 'John Ball']","['Sidney Poitier', 'Rod Steiger', 'Warren Oates']","['Suspense Mystery', 'Drama', 'Mystery', 'Thriller']",['United States'],"['Sparta, Illinois, USA']",['The Mirisch Corporation'],['English'],0,16,0,1967
23. Valley of the Dolls,https://www.imdb.com/title/tt0062430/?ref_=sr_t_23,1967,2h 3m,PG-13,6.0,10K,4690000.0,,,,['Mark Robson'],"['Jacqueline Susann', 'Helen Deutsch', 'Dorothy Kingsley']","['Barbara Parkins', 'Patty Duke', 'Paul Burke']","['Drama', 'Music', 'Romance']",['United States'],"['Redding Center, Connecticut, USA']",['Red Lion'],"['English', 'French']",0,0,1,1967
24. The Fearless Vampire Killers,https://www.imdb.com/title/tt0061655/?ref_=sr_t_24,1967,1h 31m,Approved,7.0,35K,2000000.0,,,,['Roman Polanski'],"['Gérard Brach', 'Roman Polanski']","['Jack MacGowran', 'Roman Polanski', 'Alfie Bass']","['Dark Comedy', 'Parody', 'Survival', 'Vampire Horror', 'Comedy', 'Horror']","['United Kingdom', 'United States']","['Dolomites, Trentino - Alto Adige, Italy']","['Cadre Films', 'Filmways']",['English'],0,0,0,1967
25. In Cold Blood,https://www.imdb.com/title/tt0061809/?ref_=sr_t_25,1967,2h 14m,R,7.9,30K,3500000.0,316.0,,,['Richard Brooks'],"['Truman Capote', 'Richard Brooks']","['Robert Blake', 'Scott Wilson', 'John Forsythe']","['True Crime', 'Biography', 'Crime', 'Drama', 'History']",['United States'],"['River Valley Farm - River Road, Holcomb, Kansas, USA']","['Columbia Pictures', 'Pax Enterprises']","['English', 'French', 'Spanish']",0,11,4,1967
26. Death Rides a Horse,https://www.imdb.com/title/tt0064208/?ref_=sr_t_26,1967,1h 54m,R,7.0,9.9K,,,,,['Giulio Petroni'],['Luciano Vincenzoni'],"['Lee Van Cleef', 'John Phillip Law', 'Mario Brega']","['Spaghetti Western', 'Drama', 'Western']",['Italy'],"['La Calahorra, Granada, Andalucía, Spain']","['Produzione Esecutiva Cinematografica (PEC)', 'Sancro International Film']","['Italian', 'Spanish']",0,0,0,1967
27. The War Wagon,https://www.imdb.com/title/tt0062472/?ref_=sr_t_27,1967,1h 41m,Unrated,6.8,11K,,,11990000.0,,['Burt Kennedy'],['Clair Huffaker'],"['John Wayne', 'Kirk Douglas', 'Howard Keel']","['Classical Western', 'Drama', 'Western']",['United States'],"['Durango, Mexico']","['Batjac Productions', 'Marvin Schwartz Productions']","['English', 'Spanish']",0,0,0,1967
28. Wait Until Dark,https://www.imdb.com/title/tt0062467/?ref_=sr_t_28,1967,1h 48m,Approved,7.7,35K,3000000.0,,,,['Terence Young'],"['Frederick Knott', 'Robert Carrington', 'Jane-Howard Hammerstein']","['Audrey Hepburn', 'Alan Arkin', 'Richard Crenna']","['Psychological Thriller', 'Thriller']",['United States'],"[""5 St. Luke's Place, Manhattan, New York City, New York, USA""]",['Warner Bros.'],['English'],0,0,1,1967
29. The Way West,https://www.imdb.com/title/tt0062479/?ref_=sr_t_29,1967,2h 2m,Approved,6.2,3.8K,5000000.0,,,,['Andrew V. McLaglen'],"['Ben Maddow', 'Mitch Lindemann', 'A.B. Guthrie Jr.']","['Kirk Douglas', 'Robert Mitchum', 'Richard Widmark']","['Classical Western', 'Adventure', 'Drama', 'Western']",['United States'],"['Bend, Oregon, USA']",['Harold Hecht Company'],['English'],0,0,0,1967
