Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. The Jungle Book,https://www.imdb.com/title/tt0061852/?ref_=sr_t_1,1967,1h 18m,Approved,7.6,204K
2. The Graduate,https://www.imdb.com/title/tt0061722/?ref_=sr_t_2,1967,1h 46m,PG,8.0,294K
3. Guess Who's Coming to Dinner,https://www.imdb.com/title/tt0061735/?ref_=sr_t_3,1967,1h 48m,Approved,7.8,50K
4. You Only Live Twice,https://www.imdb.com/title/tt0062512/?ref_=sr_t_4,1967,1h 57m,PG,6.8,121K
5. Belle de Jour,https://www.imdb.com/title/tt0061395/?ref_=sr_t_5,1967,1h 40m,Approved,7.6,51K
6. The Producers,https://www.imdb.com/title/tt0063462/?ref_=sr_t_6,1967,1h 28m,PG,7.5,62K
7. Le Samouraï,https://www.imdb.com/title/tt0062229/?ref_=sr_t_7,1967,1h 41m,GP,8.0,61K
8. 2 or 3 Things I Know About Her,https://www.imdb.com/title/tt0060304/?ref_=sr_t_8,1967,1h 27m,Not Rated,6.5,8.8K
9. The Young Girls of Rochefort,https://www.imdb.com/title/tt0062873/?ref_=sr_t_9,1967,2h 5m,G,7.7,13K
10. The Two of Us,https://www.imdb.com/title/tt0063771/?ref_=sr_t_10,1967,1h 26m,Not Rated,7.6,2.6K
11. The Chinese,https://www.imdb.com/title/tt0061473/?ref_=sr_t_11,1967,1h 35m,Not Rated,6.9,8.6K
12. Accident,https://www.imdb.com/title/tt0061328/?ref_=sr_t_12,1967,1h 45m,Not Rated,6.8,5.1K
13. Far from Vietnam,https://www.imdb.com/title/tt0061913/?ref_=sr_t_13,1967,2h,Not Rated,7.3,912
14. A Man Vanishes,https://www.imdb.com/title/tt0062043/?ref_=sr_t_14,1967,2h 10m,,7.1,856
15. Fitzwilly,https://www.imdb.com/title/tt0061669/?ref_=sr_t_15,1967,1h 42m,Approved,6.6,2.2K
16. Cool Hand Luke,https://www.imdb.com/title/tt0061512/?ref_=sr_t_16,1967,2h 7m,Approved,8.0,193K
17. The Dirty Dozen,https://www.imdb.com/title/tt0061578/?ref_=sr_t_17,1967,2h 30m,Approved,7.7,81K
18. Casino Royale,https://www.imdb.com/title/tt0061452/?ref_=sr_t_18,1967,2h 11m,Approved,5.0,33K
19. Bonnie and Clyde,https://www.imdb.com/title/tt0061418/?ref_=sr_t_19,1967,1h 51m,R,7.7,123K
20. Playtime,https://www.imdb.com/title/tt0062136/?ref_=sr_t_20,1967,2h 35m,Not Rated,7.8,27K
21. Bob Dylan: Dont Look Back,https://www.imdb.com/title/tt0061589/?ref_=sr_t_21,1967,1h 36m,Not Rated,7.9,10K
22. In the Heat of the Night,https://www.imdb.com/title/tt0061811/?ref_=sr_t_22,1967,1h 50m,Approved,7.9,86K
23. Valley of the Dolls,https://www.imdb.com/title/tt0062430/?ref_=sr_t_23,1967,2h 3m,PG-13,6.0,10K
