Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Jaws,https://www.imdb.com/title/tt0073195/?ref_=sr_t_1,1975,2h 4m,PG,8.1,683K
2. The Rocky Horror Picture Show,https://www.imdb.com/title/tt0073629/?ref_=sr_t_2,1975,1h 40m,R,7.4,173K
3. One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/?ref_=sr_t_3,1975,2h 13m,R,8.7,1.1M
4. Dog Day Afternoon,https://www.imdb.com/title/tt0072890/?ref_=sr_t_4,1975,2h 5m,R,8.0,279K
5. Shampoo,https://www.imdb.com/title/tt0073692/?ref_=sr_t_5,1975,1h 50m,R,6.4,15K
6. The Return of the Pink Panther,https://www.imdb.com/title/tt0072081/?ref_=sr_t_6,1975,1h 53m,G,7.0,31K
7. Funny Lady,https://www.imdb.com/title/tt0073026/?ref_=sr_t_7,1975,2h 16m,PG,6.2,6.1K
8. The Apple Dumpling Gang,https://www.imdb.com/title/tt0072653/?ref_=sr_t_8,1975,1h 40m,G,6.4,6.7K
9. Tommy,https://www.imdb.com/title/tt0073812/?ref_=sr_t_9,1975,1h 51m,PG,6.6,23K
10. Three Days of the Condor,https://www.imdb.com/title/tt0073802/?ref_=sr_t_10,1975,1h 57m,R,7.4,65K
11. Lucky Lady,https://www.imdb.com/title/tt0073317/?ref_=sr_t_11,1975,1h 58m,PG,5.2,1.4K
12. The Great Waldo Pepper,https://www.imdb.com/title/tt0073075/?ref_=sr_t_12,1975,1h 47m,PG,6.7,6.8K
13. Love and Death,https://www.imdb.com/title/tt0073312/?ref_=sr_t_13,1975,1h 25m,PG,7.6,42K
14. Escape to Witch Mountain,https://www.imdb.com/title/tt0072951/?ref_=sr_t_14,1975,1h 37m,G,6.3,12K
15. Once Is Not Enough,https://www.imdb.com/title/tt0073190/?ref_=sr_t_15,1975,2h 1m,R,4.6,938
16. The Eiger Sanction,https://www.imdb.com/title/tt0072926/?ref_=sr_t_16,1975,2h 9m,R,6.4,23K
17. French Connection II,https://www.imdb.com/title/tt0073018/?ref_=sr_t_17,1975,1h 59m,R,6.7,22K
"18. Give 'em Hell, Harry!",https://www.imdb.com/title/tt0073053/?ref_=sr_t_18,1975,1h 44m,PG,7.3,596
19. Nashville,https://www.imdb.com/title/tt0073440/?ref_=sr_t_19,1975,2h 40m,R,7.6,29K
20. Bug,https://www.imdb.com/title/tt0072750/?ref_=sr_t_20,1975,1h 39m,PG,5.2,2.7K
21. Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/?ref_=sr_t_21,1975,1h 31m,PG,8.2,581K
22. Framed,https://www.imdb.com/title/tt0073015/?ref_=sr_t_22,1975,1h 46m,R,6.4,782
23. At Long Last Love,https://www.imdb.com/title/tt0072665/?ref_=sr_t_23,1975,1h 58m,G,5.3,1.4K
24. The Passenger,https://www.imdb.com/title/tt0073580/?ref_=sr_t_24,1975,2h 6m,PG,7.5,27K
25. The Giant Spider Invasion,https://www.imdb.com/title/tt0073043/?ref_=sr_t_25,1975,1h 24m,PG,3.3,4.8K
26. Switchblade Sisters,https://www.imdb.com/title/tt0073778/?ref_=sr_t_26,1975,1h 31m,R,6.5,4.4K
27. Picnic at Hanging Rock,https://www.imdb.com/title/tt0073540/?ref_=sr_t_27,1975,1h 55m,PG,7.4,43K
28. Grey Gardens,https://www.imdb.com/title/tt0073076/?ref_=sr_t_28,1975,1h 35m,PG,7.5,16K
29. Mirror,https://www.imdb.com/title/tt0072443/?ref_=sr_t_29,1975,1h 47m,Not Rated,7.9,54K
30. That Most Important Thing: Love,https://www.imdb.com/title/tt0073155/?ref_=sr_t_30,1975,1h 49m,R,7.0,4.9K
31. Seven Beauties,https://www.imdb.com/title/tt0075040/?ref_=sr_t_31,1975,1h 56m,R,7.7,6.7K
32. Fox and His Friends,https://www.imdb.com/title/tt0072976/?ref_=sr_t_32,1975,2h 4m,Not Rated,7.6,7.1K
33. Mother Kusters Goes to Heaven,https://www.imdb.com/title/tt0073424/?ref_=sr_t_33,1975,1h 48m,,7.5,2.3K
34. The Story of Adele H,https://www.imdb.com/title/tt0073114/?ref_=sr_t_34,1975,1h 36m,PG,7.2,9.3K
"35. Salò, or the 120 Days of Sodom",https://www.imdb.com/title/tt0073650/?ref_=sr_t_35,1975,1h 57m,TV-MA,5.8,68K
36. Barry Lyndon,https://www.imdb.com/title/tt0072684/?ref_=sr_t_36,1975,3h 5m,PG,8.1,189K
37. Operation Daybreak,https://www.imdb.com/title/tt0075019/?ref_=sr_t_37,1975,1h 58m,PG,7.0,2.5K
38. Ilsa: She Wolf of the SS,https://www.imdb.com/title/tt0071650/?ref_=sr_t_38,1975,1h 36m,R,5.1,8.4K
39. Death Race 2000,https://www.imdb.com/title/tt0072856/?ref_=sr_t_39,1975,1h 20m,R,6.2,32K
40. The School Teacher,https://www.imdb.com/title/tt0073170/?ref_=sr_t_40,1975,1h 29m,,4.8,955
41. The Beast,https://www.imdb.com/title/tt0072752/?ref_=sr_t_41,1975,1h 38m,Not Rated,5.7,5.6K
42. The Pinchcliffe Grand Prix,https://www.imdb.com/title/tt0073000/?ref_=sr_t_42,1975,1h 28m,G,8.4,15K
43. The Story of O,https://www.imdb.com/title/tt0073115/?ref_=sr_t_43,1975,1h 37m,NC-17,5.3,7.1K
44. Supervixens,https://www.imdb.com/title/tt0073768/?ref_=sr_t_44,1975,1h 46m,Unrated,5.9,5.2K
45. Rollerball,https://www.imdb.com/title/tt0073631/?ref_=sr_t_45,1975,2h 5m,R,6.5,30K
46. The Man Who Would Be King,https://www.imdb.com/title/tt0073341/?ref_=sr_t_46,1975,2h 9m,PG,7.7,53K
47. Deep Red,https://www.imdb.com/title/tt0073582/?ref_=sr_t_47,1975,2h 7m,R,7.5,44K
"48. Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",https://www.imdb.com/title/tt0073198/?ref_=sr_t_48,1975,3h 22m,Not Rated,7.5,15K
49. The Family Vice,https://www.imdb.com/title/tt0073870/?ref_=sr_t_49,1975,1h 30m,,5.1,363
50. Shivers,https://www.imdb.com/title/tt0073705/?ref_=sr_t_50,1975,1h 27m,R,6.3,24K
51. Night Moves,https://www.imdb.com/title/tt0073453/?ref_=sr_t_51,1975,1h 40m,R,7.1,19K
52. A Boy and His Dog,https://www.imdb.com/title/tt0072730/?ref_=sr_t_52,1975,1h 31m,R,6.4,20K
53. Countess Perverse,https://www.imdb.com/title/tt0069930/?ref_=sr_t_53,1975,1h 27m,,5.3,767
54. Mandingo,https://www.imdb.com/title/tt0073349/?ref_=sr_t_54,1975,2h 7m,R,6.5,4.4K
55. The Stepford Wives,https://www.imdb.com/title/tt0073747/?ref_=sr_t_55,1975,1h 55m,PG,6.9,20K
56. Breakheart Pass,https://www.imdb.com/title/tt0072735/?ref_=sr_t_56,1975,1h 35m,PG,6.7,9.3K
57. Strip Nude for Your Killer,https://www.imdb.com/title/tt0073470/?ref_=sr_t_57,1975,1h 38m,Not Rated,5.6,3.3K
58. Hard Times,https://www.imdb.com/title/tt0073092/?ref_=sr_t_58,1975,1h 33m,PG,7.2,13K
59. Manila in the Claws of Light,https://www.imdb.com/title/tt0073363/?ref_=sr_t_59,1975,2h 5m,TV-14,7.8,2.8K
60. Dersu Uzala,https://www.imdb.com/title/tt0071411/?ref_=sr_t_60,1975,2h 22m,G,8.2,34K
61. Hester Street,https://www.imdb.com/title/tt0073107/?ref_=sr_t_61,1975,1h 29m,PG,7.0,2.1K
62. Black Moon,https://www.imdb.com/title/tt0072709/?ref_=sr_t_62,1975,1h 40m,R,6.1,6.4K
63. The Sensuous Nurse,https://www.imdb.com/title/tt0074682/?ref_=sr_t_63,1975,1h 45m,R,4.8,871
64. Rooster Cogburn,https://www.imdb.com/title/tt0073636/?ref_=sr_t_64,1975,1h 48m,PG,6.8,13K
65. The Wind and the Lion,https://www.imdb.com/title/tt0073906/?ref_=sr_t_65,1975,1h 59m,PG,6.8,10K
66. Smile,https://www.imdb.com/title/tt0073722/?ref_=sr_t_66,1975,1h 53m,PG,7.1,2.6K
67. Snuff,https://www.imdb.com/title/tt0072184/?ref_=sr_t_67,1975,1h 20m,X,2.8,2.1K
68. Sholay,https://www.imdb.com/title/tt0073707/?ref_=sr_t_68,1975,2h 42m,Not Rated,8.1,60K
69. The Day of the Locust,https://www.imdb.com/title/tt0072848/?ref_=sr_t_69,1975,2h 24m,R,6.9,6.6K
"70. Farewell, My Lovely",https://www.imdb.com/title/tt0072973/?ref_=sr_t_70,1975,1h 35m,R,7.0,10K
71. Let's Do It Again,https://www.imdb.com/title/tt0073282/?ref_=sr_t_71,1975,1h 50m,PG,6.7,3.4K
72. Carry on Behind,https://www.imdb.com/title/tt0072764/?ref_=sr_t_72,1975,1h 30m,Not Rated,5.6,3.1K
