Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=sr_t_1,2001,2h 58m,PG-13,8.9,2.1M,93000000.0,888195122.0,319372078.0,47211490.0,['Peter Jackson'],"['J.R.R. Tolkien', 'Fran Walsh', 'Philippa Boyens']","['Elijah Wood', 'Ian McKellen', 'Orlando Bloom']","['Adventure Epic', 'Epic', 'Fantasy Epic', 'Quest', 'Sword & Sorcery', 'Adventure', 'Drama', 'Fantasy']","['New Zealand', 'United States', 'United Kingdom']","['Wellington, New Zealand']","['New Line Cinema', 'WingNut Films', 'Marzano Films']","['English', 'Sindarin']",0,126,0,2001
2. Harry Potter and the Sorcerer's Stone,https://www.imdb.com/title/tt0241527/?ref_=sr_t_2,2001,2h 32m,PG,7.7,888K,125000000.0,1026414475.0,318886962.0,90294621.0,['Chris Columbus'],"['J.K. Rowling', 'Steve Kloves']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']","['Teen Fantasy', 'Adventure', 'Family', 'Fantasy', 'Holiday']","['United Kingdom', 'United States']","['Alnwick Castle, Alnwick, Northumberland, England, UK']","['Warner Bros.', 'Heyday Films', '1492 Pictures']","['English', 'Latin']",0,74,3,2001
"3. Monsters, Inc.",https://www.imdb.com/title/tt0198781/?ref_=sr_t_3,2001,1h 32m,G,8.1,1M,115000000.0,579770299.0,290642256.0,62577067.0,"['Pete Docter', 'David Silverman', 'Lee Unkrich']","['Pete Docter', 'Jill Culton', 'Jeff Pidgeon']","['Billy Crystal', 'John Goodman', 'Mary Gibbs']","['Buddy Comedy', 'Computer Animation', 'Supernatural Fantasy', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",['United States'],"['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']",['English'],0,38,0,2001
4. Shrek,https://www.imdb.com/title/tt0126029/?ref_=sr_t_4,2001,1h 30m,PG,7.9,759K,60000000.0,488629509.0,268349831.0,42347760.0,"['Andrew Adamson', 'Vicky Jenson']","['William Steig', 'Ted Elliott', 'Terry Rossio']","['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']","['Buddy Comedy', 'Computer Animation', 'Fairy Tale', 'Feel-Good Romance', 'Parody', 'Quest', 'Slapstick', 'Swashbuckler', 'Adventure', 'Animation']",['United States'],"['Glendale, California, USA']","['Dreamworks Pictures', 'DreamWorks Animation', 'Pacific Data Images (PDI)']",['English'],0,60,0,2001
5. Rush Hour 2,https://www.imdb.com/title/tt0266915/?ref_=sr_t_5,2001,1h 30m,PG-13,6.7,246K,90000000.0,347325802.0,226164286.0,67408222.0,['Brett Ratner'],"['Ross LaManna', 'Jeff Nathanson']","['Jackie Chan', 'Chris Tucker', 'John Lone']","['Buddy Cop', 'Martial Arts', 'Action', 'Comedy', 'Crime', 'Thriller']","['United States', 'Hong Kong']","['Desert Inn - 3145 Las Vegas Boulevard South, Las Vegas, Nevada, USA']","['New Line Cinema', 'Roger Birnbaum Productions', 'Salon Films']","['English', 'Mandarin', 'Cantonese']",0,22,0,2001
6. The Mummy Returns,https://www.imdb.com/title/tt0209163/?ref_=sr_t_6,2001,2h 10m,PG-13,6.4,354K,98000000.0,443284916.0,202019785.0,68139035.0,['Stephen Sommers'],['Stephen Sommers'],"['Brendan Fraser', 'Rachel Weisz', 'John Hannah']","['Desert Adventure', 'Supernatural Fantasy', 'Action', 'Adventure', 'Fantasy', 'Thriller']","['United States', 'Morocco', 'United Kingdom', 'Jordan']",['Morocco'],"['Alphaville Films', 'Universal Studios', 'Imhotep Productions']","['English', 'Arabic']",0,19,0,2001
7. Pearl Harbor,https://www.imdb.com/title/tt0213149/?ref_=sr_t_7,2001,3h 3m,PG-13,6.2,358K,140000000.0,449220945.0,198542554.0,59078912.0,['Michael Bay'],['Randall Wallace'],"['Ben Affleck', 'Kate Beckinsale', 'Josh Hartnett']","['Epic', 'Period Drama', 'Romantic Epic', 'Tragedy', 'War Epic', 'Action', 'Drama', 'Romance', 'War']",['United States'],"['Badminton House, Gloucestershire, England, UK']","['Touchstone Pictures', 'Jerry Bruckheimer Films']","['English', 'Japanese', 'French', 'Latin', 'Chinese']",0,51,0,2001
8. Ocean's Eleven,https://www.imdb.com/title/tt0240772/?ref_=sr_t_8,2001,1h 56m,PG-13,7.7,636K,85000000.0,450717150.0,183417150.0,38107822.0,['Steven Soderbergh'],"['George Clayton Johnson', 'Jack Golden Russell', 'Harry Brown']","['George Clooney', 'Brad Pitt', 'Julia Roberts']","['Caper', 'Heist', 'Crime', 'Thriller']",['United States'],"['495 North Milwaukee Avenue, Chicago, Illinois, USA']","['Warner Bros.', 'Village Roadshow Pictures', 'NPV Entertainment']","['English', 'Italian', 'Mandarin']",0,20,0,2001
9. Jurassic Park III,https://www.imdb.com/title/tt0163025/?ref_=sr_t_9,2001,1h 32m,PG-13,5.9,348K,93000000.0,368780809.0,181171875.0,50771645.0,['Joe Johnston'],"['Michael Crichton', 'Peter Buchman', 'Alexander Payne']","['Sam Neill', 'William H. Macy', 'Téa Leoni']","['Dinosaur Adventure', 'Jungle Adventure', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",['United States'],"['Universal Studios - 100 Universal City Plaza, Universal City, California, USA']","['Universal Pictures', 'Amblin Entertainment']","['English', 'Spanish']",0,16,0,2001
10. Planet of the Apes,https://www.imdb.com/title/tt0133152/?ref_=sr_t_10,2001,2h,PG-13,5.7,237K,100000000.0,362211740.0,180011740.0,68532960.0,['Tim Burton'],"['Pierre Boulle', 'William Broyles Jr.', 'Lawrence Konner']","['Mark Wahlberg', 'Helena Bonham Carter', 'Tim Roth']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",['United States'],"['Lake Powell, Utah, USA']","['Twentieth Century Fox', 'The Zanuck Company', 'Tim Burton Productions']",['English'],0,32,2,2001
