Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Aladdin,https://www.imdb.com/title/tt0103639/?ref_=sr_t_1,1992,1h 30m,G,8.0,481K,28000000.0,504050219.0,217350219.0,196664.0,"['Ron Clements', 'John Musker']","['Ron Clements', 'John Musker', 'Ted Elliott']","['Scott Weinger', 'Robin Williams', 'Linda Larkin']","['Desert Adventure', 'Fairy Tale', 'Feel-Good Romance', 'Hand-Drawn Animation', 'Pop Musical', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",['United States'],"['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Pictures', 'Walt Disney Animation Studios', 'Walt Disney Feature Animation']",['English'],0,22,0,1992
2. Home Alone 2: Lost in New York,https://www.imdb.com/title/tt0104431/?ref_=sr_t_2,1992,2h,PG,6.9,422K,28000000.0,358994850.0,173585516.0,31126882.0,['Chris Columbus'],['John Hughes'],"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern']","['High-Concept Comedy', 'Holiday Comedy', 'Holiday Family', 'Slapstick', 'Urban Adventure', 'Adventure', 'Comedy', 'Crime', 'Family', 'Holiday']",['United States'],"['World Trade Center, Manhattan, New York City, New York, USA']","['Twentieth Century Fox', 'Hughes Entertainment']","['English', 'French', 'Spanish', 'Latin']",0,3,0,1992
3. Batman Returns,https://www.imdb.com/title/tt0103776/?ref_=sr_t_3,1992,2h 6m,PG-13,7.1,336K,80000000.0,266941512.0,162924631.0,45687711.0,['Tim Burton'],"['Bob Kane', 'Daniel Waters', 'Sam Hamm']","['Michael Keaton', 'Danny DeVito', 'Michelle Pfeiffer']","['Dark Fantasy', 'Superhero', 'Supernatural Fantasy', 'Action', 'Crime', 'Fantasy', 'Holiday']","['United States', 'United Kingdom']","['Stage 12, Universal Studios - 100 Universal City Plaza, Universal City, California, USA']","['Warner Bros.', 'PolyGram Filmed Entertainment']",['English'],0,29,2,1992
4. Lethal Weapon 3,https://www.imdb.com/title/tt0104714/?ref_=sr_t_4,1992,1h 58m,R,6.7,182K,35000000.0,321731527.0,144731527.0,33243086.0,['Richard Donner'],"['Jeffrey Boam', 'Robert Mark Kamen', 'Shane Black']","['Mel Gibson', 'Danny Glover', 'Joe Pesci']","['Action', 'Crime', 'Thriller']",['United States'],"['Orlando, Florida, USA']","['Warner Bros.', 'Silver Pictures']",['English'],0,4,0,1992
5. A Few Good Men,https://www.imdb.com/title/tt0104257/?ref_=sr_t_5,1992,2h 18m,R,7.7,297K,41000000.0,243240178.0,141340178.0,15517468.0,['Rob Reiner'],['Aaron Sorkin'],"['Tom Cruise', 'Jack Nicholson', 'Demi Moore']","['Legal Drama', 'Legal Thriller', 'Drama', 'Thriller']",['United States'],"['Naval Air Station Point Mugu, Point Mugu, California, USA']","['Columbia Pictures', 'Castle Rock Entertainment', 'David Brown Productions']","['English', 'French']",0,30,4,1992
6. Sister Act,https://www.imdb.com/title/tt0105417/?ref_=sr_t_6,1992,1h 40m,PG,6.5,112K,31000000.0,231605150.0,139605150.0,11894587.0,['Emile Ardolino'],['Paul Rudnick'],"['Whoopi Goldberg', 'Maggie Smith', 'Harvey Keitel']","['Dark Comedy', 'Comedy', 'Family', 'Music']",['United States'],"[""St. Paul's Church, Church Street, Noe Valley, San Francisco, California, USA""]","['Touchstone Pictures', 'Touchwood Pacific Partners 1']",['English'],0,10,0,1992
7. The Bodyguard,https://www.imdb.com/title/tt0103855/?ref_=sr_t_7,1992,2h 9m,R,6.4,152K,25000000.0,411046449.0,122046449.0,16611793.0,['Mick Jackson'],['Lawrence Kasdan'],"['Kevin Costner', 'Whitney Houston', 'Gary Kemp']","['Drama', 'Music', 'Romance', 'Thriller']",['United States'],"['Beverly Estate, 1011 North Beverly Drive, Beverly Hills, California, USA']","['Kasdan Pictures', 'Tig Productions', 'Warner Bros.']",['English'],0,21,2,1992
8. Wayne's World,https://www.imdb.com/title/tt0105793/?ref_=sr_t_8,1992,1h 34m,PG-13,7.0,175K,20000000.0,183097323.0,121697323.0,18122710.0,['Penelope Spheeris'],"['Mike Myers', 'Bonnie Turner', 'Terry Turner']","['Mike Myers', 'Dana Carvey', 'Rob Lowe']","['Buddy Comedy', 'Comedy', 'Music']",['United States'],"['West Covina, California, USA']",['Paramount Pictures'],"['English', 'Cantonese']",0,5,0,1992
9. Basic Instinct,https://www.imdb.com/title/tt0103772/?ref_=sr_t_9,1992,2h 7m,R,7.1,226K,49000000.0,352927224.0,117727224.0,15129385.0,['Paul Verhoeven'],['Joe Eszterhas'],"['Michael Douglas', 'Sharon Stone', 'George Dzundza']","['Erotic Thriller', 'Psychological Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Thriller']","['France', 'United States', 'United Kingdom']","['157 Spindrift Road, Carmel Highlands, California, USA']","['Carolco Pictures', 'Canal+']","['English', 'Spanish']",0,23,2,1992
10. A League of Their Own,https://www.imdb.com/title/tt0104694/?ref_=sr_t_10,1992,2h 8m,PG,7.3,124K,40000000.0,132440069.0,107533928.0,13739456.0,['Penny Marshall'],"['Kim Wilson', 'Kelly Candaele', 'Lowell Ganz']","['Tom Hanks', 'Geena Davis', 'Lori Petty']","['Baseball', 'Comedy', 'Drama', 'Sport']",['United States'],"['Bosse Field - 1701 N. Main Street, Evansville, Indiana, USA']","['Columbia Pictures', 'Parkway Productions']",['English'],0,13,0,1992
