Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. The Godfather,https://www.imdb.com/title/tt0068646/?ref_=sr_t_1,1972,2h 55m,R,9.2,2.1M
2. The Poseidon Adventure,https://www.imdb.com/title/tt0069113/?ref_=sr_t_2,1972,1h 57m,PG,7.1,51K
"3. What's Up, Doc?",https://www.imdb.com/title/tt0069495/?ref_=sr_t_3,1972,1h 34m,G,7.7,28K
4. Last Tango in Paris,https://www.imdb.com/title/tt0070849/?ref_=sr_t_4,1972,2h 9m,NC-17,6.8,60K
5. Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,https://www.imdb.com/title/tt0068555/?ref_=sr_t_5,1972,1h 28m,R,6.7,43K
6. Conquest of the Planet of the Apes,https://www.imdb.com/title/tt0068408/?ref_=sr_t_6,1972,1h 28m,PG,6.1,39K
7. Joe Kidd,https://www.imdb.com/title/tt0068768/?ref_=sr_t_7,1972,1h 28m,PG,6.4,22K
8. Elvis on Tour,https://www.imdb.com/title/tt0068537/?ref_=sr_t_8,1972,1h 33m,G,7.5,1.9K
9. The Discreet Charm of the Bourgeoisie,https://www.imdb.com/title/tt0068361/?ref_=sr_t_9,1972,1h 42m,PG,7.8,48K
10. A Cop,https://www.imdb.com/title/tt0067900/?ref_=sr_t_10,1972,1h 38m,PG,7.0,11K
11. Cousin Jules,https://www.imdb.com/title/tt0128142/?ref_=sr_t_11,1972,1h 31m,Not Rated,7.6,264
12. Solaris,https://www.imdb.com/title/tt0069293/?ref_=sr_t_12,1972,2h 47m,PG,7.9,101K
13. We Won't Grow Old Together,https://www.imdb.com/title/tt0069027/?ref_=sr_t_13,1972,1h 50m,Not Rated,7.2,2.2K
14. The Bitter Tears of Petra von Kant,https://www.imdb.com/title/tt0068278/?ref_=sr_t_14,1972,2h 4m,Not Rated,7.5,12K
15. The Merchant of Four Seasons,https://www.imdb.com/title/tt0067227/?ref_=sr_t_15,1972,1h 28m,Not Rated,7.3,5.4K
16. Cesar & Rosalie,https://www.imdb.com/title/tt0068441/?ref_=sr_t_16,1972,1h 44m,R,7.3,4K
17. Deliverance,https://www.imdb.com/title/tt0068473/?ref_=sr_t_17,1972,1h 49m,R,7.6,123K
18. Cabaret,https://www.imdb.com/title/tt0068327/?ref_=sr_t_18,1972,2h 4m,PG,7.8,61K
19. Pink Flamingos,https://www.imdb.com/title/tt0069089/?ref_=sr_t_19,1972,1h 33m,NC-17,6.0,29K
20. The Canterbury Tales,https://www.imdb.com/title/tt0067647/?ref_=sr_t_20,1972,1h 51m,NC-17,6.3,8.5K
"21. Silent Night, Bloody Night",https://www.imdb.com/title/tt0070694/?ref_=sr_t_21,1972,1h 25m,R,5.2,5.2K
22. The Cowboys,https://www.imdb.com/title/tt0068421/?ref_=sr_t_22,1972,2h 14m,GP,7.4,16K
