Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. The Godfather,https://www.imdb.com/title/tt0068646/?ref_=sr_t_1,1972,2h 55m,R,9.2,2.1M,6000000.0,250342198.0,136381073.0,302393.0,['Francis Ford Coppola'],"['Mario Puzo', 'Francis Ford Coppola']","['Marlon Brando', 'Al Pacino', 'James Caan']","['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']",['United States'],"[""Forza d'Agrò, Messina, Sicily, Italy""]","['Paramount Pictures', 'Albert S. Ruddy Productions', 'Alfran Productions']","['English', 'Italian', 'Latin']",0,31,0,1972
2. The Poseidon Adventure,https://www.imdb.com/title/tt0069113/?ref_=sr_t_2,1972,1h 57m,PG,7.1,51K,5000000.0,84563118.0,84563118.0,264850.0,['Ronald Neame'],"['Paul Gallico', 'Stirling Silliphant', 'Wendell Mayes']","['Gene Hackman', 'Ernest Borgnine', 'Shelley Winters']","['Disaster', 'Survival', 'Action', 'Adventure', 'Drama', 'Thriller']",['United States'],"['RMS Queen Mary - 1126 Queens Highway, Long Beach, California, USA']","['Twentieth Century Fox', 'Irwin Allen Productions', 'Kent Productions']","['English', 'Hebrew']",0,13,0,1972
"3. What's Up, Doc?",https://www.imdb.com/title/tt0069495/?ref_=sr_t_3,1972,1h 34m,G,7.7,28K,4000000.0,66006455.0,66000000.0,,['Peter Bogdanovich'],"['Buck Henry', 'David Newman', 'Robert Benton']","['Barbra Streisand', ""Ryan O'Neal"", 'Madeline Kahn']","['Screwball Comedy', 'Slapstick', 'Comedy', 'Romance']",['United States'],"[""Hilton San Francisco Union Square 333 O'Farrell Street San Francisco, California, USA""]","['Warner Bros.', 'Saticoy Productions']","['English', 'French', 'German']",0,0,0,1972
4. Last Tango in Paris,https://www.imdb.com/title/tt0070849/?ref_=sr_t_4,1972,2h 9m,NC-17,6.8,60K,1250000.0,36183066.0,36144000.0,,['Bernardo Bertolucci'],"['Bernardo Bertolucci', 'Franco Arcalli', 'Agnès Varda']","['Marlon Brando', 'Maria Schneider', 'Maria Michi']","['Steamy Romance', 'Tragedy', 'Drama', 'Romance']","['Italy', 'France']","[""1 Rue de l'Alboni, Passy, Paris 16, Paris, France""]","['Produzioni Europee Associate (PEA)', 'Les Productions Artistes Associés']","['English', 'French']",0,10,2,1972
5. Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,https://www.imdb.com/title/tt0068555/?ref_=sr_t_5,1972,1h 28m,R,6.7,43K,2000000.0,18090065.0,18016290.0,,['Woody Allen'],"['David Reuben', 'Woody Allen']","['Woody Allen', 'Gene Wilder', 'Louise Lasser']","['Dark Comedy', 'Parody', 'Satire', 'Sketch Comedy', 'Comedy']",['United States'],"['Agoura, California, USA']","['Brodsky-Gould Productions', 'Jack Rollins & Charles H. Joffe Productions', 'Rollins-Joffe Productions']","['English', 'Italian']",0,0,0,1972
6. Conquest of the Planet of the Apes,https://www.imdb.com/title/tt0068408/?ref_=sr_t_6,1972,1h 28m,PG,6.1,39K,1700000.0,9043472.0,9043472.0,,['J. Lee Thompson'],"['Paul Dehn', 'Pierre Boulle']","['Roddy McDowall', 'Don Murray', 'Ricardo Montalban']","['Dystopian Sci-Fi', 'Action', 'Sci-Fi']",['United States'],"['University of California, Irvine, California, USA']","['Twentieth Century Fox', 'APJAC Productions']",['English'],0,0,0,1972
7. Joe Kidd,https://www.imdb.com/title/tt0068768/?ref_=sr_t_7,1972,1h 28m,PG,6.4,22K,,6330000.0,6330000.0,,['John Sturges'],['Elmore Leonard'],"['Clint Eastwood', 'Robert Duvall', 'John Saxon']","['Drama', 'Western']",['United States'],"['Old Tucson - 201 S. Kinney Road, Tucson, Arizona, USA']",['The Malpaso Company'],"['English', 'Spanish']",0,0,0,1972
8. Elvis on Tour,https://www.imdb.com/title/tt0068537/?ref_=sr_t_8,1972,1h 33m,G,7.5,1.9K,600000.0,587818.0,587818.0,,"['Robert Abel', 'Pierre Adidge']","['Robert Abel', 'Pierre Adidge']","['Elvis Presley', 'Bill Baize', 'Estell Brown']","['Documentary', 'Music']",['United States'],"['Little Rock, Arkansas, USA']","['Metro-Goldwyn-Mayer (MGM)', 'Cinema Associates (III)']",['English'],0,0,0,1972
9. The Discreet Charm of the Bourgeoisie,https://www.imdb.com/title/tt0068361/?ref_=sr_t_9,1972,1h 42m,PG,7.8,48K,800000.0,103230.0,82471.0,6075.0,['Luis Buñuel'],"['Luis Buñuel', 'Jean-Claude Carrière']","['Fernando Rey', 'Delphine Seyrig', 'Paul Frankeur']","['Satire', 'Comedy', 'Drama', 'Fantasy']","['France', 'Italy', 'Spain']","['Paris, France']",['Greenwich Film Productions'],"['French', 'Spanish', 'Latin']",0,9,0,1972
10. A Cop,https://www.imdb.com/title/tt0067900/?ref_=sr_t_10,1972,1h 38m,PG,7.0,11K,,48437.0,48040.0,10342.0,['Jean-Pierre Melville'],['Jean-Pierre Melville'],"['Alain Delon', 'Richard Crenna', 'Catherine Deneuve']","['Caper', 'Heist', 'Crime', 'Thriller']","['France', 'Italy']","['Saint-Jean-de-Monts, Vendée, France']","['Euro International Films', 'Oceania Produzioni Internazionali Cinematografiche']",['French'],0,0,0,1972
11. Cousin Jules,https://www.imdb.com/title/tt0128142/?ref_=sr_t_11,1972,1h 31m,Not Rated,7.6,264,,29337.0,29337.0,5135.0,['Dominique Benicheti'],['Dominique Benicheti'],"['Jules Guiteaux', 'Félicie Guiteaux', 'Claude Chaudat']",['Documentary'],['France'],"['Torpes, Burgundy, France']","['Société Rytna Film', 'Société des Films Orzeaux']",['French'],0,0,0,1972
12. Solaris,https://www.imdb.com/title/tt0069293/?ref_=sr_t_12,1972,2h 47m,PG,7.9,101K,1000000.0,229210.0,22168.0,11537.0,['Andrei Tarkovsky'],"['Stanislaw Lem', 'Fridrikh Gorenshteyn', 'Andrei Tarkovsky']","['Natalya Bondarchuk', 'Donatas Banionis', 'Jüri Järvet']","['Adventure Epic', 'Psychological Drama', 'Sci-Fi Epic', 'Space Sci-Fi', 'Drama', 'Mystery', 'Sci-Fi']",['Soviet Union'],"['Akasaka, Minato, Japan']","['Mosfilm', 'Chetvyortoe Tvorcheskoe Obedinenie']","['Russian', 'German']",0,4,0,1972
13. We Won't Grow Old Together,https://www.imdb.com/title/tt0069027/?ref_=sr_t_13,1972,1h 50m,Not Rated,7.2,2.2K,,14104.0,14104.0,1677.0,['Maurice Pialat'],['Maurice Pialat'],"['Marlène Jobert', 'Jean Yanne', 'Christine Fabréga']",['Drama'],"['France', 'Italy']","['Marseille, Bouches-du-Rhône, France']","['Lido Films', 'Empire Films']","['French', 'Russian']",0,2,0,1972
14. The Bitter Tears of Petra von Kant,https://www.imdb.com/title/tt0068278/?ref_=sr_t_14,1972,2h 4m,Not Rated,7.5,12K,325000.0,9982.0,8144.0,11623.0,['Rainer Werner Fassbinder'],['Rainer Werner Fassbinder'],"['Margit Carstensen', 'Hanna Schygulla', 'Katrin Schaake']","['Psychological Drama', 'Drama', 'Romance']",['West Germany'],"['Worpswede, Lower Saxony, Germany']","['Filmverlag der Autoren', 'Tango Film']",['German'],0,3,0,1972
15. The Merchant of Four Seasons,https://www.imdb.com/title/tt0067227/?ref_=sr_t_15,1972,1h 28m,Not Rated,7.3,5.4K,325000.0,8148.0,8144.0,11623.0,['Rainer Werner Fassbinder'],['Rainer Werner Fassbinder'],"['Hans Hirschmüller', 'Irm Hermann', 'Hanna Schygulla']","['Psychological Drama', 'Tragedy', 'Drama']",['West Germany'],"['Munich, Bavaria, Germany']",['Tango Film'],"['German', 'Arabic']",0,5,0,1972
16. Cesar & Rosalie,https://www.imdb.com/title/tt0068441/?ref_=sr_t_16,1972,1h 44m,R,7.3,4K,,60705.0,5063.0,,['Claude Sautet'],"['Jean-Loup Dabadie', 'Claude Sautet', 'Claude Néron']","['Yves Montand', 'Romy Schneider', 'Sami Frey']","['Drama', 'Romance']","['France', 'Italy', 'West Germany']","['Beaugency, Loiret, France']","['Fildebroc', 'Mega Film', 'Paramount-Orion Filmproduktion']","['French', 'English']",0,0,0,1972
