Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/?ref_=sr_t_1,1983,2h 11m,PG,8.3,1.1M
2. Terms of Endearment,https://www.imdb.com/title/tt0086425/?ref_=sr_t_2,1983,2h 12m,PG,7.4,67K
3. Flashdance,https://www.imdb.com/title/tt0085549/?ref_=sr_t_3,1983,1h 35m,R,6.2,61K
4. Trading Places,https://www.imdb.com/title/tt0086465/?ref_=sr_t_4,1983,1h 56m,R,7.5,172K
5. WarGames,https://www.imdb.com/title/tt0086567/?ref_=sr_t_5,1983,1h 54m,PG,7.1,114K
6. Octopussy,https://www.imdb.com/title/tt0086034/?ref_=sr_t_6,1983,2h 11m,PG,6.5,116K
7. Sudden Impact,https://www.imdb.com/title/tt0086383/?ref_=sr_t_7,1983,1h 57m,R,6.6,50K
8. Staying Alive,https://www.imdb.com/title/tt0086361/?ref_=sr_t_8,1983,1h 33m,PG,4.8,18K
9. Mr. Mom,https://www.imdb.com/title/tt0085970/?ref_=sr_t_9,1983,1h 31m,PG,6.6,29K
10. Risky Business,https://www.imdb.com/title/tt0086200/?ref_=sr_t_10,1983,1h 39m,R,6.8,103K
11. Vacation,https://www.imdb.com/title/tt0085995/?ref_=sr_t_11,1983,1h 38m,R,7.3,123K
12. Superman III,https://www.imdb.com/title/tt0086393/?ref_=sr_t_12,1983,2h 5m,PG,5.0,77K
13. The Big Chill,https://www.imdb.com/title/tt0085244/?ref_=sr_t_13,1983,1h 45m,R,7.1,43K
14. Never Say Never Again,https://www.imdb.com/title/tt0086006/?ref_=sr_t_14,1983,2h 14m,PG,6.1,75K
15. Scarface,https://www.imdb.com/title/tt0086250/?ref_=sr_t_15,1983,2h 50m,R,8.3,947K
16. Jaws 3-D,https://www.imdb.com/title/tt0085750/?ref_=sr_t_16,1983,1h 39m,PG,3.7,50K
17. Blue Thunder,https://www.imdb.com/title/tt0085255/?ref_=sr_t_17,1983,1h 49m,R,6.4,24K
18. Yentl,https://www.imdb.com/title/tt0086619/?ref_=sr_t_18,1983,2h 13m,PG,6.6,16K
19. Silkwood,https://www.imdb.com/title/tt0086312/?ref_=sr_t_19,1983,2h 11m,R,7.1,23K
20. Psycho II,https://www.imdb.com/title/tt0086154/?ref_=sr_t_20,1983,1h 53m,R,6.6,33K
21. Porky's II: The Next Day,https://www.imdb.com/title/tt0086129/?ref_=sr_t_21,1983,1h 38m,R,5.0,13K
22. Uncommon Valor,https://www.imdb.com/title/tt0086508/?ref_=sr_t_22,1983,1h 45m,R,6.3,12K
23. Never Cry Wolf,https://www.imdb.com/title/tt0086005/?ref_=sr_t_23,1983,1h 45m,PG,7.5,9K
24. Twilight Zone: The Movie,https://www.imdb.com/title/tt0086491/?ref_=sr_t_24,1983,1h 41m,PG,6.4,42K
25. Easy Money,https://www.imdb.com/title/tt0085470/?ref_=sr_t_25,1983,1h 35m,R,6.2,11K
26. High Road to China,https://www.imdb.com/title/tt0085678/?ref_=sr_t_26,1983,1h 45m,PG,6.0,6.2K
27. The Outsiders,https://www.imdb.com/title/tt0086066/?ref_=sr_t_27,1983,1h 31m,PG,7.0,102K
28. Spring Break,https://www.imdb.com/title/tt0086352/?ref_=sr_t_28,1983,1h 42m,R,4.9,3.6K
29. Two of a Kind,https://www.imdb.com/title/tt0086494/?ref_=sr_t_29,1983,1h 28m,PG,4.7,4.8K
30. My Tutor,https://www.imdb.com/title/tt0085980/?ref_=sr_t_30,1983,1h 37m,R,5.2,4.2K
31. Class,https://www.imdb.com/title/tt0085346/?ref_=sr_t_31,1983,1h 38m,R,6.0,13K
32. The Right Stuff,https://www.imdb.com/title/tt0086197/?ref_=sr_t_32,1983,3h 13m,PG,7.8,67K
33. Cujo,https://www.imdb.com/title/tt0085382/?ref_=sr_t_33,1983,1h 33m,R,6.1,53K
34. Christine,https://www.imdb.com/title/tt0085333/?ref_=sr_t_34,1983,1h 50m,R,6.8,96K
35. A Christmas Story,https://www.imdb.com/title/tt0085334/?ref_=sr_t_35,1983,1h 33m,PG,7.9,174K
36. The Dead Zone,https://www.imdb.com/title/tt0085407/?ref_=sr_t_36,1983,1h 43m,R,7.2,80K
37. Hot Dog... The Movie,https://www.imdb.com/title/tt0087425/?ref_=sr_t_37,1983,1h 36m,R,5.1,4.1K
38. Breathless,https://www.imdb.com/title/tt0085276/?ref_=sr_t_38,1983,1h 40m,R,6.0,11K
