Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=sr_t_1,1998,2h 49m,R,8.6,1.5M
2. Armageddon,https://www.imdb.com/title/tt0120591/?ref_=sr_t_2,1998,2h 31m,PG-13,6.7,461K
3. There's Something About Mary,https://www.imdb.com/title/tt0129387/?ref_=sr_t_3,1998,1h 59m,R,7.1,336K
4. A Bug's Life,https://www.imdb.com/title/tt0120623/?ref_=sr_t_4,1998,1h 35m,G,7.2,322K
5. The Waterboy,https://www.imdb.com/title/tt0120484/?ref_=sr_t_5,1998,1h 30m,PG-13,6.2,183K
6. Doctor Dolittle,https://www.imdb.com/title/tt0118998/?ref_=sr_t_6,1998,1h 25m,PG-13,5.4,104K
7. Rush Hour,https://www.imdb.com/title/tt0120812/?ref_=sr_t_7,1998,1h 38m,PG-13,7.0,305K
8. Deep Impact,https://www.imdb.com/title/tt0120647/?ref_=sr_t_8,1998,2h,PG-13,6.3,195K
9. Godzilla,https://www.imdb.com/title/tt0120685/?ref_=sr_t_9,1998,2h 19m,PG-13,5.5,207K
10. Patch Adams,https://www.imdb.com/title/tt0129290/?ref_=sr_t_10,1998,1h 55m,PG-13,6.8,125K
11. Lethal Weapon 4,https://www.imdb.com/title/tt0122151/?ref_=sr_t_11,1998,2h 7m,R,6.6,175K
12. The Truman Show,https://www.imdb.com/title/tt0120382/?ref_=sr_t_12,1998,1h 43m,PG,8.2,1.2M
13. Mulan,https://www.imdb.com/title/tt0120762/?ref_=sr_t_13,1998,1h 27m,G,7.7,326K
14. You've Got Mail,https://www.imdb.com/title/tt0128853/?ref_=sr_t_14,1998,1h 59m,PG,6.7,235K
15. Enemy of the State,https://www.imdb.com/title/tt0120660/?ref_=sr_t_15,1998,2h 12m,R,7.3,264K
16. The Prince of Egypt,https://www.imdb.com/title/tt0120794/?ref_=sr_t_16,1998,1h 39m,PG,7.2,152K
17. The Rugrats Movie,https://www.imdb.com/title/tt0134067/?ref_=sr_t_17,1998,1h 19m,G,5.9,21K
18. Shakespeare in Love,https://www.imdb.com/title/tt0138097/?ref_=sr_t_18,1998,2h 3m,R,7.1,237K
