Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=sr_t_1,1998,2h 49m,R,8.6,1.5M,70000000.0,482352390.0,217049603.0,30576104.0,['Steven Spielberg'],['Robert Rodat'],"['Tom Hanks', 'Matt Damon', 'Tom Sizemore']","['Epic', 'Period Drama', 'War Epic', 'Drama', 'War']",['United States'],"['Curracloe Beach, Ballinesker, County Wexford, Ireland']","['Dreamworks Pictures', 'Paramount Pictures', 'Amblin Entertainment']","['English', 'French', 'German', 'Czech']",0,75,0,1998
2. Armageddon,https://www.imdb.com/title/tt0120591/?ref_=sr_t_2,1998,2h 31m,PG-13,6.7,461K,140000000.0,553712773.0,201578182.0,36089972.0,['Michael Bay'],"['Jonathan Hensleigh', 'J.J. Abrams', 'Tony Gilroy']","['Bruce Willis', 'Billy Bob Thornton', 'Ben Affleck']","['Disaster', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",['United States'],"['Edwards Air Force Base, California, USA']","['Touchstone Pictures', 'Jerry Bruckheimer Films', 'Valhalla Motion Pictures']","['English', 'Russian', 'Indonesian']",0,40,4,1998
3. There's Something About Mary,https://www.imdb.com/title/tt0129387/?ref_=sr_t_3,1998,1h 59m,R,7.1,336K,23000000.0,369884651.0,176484651.0,13740644.0,"['Bobby Farrelly', 'Peter Farrelly']","['Ed Decter', 'John J. Strauss', 'Peter Farrelly']","['Cameron Diaz', 'Matt Dillon', 'Ben Stiller']","['Romantic Comedy', 'Slapstick', 'Comedy', 'Romance']",['United States'],"['Baltimore, Maryland, USA']",['Twentieth Century Fox'],['English'],0,17,0,1998
4. A Bug's Life,https://www.imdb.com/title/tt0120623/?ref_=sr_t_4,1998,1h 35m,G,7.2,322K,120000000.0,363258859.0,162798565.0,291121.0,"['John Lasseter', 'Andrew Stanton']","['John Lasseter', 'Andrew Stanton', 'Joe Ranft']","['Kevin Spacey', 'Dave Foley', 'Julia Louis-Dreyfus']","['Animal Adventure', 'Computer Animation', 'Quest', 'Adventure', 'Animation', 'Comedy', 'Family']",['United States'],"['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']",['English'],0,21,1,1998
5. The Waterboy,https://www.imdb.com/title/tt0120484/?ref_=sr_t_5,1998,1h 30m,PG-13,6.2,183K,23000000.0,185991646.0,161491646.0,39414071.0,['Frank Coraci'],"['Tim Herlihy', 'Adam Sandler']","['Adam Sandler', 'Kathy Bates', 'Henry Winkler']","['Football', 'Slapstick', 'Comedy', 'Sport']",['United States'],"['Stetson University - 421 N. Woodland Boulevard, DeLand, Florida, USA']","['Touchstone Pictures', 'Robert Simonds Productions', 'Waterboy Productions']",['English'],0,6,0,1998
6. Doctor Dolittle,https://www.imdb.com/title/tt0118998/?ref_=sr_t_6,1998,1h 25m,PG-13,5.4,104K,71500000.0,294456605.0,144156605.0,29014324.0,['Betty Thomas'],"['Hugh Lofting', 'Nat Mauldin', 'Larry Levin']","['Eddie Murphy', 'Peter Boyle', 'Ossie Davis']","['Animal Adventure', 'Comedy', 'Family', 'Fantasy']",['United States'],"['Century City, Los Angeles, California, USA']","['Twentieth Century Fox', 'Davis Entertainment', 'Joseph M. Singer Entertainment']",['English'],0,10,0,1998
7. Rush Hour,https://www.imdb.com/title/tt0120812/?ref_=sr_t_7,1998,1h 38m,PG-13,7.0,305K,33000000.0,244721064.0,141186864.0,33001803.0,['Brett Ratner'],"['Ross LaManna', 'Jim Kouf']","['Jackie Chan', 'Chris Tucker', 'Ken Leung']","['Buddy Cop', 'Martial Arts', 'Action', 'Comedy', 'Crime', 'Thriller']",['United States'],"['Foo-Chow Restaurant - 949 N Hill Street, Chinatown, Los Angeles, California, USA']","['New Line Cinema', 'Roger Birnbaum Productions']","['English', 'Cantonese', 'Mandarin', 'Japanese', 'Chinese']",0,9,0,1998
8. Deep Impact,https://www.imdb.com/title/tt0120647/?ref_=sr_t_8,1998,2h,PG-13,6.3,195K,75000000.0,349464664.0,140464664.0,41152375.0,['Mimi Leder'],"['Bruce Joel Rubin', 'Michael Tolkin']","['Robert Duvall', 'Téa Leoni', 'Elijah Wood']","['Disaster', 'Space Sci-Fi', 'Action', 'Drama', 'Sci-Fi', 'Thriller']",['United States'],"['Prince William Pkwy SR 234, Manassas, Virginia, USA']","['Paramount Pictures', 'Dreamworks Pictures', 'Zanuck/Brown Productions']","['English', 'Russian']",0,14,0,1998
9. Godzilla,https://www.imdb.com/title/tt0120685/?ref_=sr_t_9,1998,2h 19m,PG-13,5.5,207K,130000000.0,379014294.0,136314294.0,44047541.0,['Roland Emmerich'],"['Dean Devlin', 'Roland Emmerich', 'Ted Elliott']","['Matthew Broderick', 'Jean Reno', 'Maria Pitillo']","['Dinosaur Adventure', 'Disaster', 'Kaiju', 'Action', 'Sci-Fi', 'Thriller']","['United States', 'Japan']","[""Kualoa Ranch - 49560 Kamehameha Highway, Ka'a'awa, O'ahu, Hawaii, USA""]","['TriStar Pictures', 'Centropolis Entertainment', 'Centropolis Film Productions']","['English', 'French', 'Japanese', 'Russian', 'Spanish']",0,13,0,1998
10. Patch Adams,https://www.imdb.com/title/tt0129290/?ref_=sr_t_10,1998,1h 55m,PG-13,6.8,125K,90000000.0,202292902.0,135026902.0,25262280.0,['Tom Shadyac'],"['Patch Adams', 'Maureen Mylander', 'Steve Oedekerk']","['Robin Williams', 'Daniel London', 'Monica Potter']","['Medical Drama', 'Biography', 'Comedy', 'Drama', 'Romance']",['United States'],"['St. Helena, Napa Valley, California, USA']","['Universal Pictures', 'Blue Wolf Productions', 'Farrell/Minoff']",['English'],0,7,1,1998
