Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/?ref_=sr_t_1,1980,2h 4m,PG,8.7,1.4M
2. Superman II,https://www.imdb.com/title/tt0081573/?ref_=sr_t_2,1980,2h 7m,PG,6.8,117K
3. 9 to 5,https://www.imdb.com/title/tt0080319/?ref_=sr_t_3,1980,1h 49m,PG,6.9,41K
4. Stir Crazy,https://www.imdb.com/title/tt0081562/?ref_=sr_t_4,1980,1h 51m,R,6.7,31K
5. Airplane!,https://www.imdb.com/title/tt0080339/?ref_=sr_t_5,1980,1h 28m,PG,7.7,269K
6. Any Which Way You Can,https://www.imdb.com/title/tt0080377/?ref_=sr_t_6,1980,1h 56m,PG,6.1,21K
7. Private Benjamin,https://www.imdb.com/title/tt0081375/?ref_=sr_t_7,1980,1h 49m,R,6.2,29K
8. Coal Miner's Daughter,https://www.imdb.com/title/tt0080549/?ref_=sr_t_8,1980,2h 4m,PG,7.5,21K
9. Smokey and the Bandit II,https://www.imdb.com/title/tt0081529/?ref_=sr_t_9,1980,1h 40m,PG,5.3,18K
10. The Blue Lagoon,https://www.imdb.com/title/tt0080453/?ref_=sr_t_10,1980,1h 44m,R,5.8,79K
11. The Blues Brothers,https://www.imdb.com/title/tt0080455/?ref_=sr_t_11,1980,2h 13m,R,7.9,219K
12. Ordinary People,https://www.imdb.com/title/tt0081283/?ref_=sr_t_12,1980,2h 4m,R,7.7,58K
13. Popeye,https://www.imdb.com/title/tt0081353/?ref_=sr_t_13,1980,1h 54m,PG,5.4,36K
14. Urban Cowboy,https://www.imdb.com/title/tt0081696/?ref_=sr_t_14,1980,2h 12m,PG,6.5,17K
15. The Shining,https://www.imdb.com/title/tt0081505/?ref_=sr_t_15,1980,2h 26m,R,8.4,1.1M
16. Seems Like Old Times,https://www.imdb.com/title/tt0081480/?ref_=sr_t_16,1980,1h 42m,PG,6.7,11K
17. Cheech and Chong's Next Movie,https://www.imdb.com/title/tt0080520/?ref_=sr_t_17,1980,1h 39m,R,6.0,15K
18. Caddyshack,https://www.imdb.com/title/tt0080487/?ref_=sr_t_18,1980,1h 38m,R,7.2,130K
19. Friday the 13th,https://www.imdb.com/title/tt0080761/?ref_=sr_t_19,1980,1h 35m,R,6.4,164K
20. Brubaker,https://www.imdb.com/title/tt0080474/?ref_=sr_t_20,1980,2h 11m,R,7.1,20K
21. Little Darlings,https://www.imdb.com/title/tt0081060/?ref_=sr_t_21,1980,1h 36m,R,6.5,6.9K
22. Dressed to Kill,https://www.imdb.com/title/tt0080661/?ref_=sr_t_22,1980,1h 44m,R,7.1,52K
23. The Gods Must Be Crazy,https://www.imdb.com/title/tt0080801/?ref_=sr_t_23,1980,1h 49m,PG,7.3,61K
24. The Jazz Singer,https://www.imdb.com/title/tt0080948/?ref_=sr_t_24,1980,1h 55m,PG,5.9,5.2K
25. Flash Gordon,https://www.imdb.com/title/tt0080745/?ref_=sr_t_25,1980,1h 51m,PG,6.5,63K
26. The Elephant Man,https://www.imdb.com/title/tt0080678/?ref_=sr_t_26,1980,2h 4m,PG,8.2,266K
27. Bronco Billy,https://www.imdb.com/title/tt0080472/?ref_=sr_t_27,1980,1h 56m,PG,6.2,13K
28. Raging Bull,https://www.imdb.com/title/tt0081398/?ref_=sr_t_28,1980,2h 9m,R,8.1,390K
29. Xanadu,https://www.imdb.com/title/tt0081777/?ref_=sr_t_29,1980,1h 36m,PG,5.4,16K
30. American Gigolo,https://www.imdb.com/title/tt0080365/?ref_=sr_t_30,1980,1h 57m,R,6.3,30K
31. My Bodyguard,https://www.imdb.com/title/tt0081207/?ref_=sr_t_31,1980,1h 42m,PG,7.1,11K
32. The Fog,https://www.imdb.com/title/tt0080749/?ref_=sr_t_32,1980,1h 29m,R,6.8,86K
