Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
61. No Holds Barred,https://www.imdb.com/title/tt0097987/?ref_=sr_t_61,1989,1h 33m,PG-13,4.4,7.2K,8000000.0,16093651.0,16093651.0,4957052.0,['Thomas J. Wright'],['Dennis Hackin'],"['Hulk Hogan', 'Joan Severance', 'Kurt Fuller']","['Action', 'Sport']",['United States'],"['Atlanta, Georgia, USA']","['New Line Cinema', 'Shane Productions']",['English'],0,0,0,1989
62. Next of Kin,https://www.imdb.com/title/tt0097967/?ref_=sr_t_62,1989,1h 48m,R,5.9,13K,12000000.0,15942628.0,15942628.0,4805516.0,['John Irvin'],['Michael Jenning'],"['Patrick Swayze', 'Liam Neeson', 'Adam Baldwin']","['Action', 'Crime', 'Drama', 'Thriller']",['United States'],"['Hazard, Kentucky, USA']",['Lorimar Film Entertainment'],['English'],0,0,0,1989
63. Leviathan,https://www.imdb.com/title/tt0097737/?ref_=sr_t_63,1989,1h 38m,R,5.8,25K,25000000.0,15704614.0,15704614.0,5029164.0,['George P. Cosmatos'],"['David Webb Peoples', 'Jeb Stuart']","['Peter Weller', 'Richard Crenna', 'Amanda Pays']","['Body Horror', 'Adventure', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']","['Italy', 'United States']",['Adriatic Sea'],"['Filmauro', 'Gordon Company', 'Metro-Goldwyn-Mayer (MGM)']",['English'],0,0,0,1989
64. She-Devil,https://www.imdb.com/title/tt0098309/?ref_=sr_t_64,1989,1h 39m,PG-13,5.7,20K,16000000.0,15351421.0,15351421.0,3509647.0,['Susan Seidelman'],"['Fay Weldon', 'Barry Strugatz', 'Mark R. Burns']","['Meryl Streep', 'Roseanne Barr', 'Ed Begley Jr.']","['Dark Comedy', 'Satire', 'Comedy']",['United States'],"['Belle Terre, Suffolk, New York, USA']","['Orion Pictures', 'A Seidelman/Brett Production']","['English', 'French']",0,0,0,1989
65. My Left Foot,https://www.imdb.com/title/tt0097937/?ref_=sr_t_65,1989,1h 43m,R,7.8,82K,600000.0,14743391.0,14743391.0,41165.0,['Jim Sheridan'],"['Shane Connaughton', 'Jim Sheridan', 'Christy Brown']","['Daniel Day-Lewis', 'Brenda Fricker', 'Alison Whelan']","['Biography', 'Drama']","['Ireland', 'United Kingdom']","['Ardmore Studios, Herbert Road, Bray, County Wicklow, Ireland']","['Ferndale Films', 'Granada Television', ""Hell's Kitchen Films""]",['English'],0,20,0,1989
66. Kickboxer,https://www.imdb.com/title/tt0097659/?ref_=sr_t_66,1989,1h 37m,R,6.4,63K,1500000.0,14697005.0,14697005.0,4134098.0,"['Mark DiSalle', 'David Worth']","['Mark DiSalle', 'Jean-Claude Van Damme', 'Glenn A. Bruce']","['Jean-Claude Van Damme', 'Dennis Alexio', 'Dennis Chan']","['B-Action', 'Boxing', 'Martial Arts', 'Action', 'Sport', 'Thriller']",['United States'],"['Bangkok, Thailand']",['Kings Road Entertainment'],['English'],0,0,0,1989
67. Friday the 13th Part VIII: Jason Takes Manhattan,https://www.imdb.com/title/tt0097388/?ref_=sr_t_67,1989,1h 40m,R,4.5,45K,5000000.0,14343976.0,14343976.0,6251310.0,['Rob Hedden'],"['Rob Hedden', 'Victor Miller']","['Jensen Daggett', 'Kane Hodder', 'Todd Caldecott']","['Dark Comedy', 'Slasher Horror', 'Supernatural Horror', 'Urban Adventure', 'Adventure', 'Horror', 'Thriller']","['Canada', 'United States']","['Vancouver, British Columbia, Canada']","['Paramount Pictures', 'Horror', 'Sean S. Cunningham Films']",['English'],0,0,0,1989
68. The Wizard,https://www.imdb.com/title/tt0098663/?ref_=sr_t_68,1989,1h 40m,PG,6.1,17K,6000000.0,14278900.0,14278900.0,2142525.0,['Todd Holland'],['David Chisholm'],"['Fred Savage', 'Luke Edwards', 'Jenny Lewis']","['Road Trip', 'Teen Adventure', 'Adventure', 'Comedy', 'Drama', 'Family', 'Romance', 'Sport']",['United States'],"['Wheel Inn Restaurant - 50900 Seminole Drive, Cabazon, California, USA']","['Universal Pictures', 'Finnegan/Pinchuk Productions', 'Pipeline Productions']",['English'],0,0,0,1989
69. Great Balls of Fire!,https://www.imdb.com/title/tt0097457/?ref_=sr_t_69,1989,1h 48m,PG-13,6.3,19K,16000000.0,13741060.0,13741060.0,3807986.0,['Jim McBride'],"['Myra Lewis', 'Murray Silver Jr.', 'Jack Baran']","['Dennis Quaid', 'Winona Ryder', 'John Doe']","['Biography', 'Drama', 'Music']",['United States'],"['Marion, Arkansas, USA']",['Orion Pictures'],['English'],0,0,0,1989
70. Family Business,https://www.imdb.com/title/tt0097328/?ref_=sr_t_70,1989,1h 50m,R,5.7,14K,,12195695.0,12195695.0,2130024.0,['Sidney Lumet'],['Vincent Patrick'],"['Sean Connery', 'Dustin Hoffman', 'Matthew Broderick']","['Caper', 'Crime', 'Drama']",['United States'],"['2 Jericho Plaza, Jericho, Long Island, New York, USA']","['TriStar Pictures', 'Gordon Company', 'Regency International Pictures']",['English'],0,0,0,1989
71. Pink Cadillac,https://www.imdb.com/title/tt0098097/?ref_=sr_t_71,1989,2h 2m,PG-13,5.4,13K,19000000.0,12143484.0,12143484.0,4408593.0,['Buddy Van Horn'],['John Eskow'],"['Clint Eastwood', 'Bernadette Peters', 'Timothy Carhart']","['Dark Comedy', 'Action', 'Comedy', 'Crime', 'Drama']",['United States'],"['Nugget Casino Resort - 1100 Nugget Avenue, Sparks, Nevada, USA']","['Malpaso Productions', 'Warner Bros.']",['English'],0,0,0,1989
72. She's Out of Control,https://www.imdb.com/title/tt0098308/?ref_=sr_t_72,1989,1h 30m,PG,5.4,5K,12000000.0,12065892.0,12065892.0,3653142.0,['Stan Dragoti'],"['Seth Winston', 'Michael J. Nathanson']","['Tony Danza', 'Catherine Hicks', 'Wallace Shawn']",['Comedy'],['United States'],"['1960 La France Avenue, South Pasadena, California, USA']","['Weintraub Entertainment Group', 'Upstart Productions']",['English'],0,0,0,1989
73. Halloween 5: The Revenge of Michael Myers,https://www.imdb.com/title/tt0097474/?ref_=sr_t_73,1989,1h 36m,R,4.9,49K,5000000.0,11642254.0,11642254.0,5093428.0,['Dominique Othenin-Girard'],"['John Carpenter', 'Debra Hill', 'Michael Jacobs']","['Donald Pleasence', 'Danielle Harris', 'Ellie Cornell']","['Slasher Horror', 'Horror', 'Thriller']",['United States'],"['1007 1st Ave, Salt Lake City, Utah, USA']","['Magnum Pictures Inc.', 'Magnum Pictures', 'Return of Myers']",['English'],0,0,0,1989
74. Gross Anatomy,https://www.imdb.com/title/tt0097458/?ref_=sr_t_74,1989,1h 49m,PG-13,6.2,4.2K,8500000.0,11604598.0,11604598.0,2830387.0,['Thom Eberhardt'],"['Mark Spragg', 'Howard Rosenman', 'Alan Jay Glueckman']","['Matthew Modine', 'Daphne Zuniga', 'Christine Lahti']","['Medical Drama', 'Drama']",['United States'],"['Los Angeles Harbor, San Pedro, Los Angeles, California, USA']","['Touchstone Pictures', 'Silver Screen Partners IV', 'Hill/Rosenman']",['English'],0,0,0,1989
75. Police Academy 6: City Under Siege,https://www.imdb.com/title/tt0098105/?ref_=sr_t_75,1989,1h 24m,PG,4.4,34K,12000000.0,11567217.0,11567217.0,4032480.0,['Peter Bonerz'],"['Neal Israel', 'Pat Proft', 'Stephen Curwick']","['Bubba Smith', 'David Graf', 'Michael Winslow']","['Comedy', 'Crime']",['United States'],"['1100 Wilshire Blvd, Los Angeles, California, USA']",['Warner Bros.'],['English'],0,0,0,1989
76. Wild Orchid,https://www.imdb.com/title/tt0100934/?ref_=sr_t_76,1989,1h 45m,R,4.5,13K,,11060485.0,11060485.0,2622637.0,['Zalman King'],"['Patricia Louisianna Knop', 'Zalman King']","['Mickey Rourke', 'Jacqueline Bisset', 'Carré Otis']","['Steamy Romance', 'Drama', 'Romance']",['United States'],"['Bahia, Brazil']",['Vision PDG'],"['English', 'Portuguese']",0,0,0,1989
77. Who's Harry Crumb?,https://www.imdb.com/title/tt0098645/?ref_=sr_t_77,1989,1h 34m,PG-13,5.9,18K,,10982364.0,10982364.0,3862719.0,['Paul Flaherty'],"['Bob Conte', 'Peter Wortmann']","['John Candy', 'Jeffrey Jones', 'Annie Potts']","['Bumbling Detective', 'Slapstick', 'Comedy', 'Mystery']",['United States'],"['Vancouver International Airport, Sea Island, Richmond, British Columbia, Canada']","['TriStar Pictures', 'NBC Productions', 'Arnon Milchan Productions']",['English'],0,0,0,1989
78. New York Stories,https://www.imdb.com/title/tt0097965/?ref_=sr_t_78,1989,2h 4m,PG,6.4,20K,15000000.0,10763469.0,10763469.0,432337.0,"['Woody Allen', 'Francis Ford Coppola', 'Martin Scorsese']","['Richard Price', 'Woody Allen', 'Francis Ford Coppola']","['Woody Allen', 'Nick Nolte', 'Rosanna Arquette']","['Satire', 'Comedy', 'Drama', 'Romance']",['United States'],"['Acropolis, Athens, Greece']","['Touchstone Pictures', 'Jack Rollins & Charles H. Joffe Productions']",['English'],0,0,0,1989
79. The Package,https://www.imdb.com/title/tt0098051/?ref_=sr_t_79,1989,1h 48m,R,6.4,12K,18000000.0,10647219.0,10647219.0,1851673.0,['Andrew Davis'],['John Bishop'],"['Gene Hackman', 'Tommy Lee Jones', 'Joanna Cassidy']","['Political Thriller', 'Spy', 'Action', 'Crime', 'Drama', 'Thriller']",['United States'],"['14907 Woodlawn Ave, Dolton, Illinois, USA']",['Orion Pictures'],['English'],0,0,0,1989
80. We're No Angels,https://www.imdb.com/title/tt0098625/?ref_=sr_t_80,1989,1h 46m,PG-13,6.1,25K,20000000.0,10555348.0,10555348.0,2047630.0,['Neil Jordan'],"['David Mamet', 'Ranald MacDougall', 'Albert Husson']","['Robert De Niro', 'Sean Penn', 'Demi Moore']","['Satire', 'Comedy', 'Crime']",['United States'],"['Maple Ridge, British Columbia, Canada']",['Paramount Pictures'],"['English', 'French', 'Latin', 'Croatian']",0,0,0,1989
