Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Batman,https://www.imdb.com/title/tt0096895/?ref_=sr_t_1,1989,2h 6m,PG-13,7.5,415K
2. Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/?ref_=sr_t_2,1989,2h 7m,PG-13,8.2,829K
3. Lethal Weapon 2,https://www.imdb.com/title/tt0097733/?ref_=sr_t_3,1989,1h 54m,R,7.3,193K
4. Look Who's Talking,https://www.imdb.com/title/tt0097778/?ref_=sr_t_4,1989,1h 33m,PG-13,5.9,88K
"5. Honey, I Shrunk the Kids",https://www.imdb.com/title/tt0097523/?ref_=sr_t_5,1989,1h 33m,PG,6.4,170K
6. Back to the Future Part II,https://www.imdb.com/title/tt0096874/?ref_=sr_t_6,1989,1h 48m,PG,7.8,589K
7. Ghostbusters II,https://www.imdb.com/title/tt0097428/?ref_=sr_t_7,1989,1h 48m,PG,6.6,231K
8. The Little Mermaid,https://www.imdb.com/title/tt0097757/?ref_=sr_t_8,1989,1h 23m,G,7.6,298K
9. Driving Miss Daisy,https://www.imdb.com/title/tt0097239/?ref_=sr_t_9,1989,1h 39m,PG,7.3,120K
10. Parenthood,https://www.imdb.com/title/tt0098067/?ref_=sr_t_10,1989,2h 4m,PG-13,7.1,56K
11. Dead Poets Society,https://www.imdb.com/title/tt0097165/?ref_=sr_t_11,1989,2h 8m,PG,8.1,575K
12. When Harry Met Sally...,https://www.imdb.com/title/tt0098635/?ref_=sr_t_12,1989,1h 35m,R,7.7,251K
13. The War of the Roses,https://www.imdb.com/title/tt0098621/?ref_=sr_t_13,1989,1h 56m,R,6.8,59K
14. Steel Magnolias,https://www.imdb.com/title/tt0098384/?ref_=sr_t_14,1989,1h 57m,PG,7.3,65K
15. National Lampoon's Christmas Vacation,https://www.imdb.com/title/tt0097958/?ref_=sr_t_15,1989,1h 37m,PG-13,7.5,233K
16. Turner & Hooch,https://www.imdb.com/title/tt0098536/?ref_=sr_t_16,1989,1h 37m,PG,6.2,78K
17. Born on the Fourth of July,https://www.imdb.com/title/tt0096969/?ref_=sr_t_17,1989,2h 25m,R,7.2,119K
18. Uncle Buck,https://www.imdb.com/title/tt0098554/?ref_=sr_t_18,1989,1h 40m,PG,7.1,113K
19. Field of Dreams,https://www.imdb.com/title/tt0097351/?ref_=sr_t_19,1989,1h 47m,PG,7.5,132K
20. Tango & Cash,https://www.imdb.com/title/tt0098439/?ref_=sr_t_20,1989,1h 44m,R,6.4,116K
21. Harlem Nights,https://www.imdb.com/title/tt0097481/?ref_=sr_t_21,1989,1h 56m,R,6.1,26K
22. Sea of Love,https://www.imdb.com/title/tt0098273/?ref_=sr_t_22,1989,1h 53m,R,6.8,46K
23. Pet Sematary,https://www.imdb.com/title/tt0098084/?ref_=sr_t_23,1989,1h 43m,R,6.5,118K
24. The Abyss,https://www.imdb.com/title/tt0096754/?ref_=sr_t_24,1989,2h 20m,PG-13,7.5,199K
25. Star Trek V: The Final Frontier,https://www.imdb.com/title/tt0098382/?ref_=sr_t_25,1989,1h 47m,PG,5.5,65K
26. Major League,https://www.imdb.com/title/tt0097815/?ref_=sr_t_26,1989,1h 47m,R,7.2,79K
"27. See No Evil, Hear No Evil",https://www.imdb.com/title/tt0098282/?ref_=sr_t_27,1989,1h 43m,R,6.8,60K
28. Black Rain,https://www.imdb.com/title/tt0096933/?ref_=sr_t_28,1989,2h 5m,R,6.6,61K
29. Always,https://www.imdb.com/title/tt0096794/?ref_=sr_t_29,1989,2h 2m,PG,6.4,33K
30. K-9,https://www.imdb.com/title/tt0097637/?ref_=sr_t_30,1989,1h 41m,PG-13,6.1,36K
31. Three Fugitives,https://www.imdb.com/title/tt0098471/?ref_=sr_t_31,1989,1h 36m,PG-13,6.2,13K
32. Bill & Ted's Excellent Adventure,https://www.imdb.com/title/tt0096928/?ref_=sr_t_32,1989,1h 30m,PG,6.9,144K
33. The Karate Kid Part III,https://www.imdb.com/title/tt0097647/?ref_=sr_t_33,1989,1h 52m,PG,5.3,72K
34. The 'Burbs,https://www.imdb.com/title/tt0096734/?ref_=sr_t_34,1989,1h 42m,PG,6.8,86K
35. Fletch Lives,https://www.imdb.com/title/tt0097366/?ref_=sr_t_35,1989,1h 35m,PG,6.1,24K
36. Licence to Kill,https://www.imdb.com/title/tt0097742/?ref_=sr_t_36,1989,2h 13m,PG-13,6.7,115K
37. Lean on Me,https://www.imdb.com/title/tt0097722/?ref_=sr_t_37,1989,1h 48m,PG-13,7.4,23K
38. Weekend at Bernie's,https://www.imdb.com/title/tt0098627/?ref_=sr_t_38,1989,1h 37m,PG-13,6.4,65K
39. Road House,https://www.imdb.com/title/tt0098206/?ref_=sr_t_39,1989,1h 54m,R,6.7,105K
40. The Dream Team,https://www.imdb.com/title/tt0097235/?ref_=sr_t_40,1989,1h 53m,PG-13,6.5,17K
41. Do the Right Thing,https://www.imdb.com/title/tt0097216/?ref_=sr_t_41,1989,2h,R,7.9,116K
42. All Dogs Go to Heaven,https://www.imdb.com/title/tt0096787/?ref_=sr_t_42,1989,1h 24m,G,6.7,48K
43. Glory,https://www.imdb.com/title/tt0097441/?ref_=sr_t_43,1989,2h 2m,R,7.8,148K
"44. Sex, Lies, and Videotape",https://www.imdb.com/title/tt0098724/?ref_=sr_t_44,1989,1h 40m,R,7.2,61K
45. A Nightmare on Elm Street: The Dream Child,https://www.imdb.com/title/tt0097981/?ref_=sr_t_45,1989,1h 29m,R,5.0,53K
