Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Avengers: Endgame,https://www.imdb.com/title/tt4154796/?ref_=sr_t_1,2019,3h 1m,PG-13,8.4,1.3M
2. The Lion King,https://www.imdb.com/title/tt6105098/?ref_=sr_t_2,2019,1h 58m,PG,6.8,277K
3. Star Wars: Episode IX - The Rise of Skywalker,https://www.imdb.com/title/tt2527338/?ref_=sr_t_3,2019,2h 21m,PG-13,6.4,509K
4. Frozen II,https://www.imdb.com/title/tt4520988/?ref_=sr_t_4,2019,1h 43m,PG,6.8,203K
5. Toy Story 4,https://www.imdb.com/title/tt1979376/?ref_=sr_t_5,2019,1h 40m,G,7.6,292K
6. Captain Marvel,https://www.imdb.com/title/tt4154664/?ref_=sr_t_6,2019,2h 3m,PG-13,6.8,627K
7. Spider-Man: Far from Home,https://www.imdb.com/title/tt6320628/?ref_=sr_t_7,2019,2h 9m,PG-13,7.4,582K
8. Aladdin,https://www.imdb.com/title/tt6139732/?ref_=sr_t_8,2019,2h 8m,PG,6.9,298K
9. Joker,https://www.imdb.com/title/tt7286456/?ref_=sr_t_9,2019,2h 2m,R,8.3,1.6M
10. Jumanji: The Next Level,https://www.imdb.com/title/tt7975244/?ref_=sr_t_10,2019,2h 3m,PG-13,6.6,297K
11. It Chapter Two,https://www.imdb.com/title/tt7349950/?ref_=sr_t_11,2019,2h 49m,R,6.5,317K
12. Us,https://www.imdb.com/title/tt6857112/?ref_=sr_t_12,2019,1h 56m,R,6.8,358K
13. Fast & Furious Presents: Hobbs & Shaw,https://www.imdb.com/title/tt6806448/?ref_=sr_t_13,2019,2h 17m,PG-13,6.5,244K
14. John Wick: Chapter 3 - Parabellum,https://www.imdb.com/title/tt6146586/?ref_=sr_t_14,2019,2h 10m,R,7.4,443K
15. Knives Out,https://www.imdb.com/title/tt8946378/?ref_=sr_t_15,2019,2h 10m,PG-13,7.9,802K
16. How to Train Your Dragon: The Hidden World,https://www.imdb.com/title/tt2386490/?ref_=sr_t_16,2019,1h 44m,PG,7.4,159K
17. 1917,https://www.imdb.com/title/tt8579674/?ref_=sr_t_17,2019,1h 59m,R,8.2,710K
18. The Secret Life of Pets 2,https://www.imdb.com/title/tt5113040/?ref_=sr_t_18,2019,1h 26m,PG,6.4,72K
19. Pokémon: Detective Pikachu,https://www.imdb.com/title/tt5884052/?ref_=sr_t_19,2019,1h 44m,PG,6.5,188K
20. Once Upon a Time... in Hollywood,https://www.imdb.com/title/tt7131622/?ref_=sr_t_20,2019,2h 41m,R,7.6,885K
21. Shazam!,https://www.imdb.com/title/tt0448115/?ref_=sr_t_21,2019,2h 12m,PG-13,7.0,395K
22. Ford v Ferrari,https://www.imdb.com/title/tt1950186/?ref_=sr_t_22,2019,2h 32m,PG-13,8.1,507K
23. Dumbo,https://www.imdb.com/title/tt3861390/?ref_=sr_t_23,2019,1h 52m,PG,6.3,85K
24. Maleficent: Mistress of Evil,https://www.imdb.com/title/tt4777008/?ref_=sr_t_24,2019,1h 59m,PG,6.6,123K
25. Glass,https://www.imdb.com/title/tt6823368/?ref_=sr_t_25,2019,2h 9m,PG-13,6.6,287K
26. Godzilla: King of the Monsters,https://www.imdb.com/title/tt3741700/?ref_=sr_t_26,2019,2h 12m,PG-13,6.0,216K
27. Little Women,https://www.imdb.com/title/tt3281548/?ref_=sr_t_27,2019,2h 15m,PG,7.8,260K
28. The Lego Movie 2: The Second Part,https://www.imdb.com/title/tt3513498/?ref_=sr_t_28,2019,1h 47m,PG,6.5,80K
29. Hustlers,https://www.imdb.com/title/tt5503686/?ref_=sr_t_29,2019,1h 50m,R,6.3,110K
30. The Addams Family,https://www.imdb.com/title/tt1620981/?ref_=sr_t_30,2019,1h 26m,PG,5.8,46K
31. Downton Abbey,https://www.imdb.com/title/tt6398184/?ref_=sr_t_31,2019,2h 2m,PG,7.4,66K
32. Rocketman,https://www.imdb.com/title/tt2066051/?ref_=sr_t_32,2019,2h 1m,R,7.3,201K
33. Alita: Battle Angel,https://www.imdb.com/title/tt0437086/?ref_=sr_t_33,2019,2h 2m,PG-13,7.3,306K
34. Good Boys,https://www.imdb.com/title/tt6977338/?ref_=sr_t_34,2019,1h 30m,R,6.7,85K
35. Men in Black: International,https://www.imdb.com/title/tt2283336/?ref_=sr_t_35,2019,1h 54m,PG-13,5.6,152K
36. Annabelle Comes Home,https://www.imdb.com/title/tt8350360/?ref_=sr_t_36,2019,1h 46m,R,5.9,91K
37. Yesterday,https://www.imdb.com/title/tt8079248/?ref_=sr_t_37,2019,1h 56m,PG-13,6.8,174K
38. A Madea Family Funeral,https://www.imdb.com/title/tt7054636/?ref_=sr_t_38,2019,1h 49m,PG-13,4.7,5.2K
39. Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/?ref_=sr_t_39,2019,1h 39m,R,6.7,212K
40. Angel Has Fallen,https://www.imdb.com/title/tt6189022/?ref_=sr_t_40,2019,2h 1m,R,6.4,115K
41. Scary Stories to Tell in the Dark,https://www.imdb.com/title/tt3387520/?ref_=sr_t_41,2019,1h 48m,PG-13,6.2,88K
42. Spies in Disguise,https://www.imdb.com/title/tt5814534/?ref_=sr_t_42,2019,1h 42m,PG,6.8,59K
43. X-Men: Dark Phoenix,https://www.imdb.com/title/tt6565702/?ref_=sr_t_43,2019,1h 53m,PG-13,5.7,215K
44. Terminator: Dark Fate,https://www.imdb.com/title/tt6450804/?ref_=sr_t_44,2019,2h 8m,R,6.2,201K
45. A Beautiful Day in the Neighborhood,https://www.imdb.com/title/tt3224458/?ref_=sr_t_45,2019,1h 49m,PG,7.2,91K
46. Abominable,https://www.imdb.com/title/tt6324278/?ref_=sr_t_46,2019,1h 37m,PG,7.0,44K
47. Dora and the Lost City of Gold,https://www.imdb.com/title/tt7547410/?ref_=sr_t_47,2019,1h 42m,PG,6.1,36K
48. Escape Room,https://www.imdb.com/title/tt5886046/?ref_=sr_t_48,2019,1h 39m,PG-13,6.4,148K
49. Midway,https://www.imdb.com/title/tt6924650/?ref_=sr_t_49,2019,2h 18m,PG-13,6.7,98K
50. The Curse of La Llorona,https://www.imdb.com/title/tt4913966/?ref_=sr_t_50,2019,1h 33m,R,5.3,60K
51. Pet Sematary,https://www.imdb.com/title/tt0837563/?ref_=sr_t_51,2019,1h 40m,R,5.7,101K
52. What Men Want,https://www.imdb.com/title/tt7634968/?ref_=sr_t_52,2019,1h 57m,R,5.4,33K
53. Parasite,https://www.imdb.com/title/tt6751668/?ref_=sr_t_53,2019,2h 12m,R,8.5,1M
54. Ad Astra,https://www.imdb.com/title/tt2935510/?ref_=sr_t_54,2019,2h 3m,PG-13,6.5,267K
55. Uncut Gems,https://www.imdb.com/title/tt5727208/?ref_=sr_t_55,2019,2h 15m,R,7.4,329K
56. Isn't It Romantic,https://www.imdb.com/title/tt2452244/?ref_=sr_t_56,2019,1h 29m,PG-13,5.9,75K
57. Gemini Man,https://www.imdb.com/title/tt1025100/?ref_=sr_t_57,2019,1h 57m,PG-13,5.7,126K
58. Ma,https://www.imdb.com/title/tt7958736/?ref_=sr_t_58,2019,1h 39m,R,5.6,62K
59. Five Feet Apart,https://www.imdb.com/title/tt6472976/?ref_=sr_t_59,2019,1h 56m,PG-13,7.2,89K
60. Wonder Park,https://www.imdb.com/title/tt6428676/?ref_=sr_t_60,2019,1h 25m,PG,5.9,13K
61. Rambo: Last Blood,https://www.imdb.com/title/tt1206885/?ref_=sr_t_61,2019,1h 29m,R,6.1,113K
62. Playing with Fire,https://www.imdb.com/title/tt9134216/?ref_=sr_t_62,2019,1h 36m,PG,5.2,17K
63. Queen & Slim,https://www.imdb.com/title/tt8722346/?ref_=sr_t_63,2019,2h 12m,R,7.1,35K
64. Harriet,https://www.imdb.com/title/tt4648786/?ref_=sr_t_64,2019,2h 5m,PG-13,6.7,32K
65. A Dog's Way Home,https://www.imdb.com/title/tt7616798/?ref_=sr_t_65,2019,1h 36m,PG,6.7,21K
66. The Angry Birds Movie 2,https://www.imdb.com/title/tt6095472/?ref_=sr_t_66,2019,1h 37m,PG,6.4,38K
67. Little,https://www.imdb.com/title/tt8085790/?ref_=sr_t_67,2019,1h 49m,PG-13,5.5,15K
68. Breakthrough,https://www.imdb.com/title/tt7083526/?ref_=sr_t_68,2019,1h 56m,PG,6.3,11K
69. Crawl,https://www.imdb.com/title/tt8364368/?ref_=sr_t_69,2019,1h 27m,R,6.1,97K
70. The Gentlemen,https://www.imdb.com/title/tt8367814/?ref_=sr_t_70,2019,1h 53m,R,7.8,423K
71. Just Mercy,https://www.imdb.com/title/tt4916630/?ref_=sr_t_71,2019,2h 17m,PG-13,7.6,79K
72. The Intruder,https://www.imdb.com/title/tt6722030/?ref_=sr_t_72,2019,1h 42m,PG-13,5.6,20K
73. The Hustle,https://www.imdb.com/title/tt1298644/?ref_=sr_t_73,2019,1h 33m,PG-13,5.5,68K
74. Last Christmas,https://www.imdb.com/title/tt8623904/?ref_=sr_t_74,2019,1h 43m,PG-13,6.5,97K
75. Overcomer,https://www.imdb.com/title/tt8186318/?ref_=sr_t_75,2019,1h 59m,PG,6.7,6K
76. Jojo Rabbit,https://www.imdb.com/title/tt2584384/?ref_=sr_t_76,2019,1h 48m,PG-13,7.9,458K
77. Cold Pursuit,https://www.imdb.com/title/tt5719748/?ref_=sr_t_77,2019,1h 59m,R,6.2,81K
