Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/?ref_=sr_t_1,2011,2h 10m,PG-13,8.1,980K
2. Transformers: Dark of the Moon,https://www.imdb.com/title/tt1399103/?ref_=sr_t_2,2011,2h 34m,PG-13,6.2,440K
3. The Twilight Saga: Breaking Dawn - Part 1,https://www.imdb.com/title/tt1324999/?ref_=sr_t_3,2011,1h 57m,PG-13,4.9,260K
4. The Hangover Part II,https://www.imdb.com/title/tt1411697/?ref_=sr_t_4,2011,1h 42m,R,6.5,549K
5. Pirates of the Caribbean: On Stranger Tides,https://www.imdb.com/title/tt1298650/?ref_=sr_t_5,2011,2h 16m,PG-13,6.6,578K
6. Fast Five,https://www.imdb.com/title/tt1596343/?ref_=sr_t_6,2011,2h 10m,PG-13,7.3,416K
7. Mission: Impossible - Ghost Protocol,https://www.imdb.com/title/tt1229238/?ref_=sr_t_7,2011,2h 12m,PG-13,7.4,538K
8. Cars 2,https://www.imdb.com/title/tt1216475/?ref_=sr_t_8,2011,1h 46m,G,6.2,230K
9. Sherlock Holmes: A Game of Shadows,https://www.imdb.com/title/tt1515091/?ref_=sr_t_9,2011,2h 9m,PG-13,7.4,489K
10. Thor,https://www.imdb.com/title/tt0800369/?ref_=sr_t_10,2011,1h 55m,PG-13,7.0,921K
11. Rise of the Planet of the Apes,https://www.imdb.com/title/tt1318514/?ref_=sr_t_11,2011,1h 45m,PG-13,7.6,588K
12. Captain America: The First Avenger,https://www.imdb.com/title/tt0458339/?ref_=sr_t_12,2011,2h 4m,PG-13,6.9,918K
13. The Help,https://www.imdb.com/title/tt1454029/?ref_=sr_t_13,2011,2h 26m,PG-13,8.1,506K
14. Bridesmaids,https://www.imdb.com/title/tt1478338/?ref_=sr_t_14,2011,2h 5m,R,6.8,315K
15. Kung Fu Panda 2,https://www.imdb.com/title/tt1302011/?ref_=sr_t_15,2011,1h 30m,PG,7.3,333K
16. Puss in Boots,https://www.imdb.com/title/tt0448694/?ref_=sr_t_16,2011,1h 30m,PG,6.6,198K
17. X-Men: First Class,https://www.imdb.com/title/tt1270798/?ref_=sr_t_17,2011,2h 11m,PG-13,7.7,740K
18. Rio,https://www.imdb.com/title/tt1436562/?ref_=sr_t_18,2011,1h 36m,G,6.9,257K
19. The Smurfs,https://www.imdb.com/title/tt0472181/?ref_=sr_t_19,2011,1h 43m,PG,5.4,99K
20. Alvin and the Chipmunks: Chipwrecked,https://www.imdb.com/title/tt1615918/?ref_=sr_t_20,2011,1h 27m,G,4.4,41K
21. Super 8,https://www.imdb.com/title/tt1650062/?ref_=sr_t_21,2011,1h 52m,PG-13,7.0,372K
22. Rango,https://www.imdb.com/title/tt1192628/?ref_=sr_t_22,2011,1h 47m,PG,7.3,301K
23. Horrible Bosses,https://www.imdb.com/title/tt1499658/?ref_=sr_t_23,2011,1h 38m,R,6.9,476K
24. Green Lantern,https://www.imdb.com/title/tt1133985/?ref_=sr_t_24,2011,1h 54m,PG-13,5.5,301K
25. Hop,https://www.imdb.com/title/tt1411704/?ref_=sr_t_25,2011,1h 35m,PG,5.4,38K
26. Paranormal Activity 3,https://www.imdb.com/title/tt1778304/?ref_=sr_t_26,2011,1h 23m,R,5.8,101K
27. Just Go with It,https://www.imdb.com/title/tt1564367/?ref_=sr_t_27,2011,1h 57m,PG-13,6.4,274K
28. The Girl with the Dragon Tattoo,https://www.imdb.com/title/tt1568346/?ref_=sr_t_28,2011,2h 38m,R,7.8,507K
29. Bad Teacher,https://www.imdb.com/title/tt1284575/?ref_=sr_t_29,2011,1h 32m,R,5.7,216K
30. Cowboys & Aliens,https://www.imdb.com/title/tt0409847/?ref_=sr_t_30,2011,1h 59m,PG-13,6.0,236K
31. Gnomeo & Juliet,https://www.imdb.com/title/tt0377981/?ref_=sr_t_31,2011,1h 24m,G,5.9,61K
32. The Green Hornet,https://www.imdb.com/title/tt0990407/?ref_=sr_t_32,2011,1h 59m,PG-13,5.8,166K
33. The Muppets,https://www.imdb.com/title/tt1204342/?ref_=sr_t_33,2011,1h 43m,PG,7.1,98K
34. Real Steel,https://www.imdb.com/title/tt0433035/?ref_=sr_t_34,2011,2h 7m,PG-13,7.1,366K
"35. Crazy, Stupid, Love.",https://www.imdb.com/title/tt1570728/?ref_=sr_t_35,2011,1h 58m,PG-13,7.4,582K
36. Battle Los Angeles,https://www.imdb.com/title/tt1217613/?ref_=sr_t_36,2011,1h 56m,PG-13,5.7,187K
37. Immortals,https://www.imdb.com/title/tt1253864/?ref_=sr_t_37,2011,1h 50m,R,6.0,179K
38. The Descendants,https://www.imdb.com/title/tt1033575/?ref_=sr_t_38,2011,1h 55m,R,7.3,255K
39. Zookeeper,https://www.imdb.com/title/tt1222817/?ref_=sr_t_39,2011,1h 42m,PG,5.2,67K
40. War Horse,https://www.imdb.com/title/tt1568911/?ref_=sr_t_40,2011,2h 26m,PG-13,7.2,168K
41. Limitless,https://www.imdb.com/title/tt1219289/?ref_=sr_t_41,2011,1h 45m,PG-13,7.4,623K
42. Tower Heist,https://www.imdb.com/title/tt0471042/?ref_=sr_t_42,2011,1h 44m,PG-13,6.2,153K
43. The Adventures of Tintin,https://www.imdb.com/title/tt0983193/?ref_=sr_t_43,2011,1h 47m,PG,7.3,247K
44. Contagion,https://www.imdb.com/title/tt1598778/?ref_=sr_t_44,2011,1h 46m,PG-13,6.8,321K
45. We Bought a Zoo,https://www.imdb.com/title/tt1389137/?ref_=sr_t_45,2011,2h 4m,PG,7.0,155K
46. Moneyball,https://www.imdb.com/title/tt1210166/?ref_=sr_t_46,2011,2h 13m,PG-13,7.6,479K
47. Jack and Jill,https://www.imdb.com/title/tt0810913/?ref_=sr_t_47,2011,1h 31m,PG,3.3,92K
48. Hugo,https://www.imdb.com/title/tt0970179/?ref_=sr_t_48,2011,2h 6m,PG,7.5,341K
49. Justin Bieber: Never Say Never,https://www.imdb.com/title/tt1702443/?ref_=sr_t_49,2011,1h 45m,G,1.7,77K
50. Dolphin Tale,https://www.imdb.com/title/tt1564349/?ref_=sr_t_50,2011,1h 53m,PG,6.8,26K
51. No Strings Attached,https://www.imdb.com/title/tt1411238/?ref_=sr_t_51,2011,1h 48m,R,6.2,248K
52. Mr. Popper's Penguins,https://www.imdb.com/title/tt1396218/?ref_=sr_t_52,2011,1h 34m,PG,6.0,108K
53. Happy Feet Two,https://www.imdb.com/title/tt1402488/?ref_=sr_t_53,2011,1h 40m,PG,5.8,49K
54. Unknown,https://www.imdb.com/title/tt1401152/?ref_=sr_t_54,2011,1h 53m,PG-13,6.8,272K
55. The Adjustment Bureau,https://www.imdb.com/title/tt1385826/?ref_=sr_t_55,2011,1h 46m,PG-13,7.0,275K
56. Water for Elephants,https://www.imdb.com/title/tt1067583/?ref_=sr_t_56,2011,2h,PG-13,6.9,122K
57. The Lincoln Lawyer,https://www.imdb.com/title/tt1189340/?ref_=sr_t_57,2011,1h 58m,R,7.3,260K
58. Midnight in Paris,https://www.imdb.com/title/tt1605783/?ref_=sr_t_58,2011,1h 34m,PG-13,7.6,458K
59. Friends with Benefits,https://www.imdb.com/title/tt1632708/?ref_=sr_t_59,2011,1h 49m,R,6.5,404K
60. I Am Number Four,https://www.imdb.com/title/tt1464540/?ref_=sr_t_60,2011,1h 51m,PG-13,6.1,249K
61. Source Code,https://www.imdb.com/title/tt0945513/?ref_=sr_t_61,2011,1h 33m,PG-13,7.5,562K
62. New Year's Eve,https://www.imdb.com/title/tt1598822/?ref_=sr_t_62,2011,1h 58m,PG-13,5.6,91K
63. Madea's Big Happy Family,https://www.imdb.com/title/tt1787759/?ref_=sr_t_63,2011,1h 46m,PG-13,4.8,8.8K
64. Diary of a Wimpy Kid: Rodrick Rules,https://www.imdb.com/title/tt1650043/?ref_=sr_t_64,2011,1h 39m,PG,6.6,38K
65. Footloose,https://www.imdb.com/title/tt1068242/?ref_=sr_t_65,2011,1h 53m,PG-13,5.8,54K
66. Ghost Rider: Spirit of Vengeance,https://www.imdb.com/title/tt1071875/?ref_=sr_t_66,2011,1h 36m,PG-13,4.3,129K
67. The Grey,https://www.imdb.com/title/tt1601913/?ref_=sr_t_67,2011,1h 57m,R,6.7,267K
68. The Dilemma,https://www.imdb.com/title/tt1578275/?ref_=sr_t_68,2011,1h 51m,PG-13,5.3,57K
69. Arthur Christmas,https://www.imdb.com/title/tt1430607/?ref_=sr_t_69,2011,1h 37m,PG,7.1,70K
70. The Best Exotic Marigold Hotel,https://www.imdb.com/title/tt1412386/?ref_=sr_t_70,2011,2h 4m,PG-13,7.2,101K
71. Hall Pass,https://www.imdb.com/title/tt0480687/?ref_=sr_t_71,2011,1h 45m,R,5.9,133K
72. The Artist,https://www.imdb.com/title/tt1655442/?ref_=sr_t_72,2011,1h 40m,PG-13,7.8,251K
73. Soul Surfer,https://www.imdb.com/title/tt1596346/?ref_=sr_t_73,2011,1h 52m,PG,7.0,54K
74. Final Destination 5,https://www.imdb.com/title/tt1622979/?ref_=sr_t_74,2011,1h 32m,R,5.9,129K
75. The Cabin in the Woods,https://www.imdb.com/title/tt1259521/?ref_=sr_t_75,2011,1h 35m,R,7.0,466K
76. The Ides of March,https://www.imdb.com/title/tt1124035/?ref_=sr_t_76,2011,1h 41m,R,7.1,234K
77. Hanna,https://www.imdb.com/title/tt0993842/?ref_=sr_t_77,2011,1h 51m,PG-13,6.7,209K
78. Something Borrowed,https://www.imdb.com/title/tt0491152/?ref_=sr_t_78,2011,1h 52m,PG-13,5.8,66K
79. Spy Kids 4: All the Time in the World,https://www.imdb.com/title/tt1517489/?ref_=sr_t_79,2011,1h 29m,PG,3.6,29K
80. Scream 4,https://www.imdb.com/title/tt1262416/?ref_=sr_t_80,2011,1h 51m,R,6.2,178K
"81. Big Mommas: Like Father, Like Son",https://www.imdb.com/title/tt1464174/?ref_=sr_t_81,2011,1h 47m,PG-13,4.5,30K
82. Red Riding Hood,https://www.imdb.com/title/tt1486185/?ref_=sr_t_82,2011,1h 40m,PG-13,5.4,117K
83. In Time,https://www.imdb.com/title/tt1637688/?ref_=sr_t_83,2011,1h 49m,PG-13,6.7,460K
84. Paul,https://www.imdb.com/title/tt1092026/?ref_=sr_t_84,2011,1h 44m,R,6.9,271K
85. J. Edgar,https://www.imdb.com/title/tt1616195/?ref_=sr_t_85,2011,2h 17m,R,6.5,135K
86. The Roommate,https://www.imdb.com/title/tt1265990/?ref_=sr_t_86,2011,1h 31m,PG-13,4.8,42K
87. Jumping the Broom,https://www.imdb.com/title/tt1640484/?ref_=sr_t_87,2011,1h 52m,PG-13,5.7,12K
88. The Change-Up,https://www.imdb.com/title/tt1488555/?ref_=sr_t_88,2011,1h 52m,R,6.3,200K
89. 30 Minutes or Less,https://www.imdb.com/title/tt1622547/?ref_=sr_t_89,2011,1h 23m,R,6.0,108K
90. Colombiana,https://www.imdb.com/title/tt1657507/?ref_=sr_t_90,2011,1h 48m,PG-13,6.4,110K
91. Sucker Punch,https://www.imdb.com/title/tt0978764/?ref_=sr_t_91,2011,1h 50m,PG-13,6.1,256K
92. Larry Crowne,https://www.imdb.com/title/tt1583420/?ref_=sr_t_92,2011,1h 38m,PG-13,6.1,72K
93. Drive,https://www.imdb.com/title/tt0780504/?ref_=sr_t_93,2011,1h 40m,R,7.8,725K
94. A Very Harold & Kumar Christmas,https://www.imdb.com/title/tt1268799/?ref_=sr_t_94,2011,1h 30m,R,6.2,74K
95. Courageous,https://www.imdb.com/title/tt1630036/?ref_=sr_t_95,2011,2h 9m,PG-13,6.9,22K
96. 50/50,https://www.imdb.com/title/tt1306980/?ref_=sr_t_96,2011,1h 40m,R,7.6,346K
97. The Rite,https://www.imdb.com/title/tt1161864/?ref_=sr_t_97,2011,1h 54m,PG-13,6.0,104K
98. Arthur,https://www.imdb.com/title/tt1334512/?ref_=sr_t_98,2011,1h 50m,PG-13,5.7,53K
99. Extremely Loud & Incredibly Close,https://www.imdb.com/title/tt0477302/?ref_=sr_t_99,2011,2h 9m,PG-13,6.9,106K
100. The Sitter,https://www.imdb.com/title/tt1366344/?ref_=sr_t_100,2011,1h 21m,R,5.6,73K
101. The Iron Lady,https://www.imdb.com/title/tt1007029/?ref_=sr_t_101,2011,1h 45m,PG-13,6.4,115K
