Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Top Gun,https://www.imdb.com/title/tt0092099/?ref_=sr_t_1,1986,1h 49m,PG,6.9,518K,15000000.0,357288178.0,180258178.0,8193052.0,['Tony Scott'],"['Jim Cash', 'Jack Epps Jr.', 'Ehud Yonay']","['Tom Cruise', 'Tim Robbins', 'Kelly McGillis']","['Action Epic', 'Action', 'Drama']",['United States'],"['102 Pacific Street, Oceanside, California, USA']","['Paramount Pictures', 'Don Simpson/Jerry Bruckheimer Films']",['English'],0,9,0,1986
2. Crocodile Dundee,https://www.imdb.com/title/tt0090555/?ref_=sr_t_2,1986,1h 37m,PG-13,6.6,119K,8800000.0,328203506.0,174803506.0,8038855.0,['Peter Faiman'],"['Paul Hogan', 'Ken Shadie', 'John Cornell']","['Paul Hogan', 'Linda Kozlowski', 'John Meillon']","['Adventure', 'Comedy']",['Australia'],"['Federal Hotel, McKinlay, Queensland, Australia']",['Rimfire Films'],['English'],0,12,1,1986
3. Platoon,https://www.imdb.com/title/tt0091763/?ref_=sr_t_3,1986,2h,R,8.1,449K,6000000.0,138545632.0,138530565.0,241080.0,['Oliver Stone'],['Oliver Stone'],"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe']","['Drama', 'War']","['United States', 'United Kingdom']",['Philippines'],"['Hemdale', ""Cinema '84"", 'Cinema 86']","['English', 'Vietnamese']",0,16,0,1986
4. The Karate Kid Part II,https://www.imdb.com/title/tt0091326/?ref_=sr_t_4,1986,1h 53m,PG,6.1,102K,,115103979.0,115103979.0,12652336.0,['John G. Avildsen'],['Robert Mark Kamen'],"['Pat Morita', 'Ralph Macchio', 'Pat E. Johnson']","['Action', 'Family', 'Sport']",['United States'],"[""O'ahu, Hawaii, USA""]","['Columbia Pictures', 'Delphi V Productions']",['English'],0,3,1,1986
5. Star Trek IV: The Voyage Home,https://www.imdb.com/title/tt0092007/?ref_=sr_t_5,1986,1h 59m,PG,7.3,93K,25000000.0,109713132.0,109713132.0,16881888.0,['Leonard Nimoy'],"['Gene Roddenberry', 'Leonard Nimoy', 'Harve Bennett']","['William Shatner', 'Leonard Nimoy', 'DeForest Kelley']","['Dark Comedy', 'Space Sci-Fi', 'Time Travel', 'Adventure', 'Comedy', 'Sci-Fi']",['United States'],"['Monterey Bay Aquarium - 886 Cannery Row, Monterey, California, USA']",['Paramount Pictures'],"['English', 'Finnish']",0,19,4,1986
6. Back to School,https://www.imdb.com/title/tt0090685/?ref_=sr_t_6,1986,1h 36m,PG-13,6.7,37K,11000000.0,91258000.0,91258000.0,8881035.0,['Alan Metter'],"['Steven Kampmann', 'William Porter', 'PJ Torokvei']","['Rodney Dangerfield', 'Sally Kellerman', 'Burt Young']","['Comedy', 'Romance', 'Sport']",['United States'],"['University of Wisconsin-Madison, Madison, Wisconsin, USA']","['Orion Pictures', 'Paper Clip Productions']",['English'],0,2,0,1986
7. Aliens,https://www.imdb.com/title/tt0090605/?ref_=sr_t_7,1986,2h 17m,R,8.4,797K,18500000.0,131060248.0,85160248.0,10052042.0,['James Cameron'],"['James Cameron', 'David Giler', 'Walter Hill']","['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn']","['Alien Invasion', 'Cyberpunk', 'Space Sci-Fi', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']","['United Kingdom', 'United States']","['Acton Lane Power Station, Acton Lane, Acton, London, England, UK']","['Twentieth Century Fox', 'Brandywine Productions', 'Pinewood Studios']","['English', 'Spanish']",0,25,0,1986
8. The Golden Child,https://www.imdb.com/title/tt0091129/?ref_=sr_t_8,1986,1h 34m,PG-13,6.0,61K,25000000.0,79817937.0,79817937.0,11549711.0,['Michael Ritchie'],['Dennis Feldman'],"['Eddie Murphy', 'J.L. Reate', 'Charles Dance']","['Urban Adventure', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Mystery']",['United States'],['Nepal'],"['Paramount Pictures', 'Eddie Murphy Productions', 'Industrial Light & Magic (ILM)']",['English'],0,0,0,1986
9. Ruthless People,https://www.imdb.com/title/tt0091877/?ref_=sr_t_9,1986,1h 33m,R,6.9,31K,13000000.0,71624879.0,71624879.0,5274306.0,"['Jim Abrahams', 'David Zucker', 'Jerry Zucker']","['Dale Launer', 'O. Henry']","['Bette Midler', 'Danny DeVito', 'Judge Reinhold']","['Dark Comedy', 'Satire', 'Comedy', 'Crime']",['United States'],"['10690 Somma Way, Los Angeles, California, USA']","['Touchstone Films', 'Touchstone Pictures', 'Silver Screen Partners II']",['English'],0,3,0,1986
10. Ferris Bueller's Day Off,https://www.imdb.com/title/tt0091042/?ref_=sr_t_10,1986,1h 43m,PG-13,7.8,398K,6000000.0,70738901.0,70136369.0,6275647.0,['John Hughes'],['John Hughes'],"['Matthew Broderick', 'Alan Ruck', 'Mia Sara']","['Buddy Comedy', 'Satire', 'Teen Comedy', 'Comedy']",['United States'],"['Ben Rose Auto Museum - 370 Beach Street, Highland Park, Illinois, USA']",['Paramount Pictures'],"['English', 'German']",0,0,0,1986
11. Down and Out in Beverly Hills,https://www.imdb.com/title/tt0090966/?ref_=sr_t_11,1986,1h 43m,R,6.2,21K,14000000.0,62134225.0,62134225.0,5726495.0,['Paul Mazursky'],"['René Fauchois', 'Paul Mazursky', 'Leon Capetanos']","['Nick Nolte', 'Bette Midler', 'Richard Dreyfuss']","['Satire', 'Comedy']",['United States'],"['400 Ocean Front Walk, Venice Beach, Venice, Los Angeles, California, USA']","['Touchstone Films', 'Touchstone Pictures', 'Silver Screen Partners II']",['English'],0,5,0,1986
12. The Color of Money,https://www.imdb.com/title/tt0090863/?ref_=sr_t_12,1986,1h 59m,R,7.0,96K,14500000.0,52293982.0,52293982.0,6357877.0,['Martin Scorsese'],"['Walter Tevis', 'Richard Price']","['Paul Newman', 'Tom Cruise', 'Mary Elizabeth Mastrantonio']","['Drama', 'Sport']",['United States'],"['Chicago, Illinois, USA']","['Touchstone Pictures', 'Silver Screen Partners II']","['English', 'Spanish']",0,10,0,1986
13. Stand by Me,https://www.imdb.com/title/tt0092005/?ref_=sr_t_13,1986,1h 29m,R,8.1,456K,8000000.0,53522503.0,52287414.0,242795.0,['Rob Reiner'],"['Stephen King', 'Raynold Gideon', 'Bruce A. Evans']","['Wil Wheaton', 'River Phoenix', 'Corey Feldman']","['Coming-of-Age', 'Adventure', 'Comedy', 'Drama']",['United States'],"['Eagle Mountain Ln, Burney, California, USA']","['Columbia Pictures', 'Act III', 'Act III Communications']",['English'],0,12,1,1986
14. Legal Eagles,https://www.imdb.com/title/tt0091396/?ref_=sr_t_14,1986,1h 56m,PG,6.0,13K,40000000.0,93151591.0,49851591.0,8043360.0,['Ivan Reitman'],"['Ivan Reitman', 'Jim Cash', 'Jack Epps Jr.']","['Robert Redford', 'Debra Winger', 'Daryl Hannah']","['Comedy', 'Crime', 'Romance']",['United States'],"['New York City, New York, USA']","['Universal Pictures', 'Mirage Enterprises', 'Northern Lights Entertainment']",['English'],0,0,0,1986
15. Cobra,https://www.imdb.com/title/tt0090859/?ref_=sr_t_15,1986,1h 27m,R,5.8,82K,25000000.0,49042224.0,49042224.0,12653032.0,['George P. Cosmatos'],"['Paula Gosling', 'Sylvester Stallone']","['Sylvester Stallone', 'Brigitte Nielsen', 'Reni Santoni']","['Serial Killer', 'Action', 'Crime', 'Thriller']","['United States', 'Israel']","['Santa Clarita, California, USA']","['Warner Bros.', 'The Cannon Group', 'Golan-Globus Productions']","['English', 'Spanish']",0,0,0,1986
16. An American Tail,https://www.imdb.com/title/tt0090633/?ref_=sr_t_16,1986,1h 20m,G,6.9,59K,,84542002.0,47483002.0,5234446.0,['Don Bluth'],"['David Kirschner', 'Judy Freudberg', 'Tony Geiss']","['Dom DeLuise', 'Christopher Plummer', 'Erica Yohn']","['Animal Adventure', 'Hand-Drawn Animation', 'Urban Adventure', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Musical']",['United States'],"['Sullivan Bluth Studios - 16134 Hart Street, Van Nuys, California, USA']","['Universal Pictures', 'Amblin Entertainment', 'Sullivan Studios']",['English'],0,7,1,1986
17. Police Academy 3: Back in Training,https://www.imdb.com/title/tt0091777/?ref_=sr_t_17,1986,1h 23m,PG,5.4,50K,7500000.0,43579163.0,43579163.0,9049586.0,['Jerry Paris'],"['Neal Israel', 'Pat Proft', 'Gene Quintano']","['Steve Guttenberg', 'Bubba Smith', 'David Graf']",['Comedy'],['United States'],"['Toronto, Ontario, Canada']","['Warner Bros.', 'Police Academy Productions']",['English'],0,0,0,1986
18. Heartbreak Ridge,https://www.imdb.com/title/tt0091187/?ref_=sr_t_18,1986,2h 10m,R,6.8,50K,15000000.0,42724017.0,42724017.0,8100840.0,['Clint Eastwood'],"['James Carabatsos', 'Dennis Hackin', 'Joseph Stinson']","['Clint Eastwood', 'Marsha Mason', 'Everett McGill']","['Dark Comedy', 'Drama', 'War']",['United States'],"['Marine Corps Base Camp Pendleton, California, USA']","['Jay Weston Productions', 'The Malpaso Company']","['English', 'Spanish']",0,0,1,1986
19. Peggy Sue Got Married,https://www.imdb.com/title/tt0091738/?ref_=sr_t_19,1986,1h 43m,PG-13,6.4,42K,18000000.0,41382841.0,41382841.0,6942408.0,['Francis Ford Coppola'],"['Jerry Leichtling', 'Arlene Sarner']","['Kathleen Turner', 'Nicolas Cage', 'Barry Miller']","['Romantic Comedy', 'Comedy', 'Drama', 'Fantasy', 'Romance']",['United States'],"['Santa Rosa High School, Santa Rosa, California, USA']","['TriStar Pictures', 'Rastar Pictures', 'Zoetrope Studios']",['English'],0,13,3,1986
20. Poltergeist II: The Other Side,https://www.imdb.com/title/tt0091778/?ref_=sr_t_20,1986,1h 31m,PG-13,5.7,31K,19000000.0,40998097.0,40996665.0,12357190.0,['Brian Gibson'],"['Mark Victor', 'Michael Grais']","['JoBeth Williams', 'Craig T. Nelson', ""Heather O'Rourke""]","['Body Horror', 'Supernatural Horror', 'Horror']",['United States'],"['1589 Homewood Dr., Altadena, California, USA']","['Freddie Fields Productions', 'Metro-Goldwyn-Mayer (MGM)']",['English'],0,5,1,1986
