Title,Movie Link,Year,Duration,MPA,Rating,Votes
1. Love Story,https://www.imdb.com/title/tt0066011/?ref_=sr_t_1,1970,1h 40m,PG,6.9,38K
2. Airport,https://www.imdb.com/title/tt0065377/?ref_=sr_t_2,1970,2h 17m,G,6.6,23K
3. M*A*S*H,https://www.imdb.com/title/tt0066026/?ref_=sr_t_3,1970,1h 56m,R,7.3,79K
4. Patton,https://www.imdb.com/title/tt0066206/?ref_=sr_t_4,1970,2h 52m,PG,7.9,110K
5. The Aristocats,https://www.imdb.com/title/tt0065421/?ref_=sr_t_5,1970,1h 18m,G,7.1,118K
6. Little Big Man,https://www.imdb.com/title/tt0065988/?ref_=sr_t_6,1970,2h 19m,PG-13,7.5,39K
7. Joe,https://www.imdb.com/title/tt0065916/?ref_=sr_t_7,1970,1h 47m,R,6.8,4.5K
8. Beneath the Planet of the Apes,https://www.imdb.com/title/tt0065462/?ref_=sr_t_8,1970,1h 35m,G,6.0,55K
9. On a Clear Day You Can See Forever,https://www.imdb.com/title/tt0066181/?ref_=sr_t_9,1970,2h 9m,G,6.4,4.4K
10. Getting Straight,https://www.imdb.com/title/tt0065775/?ref_=sr_t_10,1970,2h 4m,R,6.3,1.7K
11. Kelly's Heroes,https://www.imdb.com/title/tt0065938/?ref_=sr_t_11,1970,2h 24m,GP,7.6,56K
12. Two Mules for Sister Sara,https://www.imdb.com/title/tt0065134/?ref_=sr_t_12,1970,1h 56m,GP,7.0,32K
13. Le cercle rouge,https://www.imdb.com/title/tt0065531/?ref_=sr_t_13,1970,2h 20m,Not Rated,7.9,30K
14. The Conformist,https://www.imdb.com/title/tt0065571/?ref_=sr_t_14,1970,1h 53m,R,7.9,35K
15. Woodstock,https://www.imdb.com/title/tt0066580/?ref_=sr_t_15,1970,3h 4m,R,8.1,19K
16. El Topo,https://www.imdb.com/title/tt0067866/?ref_=sr_t_16,1970,2h 5m,Not Rated,7.2,32K
17. The Wild Child,https://www.imdb.com/title/tt0064285/?ref_=sr_t_17,1970,1h 23m,G,7.5,9.1K
18. Wanda,https://www.imdb.com/title/tt0067961/?ref_=sr_t_18,1970,1h 42m,GP,7.1,6.1K
19. Multiple Maniacs,https://www.imdb.com/title/tt0067454/?ref_=sr_t_19,1970,1h 31m,Not Rated,6.5,4.7K
20. Tristana,https://www.imdb.com/title/tt0066491/?ref_=sr_t_20,1970,1h 39m,PG,7.4,13K
21. Bronco Bullfrog,https://www.imdb.com/title/tt0064111/?ref_=sr_t_21,1970,1h 26m,Not Rated,6.6,430
22. The American Soldier,https://www.imdb.com/title/tt0065391/?ref_=sr_t_22,1970,1h 20m,,6.5,2K
23. Gods of the Plague,https://www.imdb.com/title/tt0065808/?ref_=sr_t_23,1970,1h 31m,,6.4,1.6K
24. The Things of Life,https://www.imdb.com/title/tt0064165/?ref_=sr_t_24,1970,1h 29m,GP,7.4,5.8K
25. The Boys in the Band,https://www.imdb.com/title/tt0065488/?ref_=sr_t_25,1970,2h,R,7.6,6.1K
26. Bed & Board,https://www.imdb.com/title/tt0065651/?ref_=sr_t_26,1970,1h 37m,GP,7.4,11K
27. Scrooge,https://www.imdb.com/title/tt0066344/?ref_=sr_t_27,1970,1h 53m,G,7.5,13K
28. Rio Lobo,https://www.imdb.com/title/tt0066301/?ref_=sr_t_28,1970,1h 54m,G,6.7,14K
29. Catch-22,https://www.imdb.com/title/tt0065528/?ref_=sr_t_29,1970,2h 2m,R,7.1,27K
30. There Was a Crooked Man...,https://www.imdb.com/title/tt0066448/?ref_=sr_t_30,1970,2h 6m,R,6.8,5.4K
31. The Railway Children,https://www.imdb.com/title/tt0066279/?ref_=sr_t_31,1970,1h 49m,G,7.3,5.9K
32. The Vampire Lovers,https://www.imdb.com/title/tt0066518/?ref_=sr_t_32,1970,1h 31m,R,6.4,8.1K
33. Valerie and Her Week of Wonders,https://www.imdb.com/title/tt0066516/?ref_=sr_t_33,1970,1h 17m,Not Rated,7.0,12K
34. They Call Me Trinity,https://www.imdb.com/title/tt0067355/?ref_=sr_t_34,1970,1h 55m,G,7.4,26K
35. Beyond the Valley of the Dolls,https://www.imdb.com/title/tt0065466/?ref_=sr_t_35,1970,1h 49m,NC-17,6.1,12K
36. Five Easy Pieces,https://www.imdb.com/title/tt0065724/?ref_=sr_t_36,1970,1h 38m,R,7.4,42K
37. Waterloo,https://www.imdb.com/title/tt0066549/?ref_=sr_t_37,1970,2h 3m,G,7.3,13K
38. Soldier Blue,https://www.imdb.com/title/tt0066390/?ref_=sr_t_38,1970,1h 52m,PG,6.9,6.7K
39. Tora! Tora! Tora!,https://www.imdb.com/title/tt0066473/?ref_=sr_t_39,1970,2h 24m,G,7.5,38K
40. Myra Breckinridge,https://www.imdb.com/title/tt0066115/?ref_=sr_t_40,1970,1h 34m,R,4.5,3.5K
41. Eugenie,https://www.imdb.com/title/tt0064494/?ref_=sr_t_41,1970,1h 27m,X,5.2,2.1K
42. The Bird with the Crystal Plumage,https://www.imdb.com/title/tt0065143/?ref_=sr_t_42,1970,1h 36m,GP,7.1,25K
43. Cromwell,https://www.imdb.com/title/tt0065593/?ref_=sr_t_43,1970,2h 19m,G,7.0,7.3K
44. Ryan's Daughter,https://www.imdb.com/title/tt0066319/?ref_=sr_t_44,1970,3h 20m,R,7.4,11K
45. Chisum,https://www.imdb.com/title/tt0065547/?ref_=sr_t_45,1970,1h 51m,G,6.8,11K
46. A Man Called Sledge,https://www.imdb.com/title/tt0066050/?ref_=sr_t_46,1970,1h 33m,R,5.9,1.6K
47. The Party at Kitty and Stud's,https://www.imdb.com/title/tt0065904/?ref_=sr_t_47,1970,1h 11m,X,2.5,2.5K
48. The Private Life of Sherlock Holmes,https://www.imdb.com/title/tt0066249/?ref_=sr_t_48,1970,2h 5m,PG-13,7.0,14K
49. Hercules in New York,https://www.imdb.com/title/tt0065832/?ref_=sr_t_49,1970,1h 32m,G,3.3,20K
50. Performance,https://www.imdb.com/title/tt0066214/?ref_=sr_t_50,1970,1h 45m,R,6.7,12K
51. Colossus: The Forbin Project,https://www.imdb.com/title/tt0064177/?ref_=sr_t_51,1970,1h 40m,M,7.1,11K
52. Brewster McCloud,https://www.imdb.com/title/tt0065492/?ref_=sr_t_52,1970,1h 45m,R,6.8,5.9K
53. Zabriskie Point,https://www.imdb.com/title/tt0066601/?ref_=sr_t_53,1970,1h 53m,R,6.9,18K
54. The Dunwich Horror,https://www.imdb.com/title/tt0065669/?ref_=sr_t_54,1970,1h 30m,R,5.4,5.4K
55. Crime and Punishment,https://www.imdb.com/title/tt0064839/?ref_=sr_t_55,1970,3h 41m,,7.8,1.4K
56. A Love Story,https://www.imdb.com/title/tt0065955/?ref_=sr_t_56,1970,1h 55m,,7.3,7.8K
57. Deep End,https://www.imdb.com/title/tt0066122/?ref_=sr_t_57,1970,1h 28m,R,7.2,7.9K
58. Mark of the Devil,https://www.imdb.com/title/tt0065491/?ref_=sr_t_58,1970,1h 30m,R,6.1,4.1K
59. The Owl and the Pussycat,https://www.imdb.com/title/tt0066195/?ref_=sr_t_59,1970,1h 35m,PG,6.4,4.5K
60. Donkey Skin,https://www.imdb.com/title/tt0066207/?ref_=sr_t_60,1970,1h 31m,,7.0,6.8K
61. El Condor,https://www.imdb.com/title/tt0065570/?ref_=sr_t_61,1970,1h 42m,R,6.0,1.5K
62. The Cheyenne Social Club,https://www.imdb.com/title/tt0065542/?ref_=sr_t_62,1970,1h 43m,PG,6.8,5.2K
63. Scars of Dracula,https://www.imdb.com/title/tt0067713/?ref_=sr_t_63,1970,1h 35m,R,6.1,6.7K
64. A Man Called Horse,https://www.imdb.com/title/tt0066049/?ref_=sr_t_64,1970,1h 54m,R,6.8,9.7K
