Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
1. Love Story,https://www.imdb.com/title/tt0066011/?ref_=sr_t_1,1970,1h 40m,PG,6.9,38K,2200000.0,106550690.0,106550690.0,87198.0,['Arthur Hiller'],['Erich Segal'],"['Ali MacGraw', ""Ryan O'Neal"", 'John Marley']","['Dark Romance', 'Tragedy', 'Tragic Romance', 'Drama', 'Romance']",['United States'],"['119 Oxford Street, Cambridge, Massachusetts, USA']","['Paramount Pictures', 'Love Story Company']",['English'],0,17,0,1970
2. Airport,https://www.imdb.com/title/tt0065377/?ref_=sr_t_2,1970,2h 17m,G,6.6,23K,10000000.0,100489151.0,100489151.0,,"['George Seaton', 'Henry Hathaway']","['Arthur Hailey', 'George Seaton']","['Burt Lancaster', 'Dean Martin', 'George Kennedy']","['Dark Comedy', 'Disaster', 'Action', 'Drama', 'Thriller']",['United States'],"['Minneapolis-Saint Paul International Airport, Minneapolis, Minnesota, USA']",['Ross Hunter Productions'],"['English', 'Italian']",0,19,0,1970
3. M*A*S*H,https://www.imdb.com/title/tt0066026/?ref_=sr_t_3,1970,1h 56m,R,7.3,79K,3500000.0,81600000.0,81600000.0,,['Robert Altman'],"['Richard Hooker', 'Ring Lardner Jr.']","['Donald Sutherland', 'Elliott Gould', 'Tom Skerritt']","['Dark Comedy', 'Satire', 'Comedy', 'Drama', 'War']",['United States'],"['Malibu Creek State Park - 1925 Las Virgenes Road, Calabasas, California, USA']","['Aspen Productions (I)', 'Ingo Preminger Productions']","['English', 'Japanese', 'Korean', 'Latin']",0,26,0,1970
4. Patton,https://www.imdb.com/title/tt0066206/?ref_=sr_t_4,1970,2h 52m,PG,7.9,110K,12000000.0,61749765.0,61749765.0,,['Franklin J. Schaffner'],"['Francis Ford Coppola', 'Edmund H. North', 'Ladislas Farago']","['George C. Scott', 'Karl Malden', 'Stephen Young']","['War Epic', 'Biography', 'Drama', 'War']",['United States'],"['Cabo de Gata, Almería, Andalucía, Spain']",['Twentieth Century Fox'],"['English', 'German', 'French', 'Russian', 'Arabic', 'Italian']",0,8,0,1970
5. The Aristocats,https://www.imdb.com/title/tt0065421/?ref_=sr_t_5,1970,1h 18m,G,7.1,118K,4000000.0,35461460.0,35452658.0,3168071.0,['Wolfgang Reitherman'],"['Larry Clemmons', 'Vance Gerry', 'Ken Anderson']","['Phil Harris', 'Eva Gabor', 'Sterling Holloway']","['Animal Adventure', 'Hand-Drawn Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Musical']",['United States'],"['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Productions', 'Walt Disney Animation Studios']",['English'],0,0,0,1970
6. Little Big Man,https://www.imdb.com/title/tt0065988/?ref_=sr_t_6,1970,2h 19m,PG-13,7.5,39K,15000000.0,31559552.0,31559552.0,,['Arthur Penn'],"['Thomas Berger', 'Calder Willingham']","['Dustin Hoffman', 'Faye Dunaway', 'Chief Dan George']","['Adventure Epic', 'Epic', 'Satire', 'Tragedy', 'Western Epic', 'Adventure', 'Comedy', 'Drama', 'Western']",['United States'],"['Little Bighorn River, Montana, USA']","['Cinema Center Films', 'Stockbridge-Hiller Productions']",['English'],0,11,1,1970
7. Joe,https://www.imdb.com/title/tt0065916/?ref_=sr_t_7,1970,1h 47m,R,6.8,4.5K,106000.0,19319254.0,19319254.0,,['John G. Avildsen'],['Norman Wexler'],"['Peter Boyle', 'Dennis Patrick', 'Susan Sarandon']","['Drama', 'Thriller']",['United States'],"['New York City, New York, USA']","['Cannon Productions', 'The Cannon Group', 'D.C. Company']",['English'],0,0,1,1970
8. Beneath the Planet of the Apes,https://www.imdb.com/title/tt0065462/?ref_=sr_t_8,1970,1h 35m,G,6.0,55K,3000000.0,18999718.0,18999718.0,,['Ted Post'],"['Paul Dehn', 'Mort Abrahams', 'Pierre Boulle']","['James Franciscus', 'Kim Hunter', 'Maurice Evans']","['Dystopian Sci-Fi', 'Action', 'Adventure', 'Sci-Fi']",['United States'],"['Red Rock Canyon State Park - Highway 14, Cantil, California, USA']","['Twentieth Century Fox', 'APJAC Productions']",['English'],0,0,0,1970
9. On a Clear Day You Can See Forever,https://www.imdb.com/title/tt0066181/?ref_=sr_t_9,1970,2h 9m,G,6.4,4.4K,10000000.0,14000000.0,14000000.0,,['Vincente Minnelli'],['Alan Jay Lerner'],"['Barbra Streisand', 'Yves Montand', 'Bob Newhart']","['Comedy', 'Drama', 'Fantasy', 'Musical', 'Romance']",['United States'],"['Lexington Avenue, Manhattan, New York City, New York, USA']",['Paramount Pictures'],['English'],0,0,0,1970
10. Getting Straight,https://www.imdb.com/title/tt0065775/?ref_=sr_t_10,1970,2h 4m,R,6.3,1.7K,,13300000.0,13300000.0,,['Richard Rush'],"['Robert Kaufman', 'Ken Kolb']","['Elliott Gould', 'Candice Bergen', 'Robert F. Lyons']","['Satire', 'Comedy', 'Drama', 'Romance']",['United States'],"['Lane Community College - 4000 E. 30th Avenue, Eugene, Oregon, USA']","['Columbia Pictures', 'The Organization']",['English'],0,0,0,1970
