Movie Link,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
https://www.imdb.com/title/tt0298148/?ref_=sr_t_1,150000000.0,932406549.0,444854717.0,108037878.0,"['Andrew Adamson', 'Kelly Asbury', 'Conrad Vernon']","['William Steig', 'Andrew Adamson', 'Joe Stillman']","['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']","['Computer Animation', 'Fairy Tale', 'Parody', 'Satire', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",['United States'],[],"['Dreamworks Pictures', 'DreamWorks Animation', 'Pacific Data Images (PDI)']",['English'],0,52,2,2004
https://www.imdb.com/title/tt0316654/?ref_=sr_t_2,200000000.0,784543400.0,374337514.0,88156227.0,['Sam Raimi'],"['Stan Lee', 'Steve Ditko', 'Alfred Gough']","['Tobey Maguire', 'Kirsten Dunst', 'Alfred Molina']","['Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Sci-Fi']",['United States'],"['Spring Street Towers - 650 S. Spring Street, Downtown, Los Angeles, California, USA']","['Columbia Pictures', 'Marvel Enterprises', 'Laura Ziskin Productions']","['English', 'Russian', 'Chinese']",0,60,0,2004
https://www.imdb.com/title/tt0335345/?ref_=sr_t_3,30000000.0,612060372.0,370782930.0,83848082.0,['Mel Gibson'],"['Benedict Fitzgerald', 'Mel Gibson']","['Jim Caviezel', 'Monica Bellucci', 'Maia Morgenstern']","['Epic', 'Period Drama', 'Drama']",['United States'],"['Craco, Matera, Basilicata, Italy']",['Icon Productions'],"['Aramaic', 'Latin', 'Hebrew', 'English']",0,24,3,2004
https://www.imdb.com/title/tt0290002/?ref_=sr_t_4,80000000.0,522657936.0,279261160.0,46120980.0,['Jay Roach'],"['Jim Herzfeld', 'Marc Hyman', 'John Hamburg']","['Ben Stiller', 'Robert De Niro', 'Blythe Danner']","['Romantic Comedy', 'Slapstick', 'Comedy', 'Romance']",['United States'],"['Los Angeles County Arboretum & Botanic Garden - 301 N. Baldwin Avenue, Arcadia, California, USA']","['Universal Pictures', 'Dreamworks Pictures', 'Tribeca Productions']","['English', 'Spanish', 'Hebrew']",0,7,0,2004
https://www.imdb.com/title/tt0317705/?ref_=sr_t_5,92000000.0,631688498.0,261441092.0,70467623.0,['Brad Bird'],['Brad Bird'],"['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter']","['Computer Animation', 'Superhero', 'Urban Adventure', 'Action', 'Adventure', 'Animation', 'Family']",['United States'],"['Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA']","['Walt Disney Pictures', 'Pixar Animation Studios']","['English', 'French', 'German', 'Italian', 'Portuguese', 'Russian']",0,56,0,2004
https://www.imdb.com/title/tt0304141/?ref_=sr_t_6,130000000.0,808485409.0,250105651.0,93687367.0,['Alfonso Cuarón'],"['J.K. Rowling', 'Steve Kloves']","['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']","['Sword & Sorcery', 'Teen Adventure', 'Teen Fantasy', 'Adventure', 'Family', 'Fantasy', 'Mystery']","['United Kingdom', 'United States']","['Glenfinnan, Highland, Scotland, UK']","['Warner Bros.', 'Heyday Films', '1492 Pictures']","['English', 'Latin', 'Old English']",0,56,2,2004
https://www.imdb.com/title/tt0338348/?ref_=sr_t_7,165000000.0,318910211.0,189528738.0,23323463.0,['Robert Zemeckis'],"['Chris Van Allsburg', 'Robert Zemeckis', 'William Broyles Jr.']","['Tom Hanks', 'Chris Coppola', 'Michael Jeter']","['Computer Animation', 'Holiday Animation', 'Holiday Comedy', 'Holiday Family', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Holiday']","['United States', 'Australia']",['Arctic Ocean'],"['Castle Rock Entertainment', 'Shangri-La Entertainment', 'Playtone']",['English'],0,26,3,2004
https://www.imdb.com/title/tt0319262/?ref_=sr_t_8,125000000.0,552639571.0,186740799.0,68743584.0,['Roland Emmerich'],"['Roland Emmerich', 'Jeffrey Nachmanoff']","['Dennis Quaid', 'Jake Gyllenhaal', 'Emmy Rossum']","['Disaster', 'Survival', 'Action', 'Adventure', 'Sci-Fi', 'Thriller']",['United States'],"['Montréal, Québec, Canada']","['Twentieth Century Fox', 'Centropolis Entertainment', 'Lionsgate']","['English', 'Japanese', 'French', 'Arabic']",0,12,0,2004
https://www.imdb.com/title/tt0372183/?ref_=sr_t_9,75000000.0,292542992.0,176241941.0,52521865.0,['Paul Greengrass'],"['Robert Ludlum', 'Tony Gilroy']","['Matt Damon', 'Franka Potente', 'Joan Allen']","['One-Person Army Action', 'Spy', 'Action', 'Thriller']","['United States', 'Germany', 'India', 'Russia']","['Goa, India']","['Universal Pictures', 'Motion Picture THETA Produktionsgesellschaft', 'The Kennedy/Marshall Company']","['English', 'Russian', 'German', 'Italian']",0,22,0,2004
https://www.imdb.com/title/tt0368891/?ref_=sr_t_10,100000000.0,347512530.0,173008894.0,35142554.0,['Jon Turteltaub'],"['Jim Kouf', 'Cormac Wibberley', 'Marianne Wibberley']","['Nicolas Cage', 'Diane Kruger', 'Justin Bartha']","['Quest', 'Action', 'Adventure', 'Mystery', 'Thriller']",['United States'],"['Utah, USA']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Junction Entertainment']","['English', 'Spanish', 'German']",0,9,0,2004
https://www.imdb.com/title/tt0307453/?ref_=sr_t_11,75000000.0,374583879.0,160861908.0,47604606.0,"['Bibo Bergeron', 'Vicky Jenson', 'Rob Letterman']","['Michael J. Wilson', 'Rob Letterman', 'Scott Aukerman']","['Will Smith', 'Robert De Niro', 'Renée Zellweger']","['Animal Adventure', 'Buddy Comedy', 'Computer Animation', 'Sea Adventure', 'Adventure', 'Animation', 'Comedy', 'Family', 'Thriller']","['United States', 'France']","['Los Angeles, California, USA']",['DreamWorks Animation'],['English'],0,16,1,2004
https://www.imdb.com/title/tt0343818/?ref_=sr_t_12,120000000.0,353133898.0,144801023.0,52179887.0,['Alex Proyas'],"['Jeff Vintar', 'Akiva Goldsman', 'Isaac Asimov']","['Will Smith', 'Bridget Moynahan', 'Bruce Greenwood']","['Artificial Intelligence', 'Cyber Thriller', 'Cyberpunk', 'Action', 'Mystery', 'Sci-Fi', 'Thriller']","['United States', 'Germany']","['Vancouver, British Columbia, Canada']","['Twentieth Century Fox', 'Mediastream Vierte Film GmbH & Co. Vermarktungs KG', 'Davis Entertainment']",['English'],0,15,1,2004
https://www.imdb.com/title/tt0332452/?ref_=sr_t_13,175000000.0,497409852.0,133378256.0,46865412.0,['Wolfgang Petersen'],"['Homer', 'David Benioff']","['Brad Pitt', 'Eric Bana', 'Orlando Bloom']","['Epic', 'Sword & Sandal', 'Tragedy', 'Adventure', 'Drama']","['United States', 'Bulgaria', 'United Kingdom']","['Cabo San Lucas, Baja California Sur, Mexico']","['Warner Bros.', 'Helena Productions', 'Radiant Productions']",['English'],0,23,1,2004
https://www.imdb.com/title/tt0349903/?ref_=sr_t_14,110000000.0,362744280.0,125544280.0,39153380.0,['Steven Soderbergh'],"['George Nolfi', 'George Clayton Johnson', 'Jack Golden Russell']","['George Clooney', 'Brad Pitt', 'Julia Roberts']","['Caper', 'Crime', 'Thriller']",['United States'],"['Haarlem, Noord-Holland, Netherlands']","['Warner Bros.', 'Village Roadshow Pictures', 'Jerry Weintraub Productions']","['English', 'Dutch', 'French', 'Italian', 'Mandarin']",0,10,0,2004
https://www.imdb.com/title/tt0343660/?ref_=sr_t_15,75000000.0,198520934.0,120908074.0,39852237.0,['Peter Segal'],['George Wing'],"['Adam Sandler', 'Drew Barrymore', 'Rob Schneider']","['High-Concept Comedy', 'Comedy', 'Drama', 'Romance']",['United States'],"[""Sea Life Park - 41202 Kalanianaole Highway, Waimänalo, O'ahu, Hawaii, USA""]","['Columbia Pictures', 'Happy Madison Productions', 'Anonymous Content']","['English', 'Hawaiian', 'Mandarin']",0,10,0,2004
https://www.imdb.com/title/tt0338526/?ref_=sr_t_16,160000000.0,300157638.0,120177084.0,51748040.0,['Stephen Sommers'],['Stephen Sommers'],"['Hugh Jackman', 'Kate Beckinsale', 'Richard Roxburgh']","['Superhero', 'Supernatural Fantasy', 'Action', 'Adventure', 'Fantasy', 'Thriller']","['United States', 'Czech Republic']","['Prague, Czech Republic']","['Universal Pictures', 'The Sommers Company', 'Stillking Films']","['English', 'Latin', 'French']",0,21,0,2004
https://www.imdb.com/title/tt0361596/?ref_=sr_t_17,6000000.0,222446882.0,119194771.0,23920637.0,['Michael Moore'],['Michael Moore'],"['Michael Moore', 'George W. Bush', 'Ben Affleck']","['Dark Comedy', 'Military Documentary', 'Political Documentary', 'Documentary', 'Drama', 'War']",['United States'],"['Baghdad, Iraq']","['Lions Gate Films', 'IFC Films', 'Fellowship Adventure Group']","['English', 'Arabic']",0,17,0,2004
https://www.imdb.com/title/tt0339291/?ref_=sr_t_18,140000000.0,211468235.0,118634549.0,30061756.0,['Brad Silberling'],"['Robert Gordon', 'Daniel Handler']","['Jim Carrey', 'Jude Law', 'Meryl Streep']","['Dark Comedy', 'Fantasy Epic', 'Psychological Drama', 'Quirky Comedy', 'Adventure', 'Comedy', 'Family', 'Fantasy']","['Germany', 'United States']","['Stage 1, Downey Studios - 12214 Lakewood Boulevard, Downey, California, USA']","['Paramount Pictures', 'Dreamworks Pictures', 'Nickelodeon Movies']",['English'],0,28,0,2004
https://www.imdb.com/title/tt0364725/?ref_=sr_t_19,20000000.0,168423227.0,114326736.0,30070196.0,['Rawson Marshall Thurber'],['Rawson Marshall Thurber'],"['Ben Stiller', 'Christine Taylor', 'Vince Vaughn']","['Parody', 'Slapstick', 'Comedy', 'Sport']","['Germany', 'United States']","['1201 Santa Fe Avenue, Long Beach, California, USA']","['Twentieth Century Fox', 'Mediastream Vierte Film GmbH & Co. Vermarktungs KG', 'Red Hour Films']","['English', 'German']",0,9,0,2004
https://www.imdb.com/title/tt0368447/?ref_=sr_t_20,60000000.0,256697520.0,114197520.0,50746142.0,['M. Night Shyamalan'],['M. Night Shyamalan'],"['Sigourney Weaver', 'William Hurt', 'Joaquin Phoenix']","['Psychological Drama', 'Psychological Thriller', 'Suspense Mystery', 'Drama', 'Mystery', 'Thriller']",['United States'],"['Cossart Rd, Chadds Ford, Pennsylvania, USA']","['Touchstone Pictures', 'Blinding Edge Pictures', 'Scott Rudin Productions']",['English'],0,24,1,2004
